# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	maxMag(U)	location	cell
0                   	1.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	1.070920804833e+00	(1.200000000000e-01 3.312973965551e-02 1.000000000000e-01)	34
2                   	1.127662524136e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
3                   	1.169759418913e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
4                   	1.206342800593e+00	(7.960000000000e+00 3.312973965551e-02 1.000000000000e-01)	2974
5                   	1.241688488334e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
6                   	1.275981459710e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
7                   	1.309042692084e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
8                   	1.340876261858e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
9                   	1.371489032055e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
10                  	1.400858453324e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
11                  	1.428947517595e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
12                  	1.455718031116e+00	(7.960000000000e+00 2.679914685521e-02 1.000000000000e-01)	2973
13                  	1.482700858930e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
14                  	1.508804350262e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
15                  	1.533654083964e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
16                  	1.557228172362e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
17                  	1.579535728893e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
18                  	1.600567442532e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
19                  	1.620320423532e+00	(7.960000000000e+00 1.997892471644e-02 1.000000000000e-01)	2972
20                  	1.639798377356e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
21                  	1.659281655303e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
22                  	1.677504328796e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
23                  	1.694478844098e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
24                  	1.710249613124e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
25                  	1.724787377560e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
26                  	1.738130318946e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
27                  	1.750324987601e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
28                  	1.761404490038e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
29                  	1.771401882311e+00	(7.960000000000e+00 1.270066360871e-02 1.000000000000e-01)	2971
30                  	1.781085282372e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
31                  	1.790863348749e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
32                  	1.799603181658e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
33                  	1.807347166589e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
34                  	1.814124186604e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
35                  	1.819972448963e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
36                  	1.824929886474e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
37                  	1.829045828724e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
38                  	1.832355996432e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
39                  	1.834886335249e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
40                  	1.836657061288e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
41                  	1.837684200400e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
42                  	1.837978219567e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
43                  	1.837545842346e+00	(7.960000000000e+00 5.605608193476e-03 1.000000000000e-01)	2970
