# Selection         : all 
# Volume            : 1.395979868100e-03
# Time              	minMag(U)	location	cell
0                   	1.000000000000e+00	(4.000000000000e-02 5.605608193476e-03 1.000000000000e-01)	0
1                   	2.669232506317e-01	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
2                   	1.206027474287e-01	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
3                   	7.995803496084e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
4                   	6.212600185103e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
5                   	5.195234751365e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
6                   	4.525842681657e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
7                   	4.045976147318e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
8                   	3.683189746462e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
9                   	3.399130136620e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
10                  	3.170957612272e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
11                  	2.984020302273e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
12                  	2.828452379938e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
13                  	2.697350700585e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
14                  	2.585722058806e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
15                  	2.489854268283e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
16                  	2.406924450683e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
17                  	2.334748375363e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
18                  	2.271598299629e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
19                  	2.216110205347e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
20                  	2.167185902864e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
21                  	2.123932706742e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
22                  	2.085616716544e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
23                  	2.051631306389e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
24                  	2.021474593734e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
25                  	1.994728100262e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
26                  	1.971050525974e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
27                  	1.950151509217e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
28                  	1.931785002797e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
29                  	1.915747792969e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
30                  	1.901871836774e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
31                  	1.890020041209e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
32                  	1.880077838859e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
33                  	1.871949714121e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
34                  	1.865567602381e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
35                  	1.860878469263e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
36                  	1.857848267220e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
37                  	1.856455288698e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
38                  	1.856691847433e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
39                  	1.858560222789e-02	(7.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2999
40                  	1.861919829696e-02	(7.640000000000e+00 9.956494065743e-02 1.000000000000e-01)	2879
41                  	1.866199700148e-02	(7.320000000000e+00 9.956494065743e-02 1.000000000000e-01)	2759
42                  	1.871286085328e-02	(7.000000000000e+00 9.956494065743e-02 1.000000000000e-01)	2639
43                  	1.877007282918e-02	(6.680000000000e+00 9.956494065743e-02 1.000000000000e-01)	2519
44                  	1.883202893727e-02	(6.440000000000e+00 9.956494065743e-02 1.000000000000e-01)	2429
45                  	1.889766061186e-02	(6.200000000000e+00 9.956494065743e-02 1.000000000000e-01)	2339
46                  	1.896594385683e-02	(5.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	2249
47                  	1.903592495922e-02	(5.800000000000e+00 9.956494065743e-02 1.000000000000e-01)	2189
48                  	1.910685835125e-02	(5.560000000000e+00 9.956494065743e-02 1.000000000000e-01)	2099
49                  	1.917782324383e-02	(5.400000000000e+00 9.956494065743e-02 1.000000000000e-01)	2039
50                  	1.924824682941e-02	(5.240000000000e+00 9.956494065743e-02 1.000000000000e-01)	1979
51                  	1.931736537593e-02	(5.080000000000e+00 9.956494065743e-02 1.000000000000e-01)	1919
52                  	1.938448216340e-02	(4.920000000000e+00 9.956494065743e-02 1.000000000000e-01)	1859
53                  	1.944899227478e-02	(4.760000000000e+00 9.956494065743e-02 1.000000000000e-01)	1799
54                  	1.950998834505e-02	(4.680000000000e+00 9.956494065743e-02 1.000000000000e-01)	1769
55                  	1.956711671507e-02	(4.520000000000e+00 9.956494065743e-02 1.000000000000e-01)	1709
56                  	1.962043268214e-02	(4.440000000000e+00 9.956494065743e-02 1.000000000000e-01)	1679
57                  	1.966897703826e-02	(4.280000000000e+00 9.956494065743e-02 1.000000000000e-01)	1619
58                  	1.971323660757e-02	(4.200000000000e+00 9.956494065743e-02 1.000000000000e-01)	1589
59                  	1.975322772556e-02	(4.120000000000e+00 9.956494065743e-02 1.000000000000e-01)	1559
60                  	1.978896109312e-02	(4.040000000000e+00 9.956494065743e-02 1.000000000000e-01)	1529
61                  	1.982065054866e-02	(3.960000000000e+00 9.956494065743e-02 1.000000000000e-01)	1499
62                  	1.984869788876e-02	(3.880000000000e+00 9.956494065743e-02 1.000000000000e-01)	1469
