# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	top	(-3.575202302933e-01 -4.134655203170e-17 -1.512105471932e-25)	(-3.575202302932e-01 4.134661285181e-17 -1.512105471932e-25)
1.000000000000e+02	top	(-3.776845533351e-02 -2.355891728172e-07 -5.686924592183e-17)	(-7.155607902189e-03 1.153689756782e-03 1.032051926683e-16)
2.000000000000e+02	top	(-3.776845532671e-02 -2.345900183370e-07 -5.746791916554e-17)	(-7.155583117761e-03 1.153689890356e-03 1.533953688609e-16)
3.000000000000e+02	top	(-3.776845532706e-02 -2.345901071238e-07 -7.595397412036e-17)	(-7.155583004434e-03 1.153689890745e-03 1.056486631605e-16)
4.000000000000e+02	top	(-3.776845532659e-02 -2.345905160402e-07 -7.087687380583e-17)	(-7.155583028496e-03 1.153689889837e-03 1.424598174386e-16)
5.000000000000e+02	top	(-3.776845532719e-02 -2.345898821546e-07 -8.128847139350e-17)	(-7.155583085417e-03 1.153689890477e-03 1.017515825848e-16)
6.000000000000e+02	top	(-3.776845532687e-02 -2.345899926531e-07 -8.044513822542e-17)	(-7.155583033931e-03 1.153689890668e-03 9.142001222373e-17)
7.000000000000e+02	top	(-3.776845532693e-02 -2.345899947678e-07 -6.910714274258e-17)	(-7.155583036694e-03 1.153689890569e-03 1.026602086169e-16)
8.000000000000e+02	top	(-3.776845532694e-02 -2.345900018987e-07 -5.556278193041e-17)	(-7.155583036896e-03 1.153689890560e-03 1.050744528265e-16)
9.000000000000e+02	top	(-3.776845532694e-02 -2.345900019201e-07 -5.831911229396e-17)	(-7.155583036635e-03 1.153689890557e-03 1.033860819298e-16)
1.000000000000e+03	top	(-3.776845532694e-02 -2.345900017467e-07 -7.671527545600e-17)	(-7.155583036695e-03 1.153689890557e-03 1.142321608373e-16)
