# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	top	1.673521755258e+00	1.673521755258e+00	1.673521755258e+00
100                 	top	2.367578005349e-01	5.439607985685e-01	2.583654148095e-01
200                 	top	2.367573905055e-01	5.439607985307e-01	2.583865773786e-01
300                 	top	2.367573886307e-01	5.439607985333e-01	2.583865749458e-01
400                 	top	2.367573890288e-01	5.439607985299e-01	2.583865750465e-01
500                 	top	2.367573899704e-01	5.439607985343e-01	2.583865766556e-01
600                 	top	2.367573891187e-01	5.439607985320e-01	2.583865758587e-01
700                 	top	2.367573891644e-01	5.439607985323e-01	2.583865759218e-01
800                 	top	2.367573891677e-01	5.439607985324e-01	2.583865759267e-01
900                 	top	2.367573891634e-01	5.439607985324e-01	2.583865759226e-01
1000                	top	2.367573891644e-01	5.439607985324e-01	2.583865759235e-01
