# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxp	location	cell	maxk	location	cell	maxepsilon	location	cell	maxnut	location	cell
0               	0.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	1.50000000e-04	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	1.00000000e-02	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	2.02500000e-07	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
1               	4.59049590e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	2.64112765e-03	1.46301914e+00 3.02191818e-06 5.00000000e-01	259	5.97217229e+01	8.77038584e-01 1.00232707e-06 5.00000000e-01	109	2.05301285e-07	1.11935139e+00 3.38943957e-04 5.00000000e-01	4195
2               	7.80294934e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	3.91779027e-03	1.46301914e+00 3.02191818e-06 5.00000000e-01	259	1.17378784e+02	1.46301914e+00 1.00232707e-06 5.00000000e-01	123	2.07922507e-07	1.07639292e+00 3.82971650e-04 5.00000000e-01	4330
3               	8.59713551e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	3.95346721e-03	1.46301914e+00 3.02191818e-06 5.00000000e-01	259	1.35080252e+02	1.46301914e+00 1.00232707e-06 5.00000000e-01	123	2.10406054e-07	1.03343445e+00 3.82971650e-04 5.00000000e-01	4329
4               	8.51789453e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	3.41588488e-03	1.41907466e-02 3.02191818e-06 5.00000000e-01	163	1.42307066e+02	1.46301914e+00 1.00232707e-06 5.00000000e-01	123	3.02187461e-07	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
5               	8.70295707e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	2.75498117e-03	1.41907466e-02 3.02191818e-06 5.00000000e-01	163	1.34661488e+02	1.46301914e+00 1.00232707e-06 5.00000000e-01	123	5.57588663e-07	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
6               	9.30745727e-04	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	2.47777562e-03	6.03404640e-03 5.08654275e-06 5.00000000e-01	297	1.17976343e+02	1.16230986e+00 1.00232707e-06 5.00000000e-01	116	9.35412367e-07	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
7               	1.01063803e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	2.16422768e-03	6.03404640e-03 5.08654275e-06 5.00000000e-01	297	9.84482731e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	1.35489031e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
8               	1.09121972e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	1.85832175e-03	6.03404640e-03 5.08654275e-06 5.00000000e-01	297	7.98364171e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	1.68133382e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
9               	1.16867621e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	1.58401586e-03	6.03404640e-03 5.08654275e-06 5.00000000e-01	297	6.38083314e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	1.96278109e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
10              	1.24349296e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	1.34927226e-03	6.03404640e-03 7.22696841e-06 5.00000000e-01	433	5.07582466e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	2.22943304e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
11              	1.31748949e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	1.22225897e-03	6.03404640e-03 7.22696841e-06 5.00000000e-01	433	4.04659113e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	2.49178688e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
12              	1.39170403e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	1.10445700e-03	6.03404640e-03 7.22696841e-06 5.00000000e-01	433	3.24873609e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	2.75283551e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
13              	1.46625718e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	9.98312051e-04	6.03404640e-03 7.22696841e-06 5.00000000e-01	433	2.63502927e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	3.01339238e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
14              	1.54130169e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	9.04392551e-04	6.03404640e-03 7.22696841e-06 5.00000000e-01	433	2.16358968e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	3.27316633e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
15              	1.61669918e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	8.22430847e-04	1.41907466e-02 7.22696841e-06 5.00000000e-01	435	1.80028621e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	3.53350829e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
16              	1.69260011e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	7.52487623e-04	6.03404640e-03 9.47509236e-06 5.00000000e-01	569	1.51854572e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	3.79392057e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
17              	1.76924792e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	7.09895386e-04	6.03404640e-03 9.47509236e-06 5.00000000e-01	569	1.29820975e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	4.05396458e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
18              	1.84671040e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	6.71075764e-04	6.03404640e-03 9.47509236e-06 5.00000000e-01	569	1.12420480e+01	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	4.31392151e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
19              	1.92503338e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	6.36181083e-04	1.83219665e-02 9.47509236e-06 5.00000000e-01	572	9.85338376e+00	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	4.57383858e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
20              	2.00423579e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	6.04836643e-04	1.83219665e-02 9.47509236e-06 5.00000000e-01	572	8.73316006e+00	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	4.83372891e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
21              	2.08440482e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	5.76735082e-04	1.83219665e-02 9.47509236e-06 5.00000000e-01	572	7.81980927e+00	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	5.09359924e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
22              	2.16536984e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	5.51598565e-04	1.83219665e-02 9.47509236e-06 5.00000000e-01	572	7.06743827e+00	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	5.35345415e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
23              	2.24692125e-03	-2.00507731e-03 1.00232707e-06 5.00000000e-01	23	5.29147685e-04	1.83219665e-02 9.47509236e-06 5.00000000e-01	572	6.44162797e+00	1.41907466e-02 1.00232707e-06 5.00000000e-01	27	5.61329693e-06	-3.13296488e-01 9.42574530e-01 5.00000000e-01	12920
