# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMagU	location	cell
0               	1.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
1               	1.00005703e+00	6.03404640e-03 1.14867247e-03 5.00000000e-01	5465
2               	1.00011975e+00	6.03404640e-03 1.14867247e-03 5.00000000e-01	5465
3               	1.00016859e+00	6.03404640e-03 1.46612822e-03 5.00000000e-01	5737
4               	1.00019722e+00	6.03404640e-03 2.38844251e-03 5.00000000e-01	6281
5               	1.00023204e+00	2.00594380e-03 3.82971650e-04 5.00000000e-01	4240
6               	1.00028742e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
7               	1.00034981e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
8               	1.00041458e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
9               	1.00047428e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
10              	1.00052933e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
11              	1.00058226e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
12              	1.00063301e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
13              	1.00068039e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
14              	1.00072504e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
15              	1.00076744e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
16              	1.00080779e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
17              	1.00084617e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
18              	1.00088262e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
19              	1.00091715e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
20              	1.00094980e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
21              	1.00098051e+00	2.00594380e-03 2.34910355e-04 5.00000000e-01	3696
22              	1.00101273e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
23              	1.00104613e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
24              	1.00107766e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
25              	1.00110756e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
26              	1.00113605e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
27              	1.00116317e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
28              	1.00118868e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
29              	1.00121263e+00	2.00594380e-03 2.65460842e-04 5.00000000e-01	3832
30              	1.00123572e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
31              	1.00126139e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
32              	1.00128491e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
33              	1.00130659e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
34              	1.00132669e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
35              	1.00134525e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
36              	1.00136233e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
37              	1.00137794e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
38              	1.00139206e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
39              	1.00140471e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
40              	1.00141583e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
41              	1.00142548e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
42              	1.00143375e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
43              	1.00144074e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
44              	1.00144661e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
45              	1.00145142e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
46              	1.00145519e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
47              	1.00145798e+00	2.00594380e-03 2.99967302e-04 5.00000000e-01	3968
48              	1.00146303e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
49              	1.00147091e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
50              	1.00147817e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
51              	1.00148477e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
52              	1.00149059e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
53              	1.00149542e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
54              	1.00149930e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
55              	1.00150231e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
56              	1.00150456e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
57              	1.00150622e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
58              	1.00150737e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
59              	1.00150806e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
60              	1.00150835e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
61              	1.00150826e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
62              	1.00150784e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
63              	1.00150710e+00	6.03404640e-03 3.82971650e-04 5.00000000e-01	4241
