# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minp	location	cell	mink	location	cell	minepsilon	location	cell	minnut	location	cell
0               	0.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	1.50000000e-04	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	1.00000000e-02	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	2.02500000e-07	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
1               	2.13754260e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	9.32812335e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.41676250e-03	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.30468590e-10	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
2               	3.11408531e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.91437126e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.96439603e-03	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.77836376e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
3               	2.58307064e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.83068543e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.64212386e-03	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.46275846e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
4               	-5.43324134e-05	1.00952164e-02 1.00232707e-06 5.00000000e-01	26	2.53930418e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	9.22787135e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.19287287e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
5               	-1.99565262e-04	6.03404640e-03 3.02191818e-06 5.00000000e-01	161	1.72566023e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.27357759e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.83379575e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
6               	-3.33606442e-04	6.03404640e-03 3.02191818e-06 5.00000000e-01	161	1.20385825e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.07326523e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.63432769e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
7               	-4.54000065e-04	6.03404640e-03 3.02191818e-06 5.00000000e-01	161	8.62833711e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.83150825e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.65015765e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
8               	-5.65604865e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.35453193e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.11918713e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.87321279e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
9               	-6.70319285e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.80636515e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.02884277e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.27321773e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
10              	-7.68775735e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	3.72921303e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.54433606e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.81504906e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
11              	-8.61764945e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	2.96313034e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.02700776e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.46658665e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
12              	-9.50209144e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	2.40623256e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.07716463e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.20123626e-11	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
13              	-1.03551261e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.99266030e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.46704359e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	9.98162850e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
14              	-1.11825155e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.67917783e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.06476471e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.41555274e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
15              	-1.19952518e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.43693736e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.92590058e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.19639135e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
16              	-1.27945444e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.24636503e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	6.03793194e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	6.23727930e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
17              	-1.35815269e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.09395142e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.69699261e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.47436168e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
18              	-1.43566956e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	9.70213999e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.72329866e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.86068678e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
19              	-1.51214217e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.68388481e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.00167062e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.36163647e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
20              	-1.58777713e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.83578362e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.45673328e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.95156567e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
21              	-1.66250257e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.12196241e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.03813989e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.61133022e-12	2.00594380e-03 1.00232707e-06 5.00000000e-01	24
22              	-1.73630777e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.51593384e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.71160635e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.32059132e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
23              	-1.80922859e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.99812247e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.45336885e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.07199155e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
24              	-1.88101570e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.55419746e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.24669372e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.85980106e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
25              	-1.95145800e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.17393022e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.07963831e-06	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.67748265e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
26              	-2.02034927e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.85037987e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	9.43586543e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.51991364e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
27              	-2.08734957e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.57926379e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.32270737e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.38304211e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
28              	-2.15214655e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.35840958e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.41101798e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.26363401e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
29              	-2.21467525e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.18721771e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	6.66696853e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.15908575e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
30              	-2.27468157e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.06609649e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	6.06534768e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.06728405e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
31              	-2.33213029e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	3.99586393e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.58696623e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.98650050e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
32              	-2.38697968e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	3.97714176e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.21665858e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.91531157e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
33              	-2.43919438e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.00979224e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.94174479e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.85253744e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
34              	-2.48880250e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.09246071e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.75088934e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.79719480e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
35              	-2.53577161e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.22228446e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.63332760e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.74845992e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
36              	-2.58014898e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.39480889e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.57843463e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.70563954e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
37              	-2.62198946e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.60412149e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.57559536e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.66814762e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
38              	-2.66127806e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.84317894e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.61431167e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.63548670e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
39              	-2.69825567e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.10427270e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.68446449e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.60723272e-12	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
40              	-2.73246961e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.37955922e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	4.77664352e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.58226422e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
41              	-2.76420732e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.66052608e-07	1.97852077e+00 1.48892767e-02 5.00000000e-01	8431	4.88246519e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.55981889e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
42              	-2.79349487e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.93572809e-07	1.97852077e+00 8.09012719e-03 5.00000000e-01	7751	4.99481827e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.54064548e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
43              	-2.82042551e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.20261280e-07	1.97852077e+00 7.16096644e-03 5.00000000e-01	7615	5.10800041e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.52451106e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
44              	-2.84501212e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.46020716e-07	1.97852077e+00 6.33852041e-03 5.00000000e-01	7479	5.21773433e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.51121609e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
45              	-2.86758548e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.70749979e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.32107393e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.50059003e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
46              	-2.88861339e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.94256352e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.41622663e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.49248778e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
47              	-2.90759414e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.16541454e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.50232595e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.48678663e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
48              	-2.92486771e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.37513002e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.57918951e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.48338375e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
49              	-2.94028917e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.57144271e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.64709187e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.48219404e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
50              	-2.95396914e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.75455009e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.70657280e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.48314837e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
51              	-2.96598792e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	7.92494274e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.75829146e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.48619215e-12	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
52              	-2.97655097e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.08326587e-07	1.97852077e+00 5.61053279e-03 5.00000000e-01	7343	5.80292758e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.49126943e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
53              	-2.98530258e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.23015976e-07	1.97852077e+00 6.33852041e-03 5.00000000e-01	7479	5.84112392e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.49738702e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
54              	-2.99250982e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.36539648e-07	1.97852077e+00 6.33852041e-03 5.00000000e-01	7479	5.87346051e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.50525318e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
55              	-2.99824491e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.49052459e-07	1.97852077e+00 6.33852041e-03 5.00000000e-01	7479	5.90045009e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.51482369e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
56              	-3.00252693e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.60537623e-07	1.97852077e+00 7.16096644e-03 5.00000000e-01	7615	5.92254524e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.52606043e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
57              	-3.00555630e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.71054537e-07	1.97852077e+00 8.09012719e-03 5.00000000e-01	7751	5.94014982e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.53893065e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
58              	-3.00751425e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.80609779e-07	1.97852077e+00 1.16655802e-02 5.00000000e-01	8159	5.95363025e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.55340631e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
59              	-3.00840211e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.89193600e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.96332423e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.56946345e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
60              	-3.00830767e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	8.96947539e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.96954629e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.58708169e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
61              	-3.00722547e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	9.03997028e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.97259085e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.60624374e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
62              	-3.00513106e-03	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	9.10387791e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.97273346e-07	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.62693496e-12	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
