# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMagU	location	cell
0               	1.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
1               	5.90328281e-01	1.46301914e+00 1.00232707e-06 5.00000000e-01	123
2               	3.40188341e-01	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
3               	2.31629965e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
4               	1.77027742e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
5               	1.45583823e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
6               	1.25361606e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
7               	1.11206097e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
8               	1.00650717e-01	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
9               	9.24004389e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
10              	8.57200329e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
11              	8.01633858e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
12              	7.54429926e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
13              	7.13648242e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
14              	6.77928214e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
15              	6.46284206e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
16              	6.17982456e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
17              	5.92463738e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
18              	5.69293298e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
19              	5.48127265e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
20              	5.28689540e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
21              	5.10755484e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
22              	4.94140158e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
23              	4.78689707e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
24              	4.64274923e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
25              	4.50786379e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
26              	4.38130683e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
27              	4.26227570e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
28              	4.15007615e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
29              	4.04410424e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
30              	3.94383164e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
31              	3.84879384e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
32              	3.75858037e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
33              	3.67282686e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
34              	3.59120833e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
35              	3.51343368e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
36              	3.43924103e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
37              	3.36839381e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
38              	3.30067753e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
39              	3.23589705e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
40              	3.17387453e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
41              	3.11444745e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
42              	3.05746710e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
43              	3.00279753e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
44              	2.95031454e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
45              	2.89990424e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
46              	2.85146241e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
47              	2.80489402e-02	6.03404640e-03 1.00232707e-06 5.00000000e-01	25
48              	2.75919416e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
49              	2.71389931e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
50              	2.67021189e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
51              	2.62806690e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
52              	2.58740443e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
53              	2.54816937e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
54              	2.51031088e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
55              	2.47378211e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
56              	2.43853986e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
57              	2.40454418e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
58              	2.37175812e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
59              	2.34014752e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
60              	2.30968079e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
61              	2.28032875e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
62              	2.25206436e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
63              	2.22441902e-02	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
64              	2.19704387e-02	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
65              	2.17054618e-02	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
66              	2.14489850e-02	1.07639292e+00 1.00232707e-06 5.00000000e-01	114
67              	2.12007465e-02	1.42006067e+00 1.00232707e-06 5.00000000e-01	122
68              	2.09604968e-02	1.46301914e+00 1.00232707e-06 5.00000000e-01	123
69              	2.07279982e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
70              	2.05030228e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
71              	2.02853518e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
72              	2.00747750e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
73              	1.98710902e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
74              	1.96741021e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
75              	1.94836223e-02	1.97852077e+00 1.00232707e-06 5.00000000e-01	135
