# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	bottom	-6.22112002e-03 -3.54891373e-05 -8.78900109e-19	-3.26753707e-03 -2.20946796e-14 4.53630354e-18
2.00000000e+02	bottom	-7.35280810e-03 -3.57249015e-05 -1.73715579e-17	-2.85144640e-03 -2.07040568e-11 1.07339102e-17
3.00000000e+02	bottom	-7.74405959e-03 -3.58023576e-05 -1.65837233e-17	-2.65365357e-03 -5.49531708e-11 1.26941591e-17
4.00000000e+02	bottom	-7.81119020e-03 -3.57807467e-05 -1.53313277e-17	-2.45353526e-03 -7.93752904e-11 1.19231717e-17
5.00000000e+02	bottom	-7.81107965e-03 -3.57456497e-05 -1.46956812e-17	-2.31114137e-03 -9.90542291e-11 1.07484406e-17
6.00000000e+02	bottom	-7.80249240e-03 -3.57125679e-05 -1.45102966e-17	-2.22303823e-03 -1.16380095e-10 1.01378208e-17
7.00000000e+02	bottom	-7.79406618e-03 -3.56835757e-05 -1.44761430e-17	-2.17184016e-03 -1.30092295e-10 9.98774018e-18
8.00000000e+02	bottom	-7.78670172e-03 -3.56588349e-05 -1.44593265e-17	-2.14247060e-03 -1.40257156e-10 9.99345677e-18
9.00000000e+02	bottom	-7.78052811e-03 -3.56380772e-05 -1.44364609e-17	-2.12550661e-03 -1.47702764e-10 1.00090985e-17
1.00000000e+03	bottom	-7.77546536e-03 -3.56207998e-05 -1.44124781e-17	-2.11570797e-03 -1.53200123e-10 1.00081414e-17
1.10000000e+03	bottom	-7.77133705e-03 -3.56064357e-05 -1.43918747e-17	-2.11019199e-03 -1.57313356e-10 9.99842089e-18
1.20000000e+03	bottom	-7.76796042e-03 -3.55944664e-05 -1.43753291e-17	-2.10728614e-03 -1.60282081e-10 9.98790390e-18
1.30000000e+03	bottom	-7.76518241e-03 -3.55844632e-05 -1.43619967e-17	-2.10595284e-03 -1.62427714e-10 9.97927545e-18
1.40000000e+03	bottom	-7.76290225e-03 -3.55760838e-05 -1.43511871e-17	-2.10552962e-03 -1.63934000e-10 9.97239766e-18
1.50000000e+03	bottom	-7.76103714e-03 -3.55690479e-05 -1.43424155e-17	-2.10559487e-03 -1.64953038e-10 9.96675719e-18
1.60000000e+03	bottom	-7.75951943e-03 -3.55631307e-05 -1.43353609e-17	-2.10588559e-03 -1.65619116e-10 9.96201724e-18
1.70000000e+03	bottom	-7.75829026e-03 -3.55581505e-05 -1.43297434e-17	-2.10624955e-03 -1.66039622e-10 9.95798738e-18
1.80000000e+03	bottom	-7.75729973e-03 -3.55539494e-05 -1.43253165e-17	-2.10660752e-03 -1.66294233e-10 9.95457632e-18
1.90000000e+03	bottom	-7.75651075e-03 -3.55504088e-05 -1.43218909e-17	-2.10692218e-03 -1.66436675e-10 9.95170456e-18
2.00000000e+03	bottom	-7.75588798e-03 -3.55474450e-05 -1.43192869e-17	-2.10717959e-03 -1.66506518e-10 9.94927602e-18
