# y+          
# Time          	patch           	min             	max             	average         
0               	bottom	2.24049705e+00	2.24049705e+00	2.24049705e+00
100             	bottom	2.86476979e-01	3.95289810e-01	2.89309444e-01
200             	bottom	2.67615996e-01	4.29741623e-01	2.81422546e-01
300             	bottom	2.58167503e-01	4.41026838e-01	2.79924814e-01
400             	bottom	2.48242200e-01	4.42934245e-01	2.76754221e-01
500             	bottom	2.40931019e-01	4.42931109e-01	2.74829306e-01
600             	bottom	2.36294132e-01	4.42687566e-01	2.74045640e-01
700             	bottom	2.33557270e-01	4.42448464e-01	2.73861101e-01
800             	bottom	2.31972713e-01	4.42239388e-01	2.73917534e-01
900             	bottom	2.31052508e-01	4.42064040e-01	2.74045200e-01
1000            	bottom	2.30519320e-01	4.41920190e-01	2.74177240e-01
1100            	bottom	2.30218618e-01	4.41802862e-01	2.74291072e-01
1200            	bottom	2.30060057e-01	4.41706868e-01	2.74381582e-01
1300            	bottom	2.29987266e-01	4.41627881e-01	2.74450146e-01
1400            	bottom	2.29964151e-01	4.41563037e-01	2.74500365e-01
1500            	bottom	2.29967719e-01	4.41509991e-01	2.74536219e-01
1600            	bottom	2.29983597e-01	4.41466817e-01	2.74561290e-01
1700            	bottom	2.30003465e-01	4.41431850e-01	2.74578503e-01
1800            	bottom	2.30023008e-01	4.41403668e-01	2.74590118e-01
1900            	bottom	2.30040185e-01	4.41381222e-01	2.74597827e-01
2000            	bottom	2.30054239e-01	4.41363500e-01	2.74602852e-01
