# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
1               	bottom	9.51063515e+01	1.17068958e+02	1.08900529e+02
2               	bottom	9.99843371e+01	1.16555501e+02	1.07229179e+02
3               	bottom	8.28649740e+01	1.16471837e+02	1.00070522e+02
4               	bottom	7.74864491e+01	1.16476079e+02	9.58235147e+01
5               	bottom	6.93737571e+01	1.16432678e+02	9.13002724e+01
6               	bottom	6.40577159e+01	1.16367535e+02	8.78154328e+01
7               	bottom	6.04894174e+01	1.16323132e+02	8.51329536e+01
8               	bottom	5.82744652e+01	1.16303835e+02	8.31373261e+01
9               	bottom	5.68598415e+01	1.16299358e+02	8.16677377e+01
10              	bottom	5.58466866e+01	1.16299263e+02	8.05821699e+01
11              	bottom	5.50294516e+01	1.16299615e+02	7.97671286e+01
12              	bottom	5.43520096e+01	1.16299677e+02	7.91523849e+01
13              	bottom	5.38230797e+01	1.16299892e+02	7.86959934e+01
14              	bottom	5.34282594e+01	1.16300482e+02	7.83693190e+01
15              	bottom	5.31128562e+01	1.16301450e+02	7.81456392e+01
16              	bottom	5.28117115e+01	1.16302652e+02	7.79975119e+01
17              	bottom	5.24901568e+01	1.16303932e+02	7.79012754e+01
18              	bottom	5.21632091e+01	1.16305226e+02	7.78420193e+01
19              	bottom	5.18681139e+01	1.16306552e+02	7.78135632e+01
20              	bottom	5.16310080e+01	1.16307951e+02	7.78142309e+01
21              	bottom	5.14527807e+01	1.16309406e+02	7.78419010e+01
22              	bottom	5.13094689e+01	1.16310863e+02	7.78912971e+01
23              	bottom	5.11709995e+01	1.16312263e+02	7.79549437e+01
24              	bottom	5.10246927e+01	1.16313560e+02	7.80263859e+01
25              	bottom	5.08788342e+01	1.16314732e+02	7.81024721e+01
26              	bottom	5.07507215e+01	1.16315771e+02	7.81830644e+01
27              	bottom	5.06529325e+01	1.16316688e+02	7.82692245e+01
28              	bottom	5.05867190e+01	1.16317497e+02	7.83612819e+01
29              	bottom	5.05419792e+01	1.16318211e+02	7.84579684e+01
30              	bottom	5.05059045e+01	1.16318860e+02	7.85570776e+01
31              	bottom	5.04720255e+01	1.16319448e+02	7.86567805e+01
32              	bottom	5.04421852e+01	1.16319938e+02	7.87563522e+01
33              	bottom	5.04223389e+01	1.16320362e+02	7.88560006e+01
34              	bottom	5.04175783e+01	1.16320753e+02	7.89562010e+01
35              	bottom	5.04287738e+01	1.16321118e+02	7.90570763e+01
36              	bottom	5.04527102e+01	1.16321442e+02	7.91582220e+01
37              	bottom	5.04851589e+01	1.16321726e+02	7.92590349e+01
38              	bottom	5.05237532e+01	1.16321973e+02	7.93590746e+01
39              	bottom	5.05686406e+01	1.16322186e+02	7.94582188e+01
40              	bottom	5.06213924e+01	1.16322371e+02	7.95565601e+01
41              	bottom	5.06833254e+01	1.16322533e+02	7.96541963e+01
42              	bottom	5.07545056e+01	1.16322673e+02	7.97511036e+01
43              	bottom	5.08339717e+01	1.16322796e+02	7.98471517e+01
44              	bottom	5.09206260e+01	1.16322904e+02	7.99421966e+01
45              	bottom	5.10139214e+01	1.16322999e+02	8.00361600e+01
46              	bottom	5.11139652e+01	1.16323082e+02	8.01290313e+01
47              	bottom	5.12211682e+01	1.16323160e+02	8.02208230e+01
48              	bottom	5.13358433e+01	1.16323240e+02	8.03115323e+01
49              	bottom	5.14580049e+01	1.16323324e+02	8.04011253e+01
50              	bottom	5.15874953e+01	1.16323415e+02	8.04895620e+01
51              	bottom	5.17241648e+01	1.16323512e+02	8.05768114e+01
52              	bottom	5.18680168e+01	1.16323613e+02	8.06628601e+01
53              	bottom	5.20191791e+01	1.16323717e+02	8.07476964e+01
54              	bottom	5.21777984e+01	1.16323822e+02	8.08313046e+01
55              	bottom	5.23439679e+01	1.16323933e+02	8.09136653e+01
56              	bottom	5.25177158e+01	1.16324048e+02	8.09947611e+01
57              	bottom	5.26990401e+01	1.16324165e+02	8.10745778e+01
58              	bottom	5.28879321e+01	1.16324282e+02	8.11531009e+01
59              	bottom	5.30843758e+01	1.16324398e+02	8.12303140e+01
60              	bottom	5.32883222e+01	1.16324513e+02	8.13062011e+01
61              	bottom	5.34996707e+01	1.16324627e+02	8.13807484e+01
62              	bottom	5.37182612e+01	1.16324740e+02	8.14539435e+01
63              	bottom	5.39438897e+01	1.16324853e+02	8.15257730e+01
64              	bottom	5.41763159e+01	1.16324966e+02	8.15962227e+01
65              	bottom	5.44152567e+01	1.16325078e+02	8.16652810e+01
66              	bottom	5.46603914e+01	1.16325189e+02	8.17329386e+01
67              	bottom	5.49113726e+01	1.16325300e+02	8.17991873e+01
68              	bottom	5.51678343e+01	1.16325412e+02	8.18640181e+01
69              	bottom	5.54293919e+01	1.16325524e+02	8.19274244e+01
70              	bottom	5.56956472e+01	1.16325635e+02	8.19894021e+01
71              	bottom	5.59661954e+01	1.16325747e+02	8.20499481e+01
72              	bottom	5.62406296e+01	1.16325857e+02	8.21090603e+01
73              	bottom	5.65185410e+01	1.16325967e+02	8.21667385e+01
74              	bottom	5.67995220e+01	1.16326077e+02	8.22229847e+01
75              	bottom	5.70831669e+01	1.16326186e+02	8.22778025e+01
76              	bottom	5.73690743e+01	1.16326294e+02	8.23311964e+01
77              	bottom	5.76568451e+01	1.16326401e+02	8.23831725e+01
78              	bottom	5.79460818e+01	1.16326506e+02	8.24337389e+01
79              	bottom	5.82363915e+01	1.16326611e+02	8.24829052e+01
80              	bottom	5.85273867e+01	1.16326715e+02	8.25306825e+01
81              	bottom	5.88186853e+01	1.16326817e+02	8.25770832e+01
82              	bottom	5.91099078e+01	1.16326918e+02	8.26221219e+01
83              	bottom	5.94006809e+01	1.16327018e+02	8.26658138e+01
84              	bottom	5.96906363e+01	1.16327116e+02	8.27081759e+01
85              	bottom	5.99793872e+01	1.16327212e+02	8.27492235e+01
86              	bottom	6.02665570e+01	1.16327308e+02	8.27889755e+01
87              	bottom	6.05518037e+01	1.16327401e+02	8.28274551e+01
88              	bottom	6.08348055e+01	1.16327493e+02	8.28646860e+01
89              	bottom	6.11152337e+01	1.16327584e+02	8.29006892e+01
90              	bottom	6.13927716e+01	1.16327673e+02	8.29354871e+01
91              	bottom	6.16671095e+01	1.16327760e+02	8.29691030e+01
92              	bottom	6.19379469e+01	1.16327845e+02	8.30015607e+01
93              	bottom	6.22049958e+01	1.16327929e+02	8.30328850e+01
94              	bottom	6.24679850e+01	1.16328011e+02	8.30631007e+01
95              	bottom	6.27266599e+01	1.16328092e+02	8.30922336e+01
96              	bottom	6.29807854e+01	1.16328173e+02	8.31203096e+01
97              	bottom	6.32301471e+01	1.16328253e+02	8.31473552e+01
98              	bottom	6.34745516e+01	1.16328331e+02	8.31733970e+01
99              	bottom	6.37138276e+01	1.16328408e+02	8.31984619e+01
100             	bottom	6.39478271e+01	1.16328483e+02	8.32225769e+01
101             	bottom	6.41764221e+01	1.16328557e+02	8.32457696e+01
102             	bottom	6.43995124e+01	1.16328630e+02	8.32680671e+01
103             	bottom	6.46170178e+01	1.16328702e+02	8.32894969e+01
104             	bottom	6.48288830e+01	1.16328772e+02	8.33100862e+01
105             	bottom	6.50350731e+01	1.16328841e+02	8.33298620e+01
106             	bottom	6.52355749e+01	1.16328909e+02	8.33488512e+01
107             	bottom	6.54303958e+01	1.16328976e+02	8.33670801e+01
108             	bottom	6.56195602e+01	1.16329042e+02	8.33845749e+01
109             	bottom	6.58031108e+01	1.16329107e+02	8.34013614e+01
110             	bottom	6.59811075e+01	1.16329170e+02	8.34174649e+01
111             	bottom	6.61536259e+01	1.16329233e+02	8.34329100e+01
112             	bottom	6.63207532e+01	1.16329294e+02	8.34477210e+01
113             	bottom	6.64825879e+01	1.16329355e+02	8.34619212e+01
114             	bottom	6.66392372e+01	1.16329415e+02	8.34755338e+01
115             	bottom	6.67908163e+01	1.16329474e+02	8.34885809e+01
116             	bottom	6.69374461e+01	1.16329531e+02	8.35010842e+01
117             	bottom	6.70792532e+01	1.16329588e+02	8.35130646e+01
118             	bottom	6.72163682e+01	1.16329644e+02	8.35245423e+01
119             	bottom	6.73489236e+01	1.16329700e+02	8.35355370e+01
120             	bottom	6.74770514e+01	1.16329754e+02	8.35460674e+01
121             	bottom	6.76008827e+01	1.16329808e+02	8.35561518e+01
122             	bottom	6.77205471e+01	1.16329862e+02	8.35658079e+01
123             	bottom	6.78361741e+01	1.16329914e+02	8.35750526e+01
124             	bottom	6.79478907e+01	1.16329966e+02	8.35839025e+01
125             	bottom	6.80558211e+01	1.16330017e+02	8.35923731e+01
126             	bottom	6.81600853e+01	1.16330068e+02	8.36004799e+01
127             	bottom	6.82607989e+01	1.16330117e+02	8.36082374e+01
128             	bottom	6.83580728e+01	1.16330166e+02	8.36156597e+01
129             	bottom	6.84520135e+01	1.16330215e+02	8.36227605e+01
130             	bottom	6.85427232e+01	1.16330263e+02	8.36295528e+01
131             	bottom	6.86302995e+01	1.16330310e+02	8.36360493e+01
132             	bottom	6.87148352e+01	1.16330356e+02	8.36422622e+01
133             	bottom	6.87964191e+01	1.16330402e+02	8.36482031e+01
134             	bottom	6.88751355e+01	1.16330451e+02	8.36538835e+01
135             	bottom	6.89510648e+01	1.16330502e+02	8.36593143e+01
136             	bottom	6.90242838e+01	1.16330553e+02	8.36645059e+01
137             	bottom	6.90948659e+01	1.16330602e+02	8.36694685e+01
138             	bottom	6.91628813e+01	1.16330650e+02	8.36742118e+01
139             	bottom	6.92283974e+01	1.16330699e+02	8.36787451e+01
140             	bottom	6.92914791e+01	1.16330747e+02	8.36830775e+01
141             	bottom	6.93521894e+01	1.16330796e+02	8.36872176e+01
142             	bottom	6.94105891e+01	1.16330843e+02	8.36911737e+01
143             	bottom	6.94667377e+01	1.16330890e+02	8.36949540e+01
144             	bottom	6.95206928e+01	1.16330937e+02	8.36985662e+01
145             	bottom	6.95725115e+01	1.16330983e+02	8.37020176e+01
146             	bottom	6.96222504e+01	1.16331028e+02	8.37053154e+01
147             	bottom	6.96699660e+01	1.16331073e+02	8.37084665e+01
148             	bottom	6.97157142e+01	1.16331117e+02	8.37114776e+01
149             	bottom	6.97595499e+01	1.16331161e+02	8.37143545e+01
150             	bottom	6.98015288e+01	1.16331205e+02	8.37171040e+01
151             	bottom	6.98417055e+01	1.16331248e+02	8.37197317e+01
152             	bottom	6.98801349e+01	1.16331291e+02	8.37222431e+01
153             	bottom	6.99168722e+01	1.16331333e+02	8.37246437e+01
154             	bottom	6.99519724e+01	1.16331375e+02	8.37269385e+01
155             	bottom	6.99854908e+01	1.16331417e+02	8.37291331e+01
156             	bottom	7.00174808e+01	1.16331458e+02	8.37312313e+01
157             	bottom	7.00479970e+01	1.16331499e+02	8.37332379e+01
158             	bottom	7.00770935e+01	1.16331539e+02	8.37351572e+01
159             	bottom	7.01048240e+01	1.16331579e+02	8.37369933e+01
160             	bottom	7.01312416e+01	1.16331619e+02	8.37387503e+01
161             	bottom	7.01563986e+01	1.16331659e+02	8.37404320e+01
162             	bottom	7.01803467e+01	1.16331698e+02	8.37420419e+01
163             	bottom	7.02031363e+01	1.16331737e+02	8.37435834e+01
164             	bottom	7.02248174e+01	1.16331775e+02	8.37450599e+01
165             	bottom	7.02454389e+01	1.16331812e+02	8.37464744e+01
166             	bottom	7.02650484e+01	1.16331849e+02	8.37478299e+01
167             	bottom	7.02836922e+01	1.16331885e+02	8.37491293e+01
168             	bottom	7.03014153e+01	1.16331920e+02	8.37503752e+01
169             	bottom	7.03182613e+01	1.16331956e+02	8.37515703e+01
170             	bottom	7.03342727e+01	1.16331991e+02	8.37527169e+01
171             	bottom	7.03494901e+01	1.16332026e+02	8.37538174e+01
172             	bottom	7.03639529e+01	1.16332061e+02	8.37548740e+01
173             	bottom	7.03776987e+01	1.16332095e+02	8.37558888e+01
174             	bottom	7.03907637e+01	1.16332129e+02	8.37568638e+01
175             	bottom	7.04031823e+01	1.16332163e+02	8.37578010e+01
176             	bottom	7.04149878e+01	1.16332197e+02	8.37587020e+01
177             	bottom	7.04262119e+01	1.16332231e+02	8.37595687e+01
178             	bottom	7.04368846e+01	1.16332264e+02	8.37604027e+01
179             	bottom	7.04470347e+01	1.16332298e+02	8.37612054e+01
180             	bottom	7.04566893e+01	1.16332331e+02	8.37619785e+01
181             	bottom	7.04658743e+01	1.16332364e+02	8.37627232e+01
182             	bottom	7.04746142e+01	1.16332396e+02	8.37634409e+01
183             	bottom	7.04829323e+01	1.16332429e+02	8.37641328e+01
184             	bottom	7.04908506e+01	1.16332461e+02	8.37648002e+01
185             	bottom	7.04983900e+01	1.16332493e+02	8.37654442e+01
186             	bottom	7.05055701e+01	1.16332525e+02	8.37660658e+01
187             	bottom	7.05124096e+01	1.16332557e+02	8.37666661e+01
188             	bottom	7.05189260e+01	1.16332589e+02	8.37672461e+01
189             	bottom	7.05251361e+01	1.16332620e+02	8.37678066e+01
190             	bottom	7.05310555e+01	1.16332652e+02	8.37683487e+01
191             	bottom	7.05366992e+01	1.16332683e+02	8.37688730e+01
192             	bottom	7.05420814e+01	1.16332714e+02	8.37693803e+01
193             	bottom	7.05472153e+01	1.16332745e+02	8.37698716e+01
194             	bottom	7.05521134e+01	1.16332775e+02	8.37703474e+01
195             	bottom	7.05567876e+01	1.16332806e+02	8.37708084e+01
196             	bottom	7.05612492e+01	1.16332836e+02	8.37712553e+01
197             	bottom	7.05655088e+01	1.16332867e+02	8.37716887e+01
198             	bottom	7.05695765e+01	1.16332897e+02	8.37721092e+01
199             	bottom	7.05734618e+01	1.16332927e+02	8.37725173e+01
200             	bottom	7.05771739e+01	1.16332957e+02	8.37729137e+01
201             	bottom	7.05807213e+01	1.16332986e+02	8.37732988e+01
202             	bottom	7.05841123e+01	1.16333016e+02	8.37736730e+01
203             	bottom	7.05873546e+01	1.16333045e+02	8.37740370e+01
204             	bottom	7.05904556e+01	1.16333075e+02	8.37743910e+01
205             	bottom	7.05934223e+01	1.16333104e+02	8.37747355e+01
206             	bottom	7.05962612e+01	1.16333133e+02	8.37750709e+01
207             	bottom	7.05989788e+01	1.16333162e+02	8.37753975e+01
208             	bottom	7.06015810e+01	1.16333191e+02	8.37757159e+01
209             	bottom	7.06040734e+01	1.16333220e+02	8.37760262e+01
210             	bottom	7.06064615e+01	1.16333248e+02	8.37763288e+01
211             	bottom	7.06087505e+01	1.16333277e+02	8.37766240e+01
212             	bottom	7.06109450e+01	1.16333305e+02	8.37769121e+01
213             	bottom	7.06130499e+01	1.16333334e+02	8.37771935e+01
214             	bottom	7.06150694e+01	1.16333362e+02	8.37774683e+01
215             	bottom	7.06170079e+01	1.16333390e+02	8.37777369e+01
216             	bottom	7.06188693e+01	1.16333418e+02	8.37779995e+01
217             	bottom	7.06206573e+01	1.16333446e+02	8.37782562e+01
218             	bottom	7.06223757e+01	1.16333474e+02	8.37785074e+01
219             	bottom	7.06240278e+01	1.16333501e+02	8.37787533e+01
220             	bottom	7.06256169e+01	1.16333529e+02	8.37789940e+01
221             	bottom	7.06271460e+01	1.16333556e+02	8.37792298e+01
222             	bottom	7.06286181e+01	1.16333584e+02	8.37794608e+01
223             	bottom	7.06300360e+01	1.16333611e+02	8.37796872e+01
224             	bottom	7.06314022e+01	1.16333638e+02	8.37799092e+01
225             	bottom	7.06327193e+01	1.16333665e+02	8.37801269e+01
226             	bottom	7.06339897e+01	1.16333692e+02	8.37803405e+01
227             	bottom	7.06352156e+01	1.16333719e+02	8.37805501e+01
228             	bottom	7.06363992e+01	1.16333746e+02	8.37807560e+01
229             	bottom	7.06375424e+01	1.16333773e+02	8.37809581e+01
230             	bottom	7.06386473e+01	1.16333800e+02	8.37811567e+01
231             	bottom	7.06397156e+01	1.16333826e+02	8.37813519e+01
