# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.20381808e-03	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7	1.00474946e-03	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.30083553e+02	(1.84777604e-02 2.05728518e-03 5.00000000e-01)	205	2.59451382e-06	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	11
2               	2.36201446e-03	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	5.97282216e-03	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	1.09881666e+03	(1.96867370e+00 1.21537301e-03 5.00000000e-01)	199	4.02040201e-06	(3.81516084e-02 4.00664797e-04 5.00000000e-01)	10
3               	4.03280720e-03	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	6.56281252e-03	(1.87697231e-01 4.00664797e-04 5.00000000e-01)	34	8.58942558e+02	(9.62144744e-01 4.00664797e-04 5.00000000e-01)	77	9.55683005e-06	(8.20128557e-02 4.00664797e-04 5.00000000e-01)	19
4               	5.10357668e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	7.52750555e-03	(9.94959316e-02 4.00664797e-04 5.00000000e-01)	22	9.00366501e+02	(1.87697231e-01 4.00664797e-04 5.00000000e-01)	34	1.01072604e-05	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	11
5               	5.63828526e-03	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7	7.99701233e-03	(6.10390842e-02 4.00664797e-04 5.00000000e-01)	15	9.64272700e+02	(9.94959316e-02 4.00664797e-04 5.00000000e-01)	22	8.83535045e-06	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12
6               	5.96830370e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.38975292e-03	(5.14666457e-02 4.00664797e-04 5.00000000e-01)	13	9.93889751e+02	(6.10390842e-02 4.00664797e-04 5.00000000e-01)	15	8.53903323e-06	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12
7               	6.19021884e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.57106101e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.01800266e+03	(5.14666457e-02 4.00664797e-04 5.00000000e-01)	13	8.43502846e-06	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12
8               	6.29223430e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.65979419e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.02894372e+03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	8.41619808e-06	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12
9               	6.31112288e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.69900617e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.03425616e+03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	8.75995397e-06	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
10              	6.28695258e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.71562019e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.03659509e+03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.06927784e-05	(1.25359959e+00 2.05728518e-03 5.00000000e-01)	285
11              	6.25244188e-03	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	8.71954708e-03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.03758450e+03	(4.68933393e-02 4.00664797e-04 5.00000000e-01)	12	1.26588509e-05	(1.25359959e+00 2.05728518e-03 5.00000000e-01)	285
