# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.50000000e-04	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.50000000e+02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.00000000e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	8.75269122e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.00880506e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.36119379e+02	(4.24563479e-02 4.00664797e-04 5.00000000e-01)	11	2.33343084e-07	(2.21780719e-02 2.92730968e-03 5.00000000e-01)	306
2               	1.62016571e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.50512759e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.17247808e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.97614552e-07	(-2.84388080e-01 9.10418368e-01 5.00000000e-01)	5670
3               	1.67727394e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.60317846e-05	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.21145876e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.80620264e-07	(-2.84388080e-01 2.92730968e-03 5.00000000e-01)	5030
4               	-1.40182778e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.13740396e-05	(-6.59869767e-02 7.48729286e-01 5.00000000e-01)	5664	2.14139496e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.18190994e-07	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
5               	-2.31432991e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	8.55284162e-06	(-9.69427775e-02 9.10418368e-01 5.00000000e-01)	5673	1.62996030e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.13881478e-07	(8.02553783e-03 4.00664797e-04 5.00000000e-01)	2
6               	-1.90903912e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	6.82838858e-06	(-6.59869767e-02 9.10418368e-01 5.00000000e-01)	5674	1.33894687e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.11013145e-07	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
7               	-1.43449904e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.24166194e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	1.15406913e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.25244614e-09	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
8               	-1.92316756e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	5.10365777e-06	(-4.37956557e-02 7.48729286e-01 5.00000000e-01)	5665	1.02775261e+01	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.25877731e-08	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
9               	-2.88257310e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.66742645e-06	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	9.36938168e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.68295381e-08	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
10              	-3.81219947e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	4.44186234e-06	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1	8.69149735e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.45663930e-08	(4.74706631e-03 4.00664797e-04 5.00000000e-01)	1
11              	-4.45226784e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.76160452e-06	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4	8.17080761e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.76746493e-08	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
12              	-4.86075398e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.50515353e-06	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4	7.76185039e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.51681430e-08	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
13              	-5.25829820e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.53558019e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	7.43489267e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.97503950e-08	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
14              	-5.69063052e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	3.26909483e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	7.16964563e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.12155650e-08	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
15              	-6.17260254e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.24096287e-06	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5	6.95174286e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.24509124e-08	(1.84777604e-02 4.00664797e-04 5.00000000e-01)	5
16              	-6.71283732e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.01975272e-06	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6	6.77065659e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	1.90508502e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
17              	-7.23198405e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.63733661e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.61840542e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.72914870e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
18              	-7.74742137e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.47055302e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.48872044e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	3.65124396e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
19              	-8.24295585e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.32241962e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.37649956e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.17491708e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
20              	-8.72015526e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.19192844e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.27745342e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.39581565e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
21              	-9.24594351e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	2.07827233e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.18788735e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.45442725e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
22              	-9.80400976e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.98055756e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.10458663e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.49101713e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
23              	-1.04134426e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.89754570e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	6.02478061e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	4.50486526e-08	(2.21780719e-02 4.00664797e-04 5.00000000e-01)	6
24              	-1.10914173e-04	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.82745700e-06	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	5.94616565e+00	(1.96867370e+00 9.10418368e-01 5.00000000e-01)	7479	2.62456117e-08	(2.59920659e-02 4.00664797e-04 5.00000000e-01)	7
