#      distance             U_x             U_y             U_z               p           omega               k             nut
    0.001215373       0.6335348   4.0368756e-05  -2.7112112e-20   0.00018988048       357.26731    0.0041489648   1.5139684e-05
   0.0020572852      0.69017822   6.3317091e-05  -8.9090291e-22   0.00019070398       179.74777    0.0040658727   2.4841782e-05
   0.0029273097      0.72607988   9.4531838e-05   3.9115418e-21   0.00019153781       119.24666    0.0039127602   3.4309053e-05
   0.0038263852      0.75316774   0.00012954825   8.4356405e-21   0.00019237641       89.652107    0.0037861548   4.3283763e-05
   0.0047554818      0.77536229   0.00016776112    1.964925e-20   0.00019325246       72.281496     0.003667848    5.149897e-05
   0.0057156019      0.79450396   0.00020943396   1.5614631e-20   0.00019416464       60.979557    0.0035496798   5.8752824e-05
   0.0067077814      0.81161154   0.00025494813   8.5543274e-21   0.00019509896       53.143836    0.0034275882   6.4878282e-05
   0.0077330908      0.82731484   0.00030469176   9.7621561e-21   0.00019604069       47.489755     0.003299152   6.9729555e-05
   0.0087926364      0.84204917   0.00035919188   -8.735301e-21    0.0001969792       43.309758    0.0031623559   7.3049459e-05
   0.0098875613       0.8561719   0.00041929996  -3.7563853e-20   0.00019791094       40.168372    0.0030144031   7.4390561e-05
    0.011019047      0.87000038    0.0004862071  -4.0102442e-20   0.00019882709       37.763742     0.002851228   7.3600034e-05
    0.012188314      0.88378862    0.0005613451  -4.5413637e-21   0.00019970868       35.866801    0.0026676349   7.0895078e-05
    0.013396624      0.89772423    0.0006462084   2.5278533e-20   0.00020053663       34.288833     0.002457631   6.6505982e-05
    0.014645281      0.91193081    0.0007421612     1.77277e-20   0.00020129401       32.866826     0.002215558   6.0770899e-05
    0.015935632      0.92641803    0.0008500279    2.993615e-21   0.00020195635       31.468118    0.0019383913   5.4267134e-05
    0.017269069      0.94098466   0.00096876552  -1.5294062e-21   0.00020247359        30.00704    0.0016292634   4.7744797e-05
    0.018647031      0.95518124    0.0010940729               0   0.00020278156       28.477924    0.0013004298     4.16165e-05
    0.020071004      0.96861868    0.0012224268  -8.8791011e-21   0.00020292532       26.915606   0.00096486745   3.4528274e-05
    0.021542526      0.98131449    0.0013559738  -8.8791018e-21   0.00020302826       24.928148   0.00062455287   2.4596684e-05
    0.023063183      0.99266569    0.0014859933   1.4548834e-20   0.00020292226         20.1849   0.00030514785   1.3699211e-05
    0.024634616       1.0002458    0.0015734204   7.0631869e-20   0.00020224784       12.123033   8.9349588e-05   5.5146051e-06
    0.026258521       1.0030411      0.00160341   1.1234572e-19   0.00020111781        6.350004   1.0860777e-05   1.2804607e-06
     0.02793665       1.0034239    0.0016071486   8.0815632e-20   0.00019988294       5.0644327   3.5267662e-07   6.9167015e-08
    0.029670814       1.0034324    0.0016052213   2.4552947e-20   0.00019864324       5.0414995   3.2649562e-09   6.5650153e-10
    0.031462883       1.0034301    0.0016027944   2.6402857e-20   0.00019740103       5.0510881   1.4679565e-09   2.9063894e-10
    0.033314791       1.0034295    0.0016006255   1.2781858e-20    0.0001961436       5.0513775   1.4656546e-09   2.9013816e-10
    0.035228536       1.0034291    0.0015983437  -1.3621004e-20   0.00019485189       5.0512905   1.4671454e-09   2.9043822e-10
    0.037206184       1.0034281    0.0015959531  -1.4387507e-20   0.00019351446       5.0512893   1.4672109e-09   2.9045123e-10
    0.039249867       1.0034265    0.0015935636  -8.0710427e-20   0.00019212396       5.0512913   1.4672293e-09   2.9045473e-10
     0.04136179       1.0034247    0.0015912645  -1.3297768e-19   0.00019067479       5.0512923   1.4672587e-09   2.9046049e-10
    0.043544233       1.0034228    0.0015888077  -6.6654765e-20   0.00018916575       5.0512932   1.4672843e-09   2.9046548e-10
     0.04579955        1.003421    0.0015865537               0   0.00018759899       5.0512939   1.4673042e-09   2.9046938e-10
    0.048130175       1.0034199    0.0015841004  -6.1906979e-20    0.0001859787       5.0512945   1.4673204e-09   2.9047256e-10
    0.050538621       1.0034231    0.0015817712  -1.0787249e-19   0.00018431099       5.0512954    1.467335e-09   2.9047541e-10
    0.053027488       1.0034342    0.0015791928  -4.5965511e-20   0.00018259575       5.0512961   1.4673487e-09   2.9047807e-10
    0.055599461       1.0034476    0.0015761593  -3.0920745e-20   0.00018082636       5.0512959    1.467361e-09   2.9048051e-10
    0.058257315       1.0034577    0.0015726532  -8.7078664e-20   0.00017900249       5.0512952   1.4673723e-09   2.9048278e-10
    0.061003917       1.0034655    0.0015688622  -9.2079686e-20   0.00017712939       5.0512942   1.4673829e-09   2.9048493e-10
    0.063842231       1.0034729    0.0015647444  -1.6068804e-20   0.00017521438       5.0512927   1.4673927e-09   2.9048695e-10
     0.06677532       1.0034797    0.0015603101   5.3189571e-20   0.00017326551       5.0512907   1.4674017e-09   2.9048885e-10
    0.069806347       1.0034857    0.0015555573   4.3313496e-20   0.00017129232       5.0512882   1.4674099e-09   2.9049063e-10
    0.072938584        1.003491    0.0015504819   2.7129196e-20   0.00016930561       5.0512851   1.4674174e-09   2.9049228e-10
    0.076175409       1.0034944    0.0015451109   1.7152313e-20   0.00016731761       5.0512813   1.4674251e-09   2.9049402e-10
    0.079520315       1.0034949    0.0015394919               0   0.00016533899       5.0512768   1.4674498e-09   2.9049921e-10
    0.082976911       1.0034936    0.0015337642               0   0.00016337739       5.0512717   1.4675341e-09   2.9051631e-10
    0.086548926       1.0034917    0.0015277849  -3.7806057e-21   0.00016143462       5.0512657   1.4675842e-09   2.9052637e-10
    0.090240215       1.0034895    0.0015218284  -3.7806075e-21   0.00015951954       5.0512589   1.4670521e-09   2.9042014e-10
     0.09405476       1.0034869    0.0015157268               0   0.00015764584       5.0512512    1.466023e-09   2.9021693e-10
