# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
100             	bottom	2.04167788e+00	1.00973933e+02	6.93379940e+01
200             	bottom	1.62725879e+00	1.00970633e+02	6.92837485e+01
300             	bottom	1.29830019e+00	1.00968378e+02	6.92420149e+01
400             	bottom	1.03673675e+00	1.00966939e+02	6.92090436e+01
500             	bottom	8.28694086e-01	1.00966016e+02	6.91826546e+01
600             	bottom	6.63288893e-01	1.00965432e+02	6.91620186e+01
700             	bottom	5.31932633e-01	1.00965058e+02	6.91456721e+01
800             	bottom	4.27830136e-01	1.00965191e+02	6.91328318e+01
900             	bottom	3.45599962e-01	1.00965067e+02	6.91226478e+01
1000            	bottom	2.80977725e-01	1.00964988e+02	6.91146548e+01
1100            	bottom	2.30577771e-01	1.00964937e+02	6.91084261e+01
1200            	bottom	1.91696039e-01	1.00964905e+02	6.91036233e+01
1300            	bottom	1.62143638e-01	1.00964885e+02	6.90999737e+01
1400            	bottom	1.40107964e-01	1.00964872e+02	6.90972522e+01
1500            	bottom	1.24047340e-01	1.00964864e+02	6.90952681e+01
1600            	bottom	1.12628511e-01	1.00964858e+02	6.90938557e+01
1700            	bottom	1.03683197e-01	1.00964855e+02	6.90928686e+01
1800            	bottom	9.71588291e-02	1.00964853e+02	6.90921979e+01
1900            	bottom	9.27631558e-02	1.00964851e+02	6.90917505e+01
2000            	bottom	8.98504088e-02	1.00964850e+02	6.90914563e+01
