# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
1               	bottom	1.30253413e+01	3.47808915e+01	2.71981746e+01
2               	bottom	1.07120539e+01	8.48011244e+01	5.98107985e+01
3               	bottom	5.39849394e+00	8.88908005e+01	7.07926523e+01
4               	bottom	3.76602169e+00	9.52000903e+01	6.90466869e+01
5               	bottom	4.03268689e+00	9.81241034e+01	6.69132643e+01
6               	bottom	3.64987362e+00	1.00504707e+02	6.63358466e+01
7               	bottom	6.24734773e-01	1.01584889e+02	6.61270918e+01
8               	bottom	2.51207738e+00	1.02109372e+02	6.65081945e+01
9               	bottom	2.37055786e+00	1.02340289e+02	6.71346297e+01
10              	bottom	2.31256722e+00	1.02437971e+02	6.77812437e+01
11              	bottom	1.45635089e+00	1.02461045e+02	6.82990627e+01
12              	bottom	2.05430698e+00	1.02484655e+02	6.90391037e+01
13              	bottom	2.18404382e+00	1.02434122e+02	6.96411905e+01
14              	bottom	2.22393071e+00	1.02339032e+02	7.00746376e+01
15              	bottom	1.22233771e+00	1.02266225e+02	7.03170446e+01
16              	bottom	1.55941217e+00	1.02253526e+02	7.07141810e+01
17              	bottom	2.19609830e+00	1.02237740e+02	7.10456145e+01
18              	bottom	2.19472526e+00	1.02172644e+02	7.12284891e+01
19              	bottom	2.36108237e+00	1.02070420e+02	7.12601933e+01
20              	bottom	2.42500786e+00	1.02035563e+02	7.14578441e+01
21              	bottom	2.44768023e+00	1.02035617e+02	7.15953335e+01
22              	bottom	2.45429183e+00	1.02003198e+02	7.16456266e+01
23              	bottom	2.45512055e+00	1.01929030e+02	7.15618346e+01
24              	bottom	2.02759352e+00	1.01835934e+02	7.15234898e+01
25              	bottom	2.36995632e+00	1.01818709e+02	7.15727730e+01
26              	bottom	2.44619868e+00	1.01822068e+02	7.16087503e+01
27              	bottom	2.44014815e+00	1.01796573e+02	7.15813020e+01
28              	bottom	2.43359728e+00	1.01736340e+02	7.14376289e+01
29              	bottom	1.53290626e+00	1.01660902e+02	7.12930495e+01
