# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(nuTilda)	location	cell	max(nut)	location	cell
0               	2.00000000e-06	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.47285058e-06	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.52769666e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99	1.12503446e-05	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	1.20725470e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299	1.19390727e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
3               	1.64039003e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299	1.63772495e-05	(1.96867370e+00 2.05728518e-03 5.00000000e-01)	299
4               	1.85039887e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	1.84902447e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
5               	2.13331068e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399	2.13234701e-05	(1.96867370e+00 2.92730968e-03 5.00000000e-01)	399
6               	2.35679207e-05	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499	2.35609416e-05	(1.96867370e+00 3.82638520e-03 5.00000000e-01)	499
7               	2.58682834e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599	2.58623515e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
8               	2.80028682e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599	2.79982371e-05	(1.96867370e+00 4.75548180e-03 5.00000000e-01)	599
9               	2.99629008e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699	2.99588186e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
10              	3.20101125e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699	3.20067057e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
11              	3.38601622e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699	3.38572065e-05	(1.96867370e+00 5.71560190e-03 5.00000000e-01)	699
12              	3.56681487e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799	3.56654763e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
13              	3.74726905e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799	3.74703261e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
14              	3.91190577e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799	3.91169292e-05	(1.96867370e+00 6.70778142e-03 5.00000000e-01)	799
15              	4.07882295e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899	4.07862621e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
16              	4.24417298e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899	4.24399390e-05	(1.96867370e+00 7.73309085e-03 5.00000000e-01)	899
