# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.00065150e+00	(1.96867370e+00 3.33147911e-02 5.00000000e-01)	2699
2               	1.00088514e+00	(1.96867370e+00 1.76165700e-01 5.00000000e-01)	6479
3               	1.00119731e+00	(1.90695483e+00 4.57995504e-02 5.00000000e-01)	3298
4               	1.00147066e+00	(1.90695483e+00 3.92498666e-02 5.00000000e-01)	2998
5               	1.00177516e+00	(1.29524581e+00 2.15425256e-02 5.00000000e-01)	1986
6               	1.00202587e+00	(1.47502460e+00 2.15425256e-02 5.00000000e-01)	1990
7               	1.00230581e+00	(1.90695483e+00 2.30631827e-02 5.00000000e-01)	2098
8               	1.00251660e+00	(1.67793547e+00 1.72690689e-02 5.00000000e-01)	1694
9               	1.00273298e+00	(1.78898115e+00 1.86470308e-02 5.00000000e-01)	1796
10              	1.00287448e+00	(1.96867370e+00 2.00710042e-02 5.00000000e-01)	1899
11              	1.00299284e+00	(1.78898115e+00 2.00710042e-02 5.00000000e-01)	1896
12              	1.00306086e+00	(1.96867370e+00 2.30631827e-02 5.00000000e-01)	2099
13              	1.00311177e+00	(1.78898115e+00 2.30631827e-02 5.00000000e-01)	2096
14              	1.00314770e+00	(1.84707559e+00 2.15425256e-02 5.00000000e-01)	1997
15              	1.00319446e+00	(1.90695483e+00 5.82573148e-02 5.00000000e-01)	3798
16              	1.00325621e+00	(1.96867370e+00 5.05386213e-02 5.00000000e-01)	3499
17              	1.00336341e+00	(1.90695483e+00 6.10039171e-02 5.00000000e-01)	3898
18              	1.00343285e+00	(1.96867370e+00 5.82573148e-02 5.00000000e-01)	3799
19              	1.00356119e+00	(1.90695483e+00 6.38422312e-02 5.00000000e-01)	3998
20              	1.00361748e+00	(1.96867370e+00 6.10039171e-02 5.00000000e-01)	3899
21              	1.00372994e+00	(1.90695483e+00 6.67753197e-02 5.00000000e-01)	4098
22              	1.00376425e+00	(1.96867370e+00 6.10039171e-02 5.00000000e-01)	3899
23              	1.00385087e+00	(1.90695483e+00 6.67753197e-02 5.00000000e-01)	4098
24              	1.00385821e+00	(1.96867370e+00 6.10039171e-02 5.00000000e-01)	3899
25              	1.00391916e+00	(1.90695483e+00 6.98063470e-02 5.00000000e-01)	4198
26              	1.00390692e+00	(1.96867370e+00 6.10039171e-02 5.00000000e-01)	3899
27              	1.00395811e+00	(1.96867370e+00 7.61754087e-02 5.00000000e-01)	4399
28              	1.00392699e+00	(1.96867370e+00 6.10039171e-02 5.00000000e-01)	3899
29              	1.00398142e+00	(1.96867370e+00 8.29769108e-02 5.00000000e-01)	4599
30              	1.00394364e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
31              	1.00399599e+00	(1.96867370e+00 8.29769108e-02 5.00000000e-01)	4599
32              	1.00395374e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
33              	1.00400388e+00	(1.96867370e+00 8.29769108e-02 5.00000000e-01)	4599
34              	1.00395753e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
35              	1.00400546e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
36              	1.00395541e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
37              	1.00400118e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
38              	1.00394799e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
39              	1.00399210e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
40              	1.00393671e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
41              	1.00397981e+00	(1.96867370e+00 8.65489262e-02 5.00000000e-01)	4699
42              	1.00392363e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
43              	1.00396701e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
44              	1.00391037e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
45              	1.00395477e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
46              	1.00389826e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
47              	1.00394374e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
48              	1.00388804e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
49              	1.00393463e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
50              	1.00387982e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
51              	1.00392745e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
52              	1.00387353e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
53              	1.00392223e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
54              	1.00386887e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
55              	1.00391855e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
56              	1.00386565e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
57              	1.00391601e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
58              	1.00386343e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
59              	1.00391463e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
60              	1.00386188e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
61              	1.00391376e+00	(1.96867370e+00 9.02402149e-02 5.00000000e-01)	4799
62              	1.00386101e+00	(1.96867370e+00 9.40547597e-02 5.00000000e-01)	4899
