# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	min(nuTilda)	location	cell	min(nut)	location	cell
0               	2.00000000e-06	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.47285058e-06	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	1.24712187e-06	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4	9.18412085e-07	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
2               	1.28860361e-06	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4	5.20400509e-07	(1.48877429e-02 4.00664797e-04 5.00000000e-01)	4
3               	1.30464163e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.66519361e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
4               	1.28707884e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.62187783e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
5               	1.27179604e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.42825611e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
6               	1.27571535e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.33344830e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
7               	1.28466926e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39975480e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
8               	1.28629376e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.47245182e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
9               	1.28235907e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.46759924e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
10              	1.27712291e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.41658508e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
11              	1.27427684e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.36634718e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
12              	1.27501661e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.34867034e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
13              	1.27640398e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.35990299e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
14              	1.27676432e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.37156557e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
15              	1.27703476e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.37533901e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
16              	1.27758943e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.37965246e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
17              	1.27788772e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38496715e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
18              	1.27786619e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38705867e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
19              	1.27782556e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38672987e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
20              	1.27789912e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38674271e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
21              	1.27803570e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38785665e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
22              	1.27816029e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.38938124e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
23              	1.27825752e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39070281e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
24              	1.27833494e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39174075e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
25              	1.27840415e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39259913e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
26              	1.27846288e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39335332e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
27              	1.27851355e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39399685e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
28              	1.27855406e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39453849e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
29              	1.27858995e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39498637e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
30              	1.27862006e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39537606e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
31              	1.27864671e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39570883e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
32              	1.27866922e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39599886e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
33              	1.27868959e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39624956e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
34              	1.27870725e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39647310e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
35              	1.27872380e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39667217e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
36              	1.27873774e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39685214e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
37              	1.27875044e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39700774e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
38              	1.27876026e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39714214e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
39              	1.27876884e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39725019e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
40              	1.27877464e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39733745e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
41              	1.27877955e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39740061e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
42              	1.27878205e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39744708e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
43              	1.27878415e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39747425e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
44              	1.27878428e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39749020e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
45              	1.27878440e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39749168e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
46              	1.27878290e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39748620e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
47              	1.27878174e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39747028e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
48              	1.27877923e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39745124e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
49              	1.27877727e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39742460e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
50              	1.27877408e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39739676e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
51              	1.27877183e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39736396e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
52              	1.27876856e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39733368e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
53              	1.27876595e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39729870e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
54              	1.27876223e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39726390e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
55              	1.27875929e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39722428e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
56              	1.27875533e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39718608e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
57              	1.27875219e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39714385e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
58              	1.27874805e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39710338e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
59              	1.27874479e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39705933e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
60              	1.27874057e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39701763e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
61              	1.27873725e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39697274e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
62              	1.27873298e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39693047e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
63              	1.27872965e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39688520e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
64              	1.27872538e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39684276e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
65              	1.27872199e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39679720e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
66              	1.27871740e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39675305e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
67              	1.27871354e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39670315e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
68              	1.27870877e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39665482e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
69              	1.27870513e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39660453e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
70              	1.27870066e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39655899e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
71              	1.27869722e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39651182e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
72              	1.27869285e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39646821e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
73              	1.27868946e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39642192e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
74              	1.27868514e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39637888e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
75              	1.27868182e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39633326e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
76              	1.27867757e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39629103e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
77              	1.27867432e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39624620e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
78              	1.27867013e-06	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3	5.39620476e-07	(1.14047319e-02 4.00664797e-04 5.00000000e-01)	3
