# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
1               	6.19752265e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
2               	5.90698558e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
3               	5.49021631e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
4               	5.70622622e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
5               	5.34639411e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
6               	5.63625908e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
7               	5.28710168e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
8               	5.55734114e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
9               	5.24740412e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
10              	5.51689344e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
11              	5.21528507e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
12              	5.49280916e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
13              	5.19153817e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
14              	5.47907750e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
15              	5.17401196e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
16              	5.47250225e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
17              	5.16125805e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
18              	5.47115427e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
19              	5.15255035e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
20              	5.47385604e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
21              	5.14751539e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
22              	5.47983586e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
23              	5.14596435e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
24              	5.48854670e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
25              	5.14774526e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
26              	5.49956041e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
27              	5.15263860e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
28              	5.51249405e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
29              	5.16030103e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
30              	5.52696184e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
31              	5.17025828e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
32              	5.54254872e-01	(1.96867370e+00 4.00664797e-04 5.00000000e-01)	99
