# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
100             	bottom	7.19011175e+01	1.16324879e+02	8.31620013e+01
200             	bottom	7.14692001e+01	1.16324881e+02	8.30911369e+01
300             	bottom	7.14690937e+01	1.16324879e+02	8.30908717e+01
400             	bottom	7.14690933e+01	1.16324878e+02	8.30907612e+01
500             	bottom	7.14690927e+01	1.16324877e+02	8.30906658e+01
600             	bottom	7.14690919e+01	1.16324876e+02	8.30905768e+01
700             	bottom	7.14690910e+01	1.16324875e+02	8.30904923e+01
800             	bottom	7.14690902e+01	1.16324874e+02	8.30904150e+01
900             	bottom	7.14690892e+01	1.16324873e+02	8.30903414e+01
1000            	bottom	7.14690883e+01	1.16324872e+02	8.30902705e+01
1100            	bottom	7.14690874e+01	1.16324871e+02	8.30902053e+01
1200            	bottom	7.14690865e+01	1.16324870e+02	8.30901426e+01
1300            	bottom	7.14690857e+01	1.16324870e+02	8.30900814e+01
1400            	bottom	7.14690849e+01	1.16324869e+02	8.30900251e+01
1500            	bottom	7.14690841e+01	1.16324868e+02	8.30899709e+01
1600            	bottom	7.14690834e+01	1.16324868e+02	8.30899178e+01
1700            	bottom	7.14690827e+01	1.16324867e+02	8.30898691e+01
1800            	bottom	7.14690820e+01	1.16324866e+02	8.30898221e+01
1900            	bottom	7.14690813e+01	1.16324866e+02	8.30897758e+01
2000            	bottom	7.14690807e+01	1.16324865e+02	8.30897336e+01
