# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
1               	bottom	7.79883383e+01	1.16811594e+02	9.85589742e+01
2               	bottom	7.48621513e+01	1.16321116e+02	8.70950167e+01
3               	bottom	7.03476803e+01	1.16375966e+02	8.42252819e+01
4               	bottom	7.26920763e+01	1.16337478e+02	8.30695444e+01
5               	bottom	6.87810902e+01	1.16300785e+02	8.24049195e+01
6               	bottom	7.19338050e+01	1.16417664e+02	8.22871172e+01
7               	bottom	6.81338874e+01	1.16466441e+02	8.21616251e+01
8               	bottom	7.10772756e+01	1.16440444e+02	8.21684353e+01
9               	bottom	6.77001205e+01	1.16326935e+02	8.22025448e+01
10              	bottom	7.06377582e+01	1.16294692e+02	8.22451164e+01
11              	bottom	6.73488951e+01	1.16296716e+02	8.23099312e+01
12              	bottom	7.03758809e+01	1.16303856e+02	8.23602953e+01
13              	bottom	6.70890655e+01	1.16310565e+02	8.24375841e+01
14              	bottom	7.02265147e+01	1.16312893e+02	8.24802836e+01
15              	bottom	6.68972155e+01	1.16318616e+02	8.25542137e+01
16              	bottom	7.01549776e+01	1.16322235e+02	8.25944657e+01
17              	bottom	6.67575598e+01	1.16322594e+02	8.26587772e+01
18              	bottom	7.01403107e+01	1.16322108e+02	8.26954214e+01
19              	bottom	6.66621882e+01	1.16321640e+02	8.27537515e+01
20              	bottom	7.01697072e+01	1.16321596e+02	8.27794107e+01
21              	bottom	6.66070342e+01	1.16321464e+02	8.28426177e+01
22              	bottom	7.02347648e+01	1.16321553e+02	8.28547500e+01
23              	bottom	6.65900426e+01	1.16321559e+02	8.29151646e+01
24              	bottom	7.03295204e+01	1.16321802e+02	8.29256257e+01
25              	bottom	6.66095524e+01	1.16321898e+02	8.29762155e+01
26              	bottom	7.04493026e+01	1.16322179e+02	8.29883536e+01
27              	bottom	6.66631548e+01	1.16322279e+02	8.30299984e+01
28              	bottom	7.05899314e+01	1.16322549e+02	8.30417459e+01
29              	bottom	6.67470787e+01	1.16322625e+02	8.30784375e+01
30              	bottom	7.07471979e+01	1.16322867e+02	8.30840533e+01
31              	bottom	6.68561165e+01	1.16322916e+02	8.31254259e+01
32              	bottom	7.09165778e+01	1.16323141e+02	8.31151658e+01
33              	bottom	6.69839915e+01	1.16323177e+02	8.31669340e+01
34              	bottom	7.10931465e+01	1.16323393e+02	8.31461408e+01
35              	bottom	6.71238872e+01	1.16323422e+02	8.31963083e+01
36              	bottom	7.12716770e+01	1.16323632e+02	8.31750005e+01
