# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
0.00011999      	1.00000337e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000263962     	1.00000756e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000436717     	1.00001265e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000644009     	1.00001870e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000892729     	1.00002576e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00119115      	1.00003388e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00154914      	1.00004304e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00197859      	1.00005314e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00249383      	1.00006391e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00311186      	1.00007488e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00385304      	1.00008525e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00474246      	1.00010266e+00	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202
0.00580919      	1.00012343e+00	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202
0.00708871      	1.00014629e+00	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202
0.00862335      	1.00016977e+00	(8.02553783e-03 2.05728518e-03 5.00000000e-01)	202
0.0104626       	1.00019543e+00	(1.14047319e-02 2.05728518e-03 5.00000000e-01)	203
0.0126665       	1.00022508e+00	(1.14047319e-02 2.05728518e-03 5.00000000e-01)	203
0.0153064       	1.00025919e+00	(1.48877429e-02 2.05728518e-03 5.00000000e-01)	204
0.0184727       	1.00029946e+00	(1.84777604e-02 2.05728518e-03 5.00000000e-01)	205
0.0222623       	1.00035541e+00	(1.84777604e-02 2.05728518e-03 5.00000000e-01)	205
0.02681         	1.00043177e+00	(2.21780719e-02 2.05728518e-03 5.00000000e-01)	206
0.0322468       	1.00053807e+00	(2.59920659e-02 2.05728518e-03 5.00000000e-01)	207
0.0387418       	1.00066881e+00	(2.99232349e-02 2.05728518e-03 5.00000000e-01)	208
0.0464938       	1.00081595e+00	(3.39751789e-02 2.92730968e-03 5.00000000e-01)	309
0.0557512       	1.00098492e+00	(3.81516084e-02 2.92730968e-03 5.00000000e-01)	310
0.0656906       	1.00115627e+00	(4.68933393e-02 2.92730968e-03 5.00000000e-01)	312
0.0756301       	1.00130265e+00	(5.14666457e-02 2.92730968e-03 5.00000000e-01)	313
0.0855696       	1.00141933e+00	(5.61804552e-02 2.92730968e-03 5.00000000e-01)	314
0.095509        	1.00151169e+00	(6.10390842e-02 2.92730968e-03 5.00000000e-01)	315
0.105448        	1.00160551e+00	(6.60469820e-02 3.82638520e-03 5.00000000e-01)	416
0.115388        	1.00169390e+00	(7.12087344e-02 3.82638520e-03 5.00000000e-01)	417
0.125327        	1.00177258e+00	(7.65290683e-02 3.82638520e-03 5.00000000e-01)	418
0.135267        	1.00184246e+00	(8.20128557e-02 3.82638520e-03 5.00000000e-01)	419
0.145206        	1.00190314e+00	(8.76651182e-02 3.82638520e-03 5.00000000e-01)	420
0.155146        	1.00195770e+00	(9.34910318e-02 3.82638520e-03 5.00000000e-01)	421
0.165085        	1.00200354e+00	(9.94959316e-02 3.82638520e-03 5.00000000e-01)	422
0.175025        	1.00203796e+00	(1.05685316e-01 3.82638520e-03 5.00000000e-01)	423
0.184964        	1.00206947e+00	(1.05685316e-01 3.82638520e-03 5.00000000e-01)	423
0.194904        	1.00210237e+00	(1.18640386e-01 4.75548180e-03 5.00000000e-01)	525
0.204843        	1.00213740e+00	(1.18640386e-01 4.75548180e-03 5.00000000e-01)	525
0.214783        	1.00217068e+00	(1.25417934e-01 4.75548180e-03 5.00000000e-01)	526
0.224722        	1.00220120e+00	(1.32403705e-01 4.75548180e-03 5.00000000e-01)	527
0.234661        	1.00222656e+00	(1.39604096e-01 4.75548180e-03 5.00000000e-01)	528
0.244601        	1.00224784e+00	(1.39604096e-01 4.75548180e-03 5.00000000e-01)	528
0.25454         	1.00227015e+00	(1.47025700e-01 4.75548180e-03 5.00000000e-01)	529
0.26448         	1.00228678e+00	(1.54675314e-01 4.75548180e-03 5.00000000e-01)	530
0.274419        	1.00229754e+00	(1.54675314e-01 4.75548180e-03 5.00000000e-01)	530
