# Wall shear stress
# Time          	patch           	min             	max             
0.00000000e+00	bottom	(-5.63538887e-04 0.00000000e+00 0.00000000e+00)	(-5.63538887e-04 0.00000000e+00 0.00000000e+00)
1.00000000e+00	bottom	(-2.65897526e-03 -9.75789571e-06 -3.47616791e-24)	(-4.82360610e-04 -8.68025267e-10 2.63660390e-24)
2.00000000e+00	bottom	(-2.64741952e-03 -9.66959741e-06 -3.67971227e-24)	(-4.80975891e-04 -1.80609232e-09 2.60346703e-24)
3.00000000e+00	bottom	(-2.64707348e-03 -9.66766376e-06 -3.88669374e-24)	(-4.80942805e-04 -2.77571155e-08 2.84887300e-24)
4.00000000e+00	bottom	(-2.64674499e-03 -9.66601224e-06 -3.93299517e-24)	(-4.80912242e-04 -5.27491241e-08 2.90216167e-24)
5.00000000e+00	bottom	(-2.64651519e-03 -9.66482618e-06 -3.93180981e-24)	(-4.80890919e-04 -5.26351150e-08 2.90072711e-24)
6.00000000e+00	bottom	(-2.64636468e-03 -9.66404526e-06 -3.93162604e-24)	(-4.80876969e-04 -5.26381831e-08 2.90055107e-24)
7.00000000e+00	bottom	(-2.64626836e-03 -9.66353897e-06 -3.93156513e-24)	(-4.80868040e-04 -5.26395058e-08 2.90053514e-24)
8.00000000e+00	bottom	(-2.64620704e-03 -9.66321431e-06 -3.93154185e-24)	(-4.80862353e-04 -5.26374098e-08 2.90053972e-24)
9.00000000e+00	bottom	(-2.64616806e-03 -9.66300669e-06 -3.93153972e-24)	(-4.80858739e-04 -5.26356210e-08 2.90055372e-24)
1.00000000e+01	bottom	(-2.64614337e-03 -9.66287444e-06 -3.93151931e-24)	(-4.80856448e-04 -5.26302727e-08 2.90054502e-24)
