# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
1               	bottom	1.92557812e+00	1.00048644e+02	7.03653856e+01
2               	bottom	2.91288038e+00	9.97685122e+01	6.87208224e+01
3               	bottom	2.47393552e+00	9.97621447e+01	6.84845560e+01
4               	bottom	2.00472368e+00	9.97560600e+01	6.84011426e+01
5               	bottom	1.60496742e+00	9.97521535e+01	6.83404137e+01
6               	bottom	1.28097602e+00	9.97497053e+01	6.82914749e+01
7               	bottom	1.02193669e+00	9.97481380e+01	6.82528053e+01
8               	bottom	8.15721605e-01	9.97471400e+01	6.82222450e+01
9               	bottom	6.51893358e-01	9.97465058e+01	6.81981345e+01
10              	bottom	5.21980959e-01	9.97461038e+01	6.81793224e+01
