# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.34387058e+01	1.34387058e+01	1.34387058e+01
0.00011999      	bottom	1.35138366e+01	1.35183343e+01	1.35182092e+01
0.000263962     	bottom	1.35974813e+01	1.36109803e+01	1.36106607e+01
0.000436717     	bottom	1.36909961e+01	1.37219468e+01	1.37213033e+01
0.000644009     	bottom	1.37944744e+01	1.38563036e+01	1.38551298e+01
0.000892729     	bottom	1.39067242e+01	1.40198400e+01	1.40178194e+01
0.00119115      	bottom	1.40247738e+01	1.42196887e+01	1.42163429e+01
0.00154914      	bottom	1.41428413e+01	1.44648868e+01	1.44594960e+01
0.00197859      	bottom	1.42513742e+01	1.47671508e+01	1.47586311e+01
0.00249383      	bottom	1.43419977e+01	1.51419827e+01	1.51287007e+01
0.00311186      	bottom	1.44032699e+01	1.56099768e+01	1.55894625e+01
0.00385304      	bottom	1.44191273e+01	1.61992251e+01	1.61677156e+01
0.00474246      	bottom	1.43690935e+01	1.69494791e+01	1.69011668e+01
0.00580919      	bottom	1.42286553e+01	1.79168732e+01	1.78426896e+01
0.00708871      	bottom	1.39706510e+01	1.91848874e+01	1.90703720e+01
0.00862335      	bottom	1.35692256e+01	2.08811016e+01	2.07026412e+01
0.0104626       	bottom	1.30071342e+01	2.32078322e+01	2.29258803e+01
0.0126665       	bottom	1.22812385e+01	2.65048077e+01	2.60504010e+01
0.0153064       	bottom	1.14159613e+01	3.13752337e+01	3.06217810e+01
0.0184727       	bottom	9.88944879e+00	3.89772775e+01	3.76680762e+01
0.0222623       	bottom	8.90427911e+00	5.16885085e+01	4.92978277e+01
0.02681         	bottom	8.46328058e+00	6.72121353e+01	6.38555678e+01
0.0322468       	bottom	7.69360459e+00	8.15019834e+01	7.72890559e+01
0.0387418       	bottom	7.26341082e+00	9.26922044e+01	8.78405864e+01
0.0464938       	bottom	5.45023873e+00	9.98842085e+01	9.46854953e+01
0.0557512       	bottom	5.81357392e+00	1.03135012e+02	9.78523087e+01
0.0656906       	bottom	1.58749929e+00	1.03475849e+02	9.81128921e+01
0.0756301       	bottom	2.54169895e+00	1.03444672e+02	9.70240763e+01
0.0855696       	bottom	4.94398223e+00	1.02946921e+02	9.54279844e+01
0.095509        	bottom	5.43137321e+00	1.02478642e+02	9.37582276e+01
0.105448        	bottom	4.00047077e+00	1.02099681e+02	9.22105488e+01
0.115388        	bottom	5.01309908e+00	1.01834645e+02	9.09948336e+01
0.125327        	bottom	4.56817000e+00	1.01636905e+02	8.98062925e+01
0.135267        	bottom	4.09860641e+00	1.01538215e+02	8.86793249e+01
0.145206        	bottom	4.34662208e+00	1.01483690e+02	8.75592190e+01
0.155146        	bottom	4.37803268e+00	1.01434652e+02	8.65838043e+01
0.165085        	bottom	3.08980402e+00	1.01381316e+02	8.56417228e+01
0.175025        	bottom	2.65011338e+00	1.01307600e+02	8.47932956e+01
0.184964        	bottom	3.53449917e+00	1.01211170e+02	8.39708403e+01
