# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	max(p)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	3.17471654e-52	(5.61804552e-02 4.00664797e-04 5.00000000e-01)	14
0.00011999      	6.83222182e-03	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.63301925e-09	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.000263962     	1.20062786e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	4.06117561e-09	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.000436717     	1.24248693e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	6.73341682e-09	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.000644009     	1.23718131e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	9.73493097e-09	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.000892729     	1.23001305e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.30633025e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00119115      	1.22367912e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	1.66020732e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00154914      	1.21765552e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	2.00781435e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00197859      	1.21151224e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	2.30112558e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00249383      	1.20500600e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	2.46990541e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00311186      	1.19778166e-02	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009	2.43377049e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00385304      	1.19056423e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.13938665e-08	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00474246      	1.18619447e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	1.81060529e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.00580919      	1.18115591e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.29734979e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.00708871      	1.17538513e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	2.87276660e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.00862335      	1.16861851e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	3.51934750e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.0104626       	1.16052015e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	4.18436016e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.0126665       	1.15064598e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	4.76171698e-08	(1.56631511e-03 2.05728518e-03 5.00000000e-01)	200
0.0153064       	1.13793334e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.26572089e-08	(-8.30777050e-03 2.05728518e-03 5.00000000e-01)	5028
0.0183933       	1.12021625e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.51429717e-08	(-8.30777050e-03 2.05728518e-03 5.00000000e-01)	5028
0.0214898       	1.09449655e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.17043526e-08	(1.56631511e-03 1.21537301e-03 5.00000000e-01)	100
0.0245962       	1.07062883e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.79684491e-08	(1.56631511e-03 1.21537301e-03 5.00000000e-01)	100
0.0277026       	1.04874349e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.95191277e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0308189       	1.02774389e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.83202878e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0339352       	1.00625493e-02	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.87995273e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0370516       	9.84346887e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.18108285e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0401679       	9.64260211e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.61192316e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0432843       	9.47967091e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.62406086e-08	(-2.78873376e-02 2.05728518e-03 5.00000000e-01)	5026
0.0463905       	9.35277812e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.75775822e-08	(-2.78873376e-02 2.05728518e-03 5.00000000e-01)	5026
0.0494967       	9.25608986e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.06586376e-08	(-1.64831230e-02 2.05728518e-03 5.00000000e-01)	5027
0.0526029       	9.17744934e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.26815629e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0557091       	9.10847657e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.66628639e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0588154       	9.04309921e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.95873280e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0619216       	8.97758038e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.11063117e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0650278       	8.91005653e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.12518701e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.068134        	8.84024311e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.02259856e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0712402       	8.76884859e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.77452947e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0743465       	8.69171553e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.45522751e-08	(1.56631511e-03 1.21537301e-03 5.00000000e-01)	100
0.0774631       	8.61393429e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.68522791e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0805798       	8.53342130e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.33379842e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0836965       	8.45793269e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.22640438e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0868132       	8.38572433e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.43509728e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0899298       	8.31730646e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.57973558e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0930465       	8.24689511e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.53449156e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0961632       	8.17388378e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.28829021e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.0992799       	8.10043403e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.07089717e-08	(-2.44709600e-03 1.21537301e-03 5.00000000e-01)	5019
0.102397        	8.03085201e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.25114213e-08	(-2.44709600e-03 1.21537301e-03 5.00000000e-01)	5019
0.105513        	7.96605192e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.63653388e-08	(6.10390842e-02 2.92730968e-03 5.00000000e-01)	315
0.10863         	7.90507308e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.52675560e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.111747        	7.85098568e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.96651813e-08	(6.60469820e-02 2.92730968e-03 5.00000000e-01)	316
0.114863        	7.80109816e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.28044260e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.11798         	7.75466411e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	7.23258888e-08	(-2.44709600e-03 1.21537301e-03 5.00000000e-01)	5019
0.121086        	7.71055861e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.64318617e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.124191        	7.67195203e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.67892488e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.127297        	7.63661351e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.60708034e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.130403        	7.60440173e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.41115538e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.133508        	7.57456364e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	6.09286584e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.136614        	7.54589721e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.68548120e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.13972         	7.51728532e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	5.25182454e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
0.142826        	7.48774998e-03	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0	4.87208043e-08	(-2.44709600e-03 2.05728518e-03 5.00000000e-01)	5029
