# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	maxMag(U)	location	cell
0               	1.00000000e+00	(1.56631511e-03 4.00664797e-04 5.00000000e-01)	0
0.00011999      	1.00001239e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000263962     	1.00003462e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000436717     	1.00006533e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000644009     	1.00010406e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.000892729     	1.00015144e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00119115      	1.00020866e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00154914      	1.00027722e+00	(4.74706631e-03 1.21537301e-03 5.00000000e-01)	101
0.00197859      	1.00040779e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00249383      	1.00070143e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00311186      	1.00114451e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00385304      	1.00179266e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00474246      	1.00271254e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00580919      	1.00397458e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00708871      	1.00563717e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.00862335      	1.00770985e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0104626       	1.01009131e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0126665       	1.01248945e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0153064       	1.01434862e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0183933       	1.01489109e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0214898       	1.01379137e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0245962       	1.01148055e+00	(-2.44709600e-03 4.00664797e-04 5.00000000e-01)	5009
0.0277026       	1.01310116e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0308189       	1.01665825e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0339352       	1.02012767e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0370516       	1.02329129e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0401679       	1.02595868e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0432843       	1.02797893e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0463905       	1.02924724e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0494967       	1.02972225e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0526029       	1.02940746e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0557091       	1.02835464e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0588154       	1.02665881e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0619216       	1.02444882e+00	(-1.64831230e-02 4.00664797e-04 5.00000000e-01)	5007
0.0650278       	1.02364683e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.068134        	1.02715050e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0712402       	1.03073298e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0743465       	1.03433446e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0774631       	1.03790557e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0805798       	1.04137187e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0836965       	1.04467277e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0868132       	1.04775094e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0899298       	1.05055349e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0930465       	1.05303326e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0961632       	1.05514979e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.0992799       	1.05687024e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.102397        	1.05816996e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.105513        	1.05903299e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.10863         	1.05945221e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.111747        	1.05942931e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.114863        	1.05897454e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.11798         	1.05810607e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.121086        	1.05685447e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.124191        	1.05524908e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.127297        	1.05332683e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.130403        	1.05112897e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.133508        	1.04869988e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.136614        	1.04608619e+00	(-4.37956557e-02 4.00664797e-04 5.00000000e-01)	5005
0.13972         	1.04548905e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
0.142826        	1.04893313e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
0.145931        	1.05243338e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
0.149037        	1.05597480e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
0.152143        	1.05954197e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
0.155248        	1.06311911e+00	(-9.69427775e-02 4.00664797e-04 5.00000000e-01)	5003
