# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minp	location	cell	minnut	location	cell
0               	0.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0	0.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
0.00011999      	5.28821369e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.85406078e-51	1.72076995e+00 5.08654275e-06 5.00000000e-01	401
0.000263962     	2.88583067e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.36630563e-53	1.84964536e+00 3.02191818e-06 5.00000000e-01	268
0.000436717     	1.52402024e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.07737815e-50	1.37710220e+00 9.47509236e-06 5.00000000e-01	665
0.000644009     	1.09465174e-04	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.00094111e-50	1.80668689e+00 1.18644168e-05 5.00000000e-01	811
0.000892729     	9.55412193e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.02350972e-52	1.63485302e+00 7.22696841e-06 5.00000000e-01	535
0.00119115      	8.61076417e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.61539767e-52	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
0.00154914      	7.62493196e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.88102988e-53	1.63485302e+00 7.22696841e-06 5.00000000e-01	535
0.00197859      	6.65784711e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.66015590e-51	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
0.00249383      	5.79836961e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.10498071e-52	1.59189455e+00 9.47509236e-06 5.00000000e-01	670
0.00311186      	5.07023593e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.89115332e-52	1.59189455e+00 9.47509236e-06 5.00000000e-01	670
0.00385304      	4.45618197e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.23859242e-53	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
0.00474246      	3.92970108e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.14834778e-52	1.54893608e+00 9.47509236e-06 5.00000000e-01	669
0.00580919      	3.47608734e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.29014771e-52	1.76372842e+00 1.18644168e-05 5.00000000e-01	810
0.00708871      	3.08089783e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.05538232e-51	1.76372842e+00 1.18644168e-05 5.00000000e-01	810
0.00838833      	3.08815152e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.00214229e-50	1.50597761e+00 9.47509236e-06 5.00000000e-01	668
0.00966783      	3.14131057e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.74766205e-52	1.63485302e+00 7.22696841e-06 5.00000000e-01	535
0.0109294       	3.14771215e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.51459573e-52	1.63485302e+00 9.47509236e-06 5.00000000e-01	671
0.012172        	3.12805721e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.95411209e-51	1.37710220e+00 7.22696841e-06 5.00000000e-01	529
0.013393        	3.10275100e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	8.87920222e-51	1.54893608e+00 1.18644168e-05 5.00000000e-01	805
0.0145933       	3.07561916e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.20908551e-50	1.72076995e+00 1.18644168e-05 5.00000000e-01	809
0.0157748       	3.04667689e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.16970384e-51	1.50597761e+00 9.47509236e-06 5.00000000e-01	668
0.0169382       	3.01781793e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	7.34301186e-52	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0180853       	2.98754463e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.09929875e-51	1.37710220e+00 7.22696841e-06 5.00000000e-01	529
0.0192165       	2.95729073e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.79736231e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0203323       	2.92713639e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.85012307e-50	1.37710220e+00 7.22696841e-06 5.00000000e-01	529
0.0214331       	2.89708534e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.42735179e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0225204       	2.83737388e-05	1.97852077e+00 4.10430912e-05 5.00000000e-01	1903	7.36807506e-51	1.72076995e+00 1.18644168e-05 5.00000000e-01	809
0.0235957       	2.79507492e-05	1.97852077e+00 4.10430912e-05 5.00000000e-01	1903	2.40011756e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0246593       	2.76573038e-05	1.97852077e+00 4.67554375e-05 5.00000000e-01	2039	2.20814242e-51	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
0.0257115       	2.73919031e-05	1.97852077e+00 4.67554375e-05 5.00000000e-01	2039	2.84420137e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0267524       	2.71284180e-05	1.97852077e+00 5.31645463e-05 5.00000000e-01	2175	5.99613357e-51	1.37710220e+00 7.22696841e-06 5.00000000e-01	529
0.0277834       	2.68548133e-05	1.97852077e+00 5.31645463e-05 5.00000000e-01	2175	5.85965707e-51	1.37710220e+00 7.22696841e-06 5.00000000e-01	529
0.0288035       	2.65905214e-05	1.97852077e+00 6.03659281e-05 5.00000000e-01	2311	7.60625332e-51	1.50597761e+00 9.47509236e-06 5.00000000e-01	668
0.0298141       	2.63225744e-05	1.97852077e+00 6.03659281e-05 5.00000000e-01	2311	4.44855173e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0308164       	2.60503095e-05	1.97852077e+00 6.03659281e-05 5.00000000e-01	2311	9.41378368e-51	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0318104       	2.57821354e-05	1.97852077e+00 6.84668997e-05 5.00000000e-01	2447	6.15274449e-50	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0327964       	2.55193368e-05	1.97852077e+00 6.84668997e-05 5.00000000e-01	2447	1.05373162e-49	1.50597761e+00 9.47509236e-06 5.00000000e-01	668
0.0337743       	2.52618795e-05	1.97852077e+00 6.84668997e-05 5.00000000e-01	2447	1.16327088e-49	1.54893608e+00 1.18644168e-05 5.00000000e-01	805
0.0347454       	2.50034428e-05	1.97852077e+00 6.84668997e-05 5.00000000e-01	2447	1.27731022e-49	1.50597761e+00 9.47509236e-06 5.00000000e-01	668
0.0357097       	2.47492288e-05	1.97852077e+00 7.75881842e-05 5.00000000e-01	2583	1.38833878e-49	1.72076995e+00 1.18644168e-05 5.00000000e-01	809
0.0366682       	2.44947287e-05	1.97852077e+00 7.75881842e-05 5.00000000e-01	2583	7.53578217e-50	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0376201       	2.42425438e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.02609273e-49	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0385664       	2.39801269e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	2.45475630e-49	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0395072       	2.37231574e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	5.31645510e-50	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.0404424       	2.34715970e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.08052972e-50	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0413731       	2.32224618e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	3.77182664e-50	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0422984       	2.29812417e-05	1.97852077e+00 9.42574530e-01 5.00000000e-01	13055	1.01680672e-49	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0432193       	1.56027541e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	9.24844227e-50	1.54893608e+00 1.18644168e-05 5.00000000e-01	805
0.0441358       	-1.09749803e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	2.12371775e-50	1.72076995e+00 9.47509236e-06 5.00000000e-01	673
0.0450478       	-3.54879903e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.79591551e-49	1.54893608e+00 1.18644168e-05 5.00000000e-01	805
0.0459564       	-5.84379117e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	4.98634369e-51	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.0468608       	-7.92561371e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	5.73884844e-51	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.0477616       	-9.88740471e-05	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	3.04241692e-50	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.0486591       	-1.16869466e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	6.55819840e-51	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.0495533       	-1.33520985e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.91076207e-50	1.50597761e+00 7.22696841e-06 5.00000000e-01	532
0.050444        	-1.48963140e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.19078038e-50	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
0.0513315       	-1.63287322e-04	6.03404640e-03 1.00232707e-06 5.00000000e-01	25	1.61556127e-51	1.76372842e+00 7.22696841e-06 5.00000000e-01	538
