# Selection     : all 
# Volume        : 2.33333000e+00
# Time          	minMagU	location	cell
0               	1.00000000e+00	-3.13296488e-01 1.00232707e-06 5.00000000e-01	0
0.00011999      	3.28396483e-01	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.000263962     	1.52796204e-01	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.000436717     	1.08403345e-01	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.000644009     	8.87246907e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.000892729     	7.59665045e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00119115      	6.66803349e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00154914      	5.95355293e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00197859      	5.38170630e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00249383      	4.91036100e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00311186      	4.51311450e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00385304      	4.17243862e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00474246      	3.87613811e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00580919      	3.61550778e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00708871      	3.38405860e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00838833      	3.18060291e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.00966783      	3.00012953e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.0109294       	2.83887167e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.012172        	2.69402261e-02	1.93556230e+00 1.00232707e-06 5.00000000e-01	134
0.013393        	2.56321503e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0145933       	2.44462970e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0157748       	2.33670136e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0169382       	2.23811810e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0180853       	2.14775671e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0192165       	2.06467911e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0203323       	1.98808202e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0214331       	1.91727586e-02	1.00952164e-02 1.00232707e-06 5.00000000e-01	26
0.0225204       	1.85166799e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0235957       	1.79055989e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0246593       	1.73362737e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0257115       	1.68047335e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0267524       	1.63074968e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0277834       	1.58414268e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0288035       	1.54038979e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0298141       	1.49924331e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
0.0308164       	1.46048468e-02	1.41907466e-02 1.00232707e-06 5.00000000e-01	27
