# Wall shear stress
# Time          	patch           	min             	max             
0.00000000e+00	bottom	-1.99861678e-01 0.00000000e+00 0.00000000e+00	-1.99861678e-01 0.00000000e+00 0.00000000e+00
1.00000000e+00	bottom	-4.67175911e-03 -6.74393227e-05 -1.96967410e-38	-2.82640467e-04 2.83991390e-13 2.09339255e-38
2.00000000e+00	bottom	-4.57313424e-03 -6.64476074e-05 -2.28232999e-38	-1.96614079e-04 7.88964923e-14 0.00000000e+00
3.00000000e+00	bottom	-4.58187013e-03 -6.65260616e-05 -3.23953561e-38	-1.59567478e-04 -8.38371882e-14 4.83142262e-39
4.00000000e+00	bottom	-4.58594402e-03 -6.65711560e-05 -4.08148559e-38	-1.38190488e-04 -2.69815852e-12 1.43073202e-38
5.00000000e+00	bottom	-4.58456351e-03 -6.65570175e-05 -5.08955812e-38	-1.25099944e-04 -6.91071537e-12 2.10391767e-38
6.00000000e+00	bottom	-4.58459649e-03 -6.65572601e-05 -5.74242479e-38	-1.16792294e-04 -1.15298918e-11 2.55201900e-38
7.00000000e+00	bottom	-4.58462353e-03 -6.65575536e-05 -6.14018410e-38	-1.11667384e-04 -1.62755155e-11 2.81049494e-38
8.00000000e+00	bottom	-4.58461807e-03 -6.65574930e-05 -6.37020882e-38	-1.08690452e-04 -2.04645693e-11 2.95734670e-38
9.00000000e+00	bottom	-4.58461902e-03 -6.65575022e-05 -6.49415698e-38	-1.07096072e-04 -2.36825136e-11 3.03549968e-38
1.00000000e+01	bottom	-4.58462083e-03 -6.65575188e-05 -6.55282755e-38	-1.06327158e-04 -2.58041139e-11 3.07226305e-38
