# y+ ()         
# Time          	patch           	min             	max             	average         
0               	bottom	1.17665518e+02	1.17665518e+02	1.17665518e+02
1               	bottom	2.89294394e+01	1.15721270e+02	5.08452453e+01
2               	bottom	1.53460954e+01	1.17261554e+02	4.53794018e+01
3               	bottom	9.73622341e+00	1.17218198e+02	4.36985723e+01
4               	bottom	1.02553257e+01	1.17794534e+02	4.34215325e+01
5               	bottom	1.12472773e+01	1.17769452e+02	4.32694055e+01
6               	bottom	1.08922412e+01	1.13181940e+02	4.23534691e+01
7               	bottom	1.30794401e+01	1.18304005e+02	4.37261102e+01
8               	bottom	4.61370391e+00	1.20913827e+02	4.28746727e+01
9               	bottom	1.14058087e+01	1.16508420e+02	4.31801853e+01
10              	bottom	1.00274788e+01	1.17679020e+02	4.32617383e+01
