# y+          
# Time          	patch           	min             	max             	average         
0               	bottom	2.24049705e+00	2.24049705e+00	2.24049705e+00
0.00011999      	bottom	1.28307006e+00	1.28468081e+00	1.28308869e+00
0.000263962     	bottom	8.75114395e-01	8.77800342e-01	8.75143310e-01
0.000436717     	bottom	7.37092827e-01	7.40336831e-01	7.37127156e-01
0.000644009     	bottom	6.66837720e-01	6.70633219e-01	6.66877406e-01
0.000892729     	bottom	6.17031387e-01	6.21467770e-01	6.17077187e-01
0.00119115      	bottom	5.78087937e-01	5.83240167e-01	5.78140489e-01
0.00154914      	bottom	5.46238481e-01	5.52173939e-01	5.46298356e-01
0.00197859      	bottom	5.19342118e-01	5.26128476e-01	5.19409896e-01
0.00249383      	bottom	4.96077766e-01	5.03786246e-01	4.96154061e-01
0.00311186      	bottom	4.75587935e-01	4.84294725e-01	4.75673411e-01
0.00385304      	bottom	4.57285365e-01	4.67072628e-01	4.57380745e-01
0.00474246      	bottom	4.40749340e-01	4.51706180e-01	4.40855414e-01
0.00580919      	bottom	4.25673356e-01	4.37896223e-01	4.25790988e-01
0.00708871      	bottom	4.11822960e-01	4.25416457e-01	4.11953097e-01
0.00838833      	bottom	3.99251149e-01	4.14296463e-01	3.99394645e-01
0.00966783      	bottom	3.87758482e-01	4.04335546e-01	3.87916095e-01
0.0109294       	bottom	3.77193377e-01	3.95380795e-01	3.77365868e-01
0.012172        	bottom	3.67444444e-01	3.87317544e-01	3.67632563e-01
0.013393        	bottom	3.58412783e-01	3.80049970e-01	3.58624307e-01
0.0145933       	bottom	3.50023680e-01	3.73493863e-01	3.50260700e-01
0.0157748       	bottom	3.42209777e-01	3.67576149e-01	3.42472429e-01
0.0169382       	bottom	3.34913181e-01	3.62234295e-01	3.35201206e-01
0.0180853       	bottom	3.28082618e-01	3.57412645e-01	3.28395362e-01
0.0192165       	bottom	3.21674701e-01	3.53062962e-01	3.22011068e-01
0.0203323       	bottom	3.15651403e-01	3.49142302e-01	3.16009841e-01
0.0214331       	bottom	3.09979399e-01	3.45612311e-01	3.10357883e-01
0.0225204       	bottom	3.04629564e-01	3.42421179e-01	3.05025812e-01
0.0235957       	bottom	2.99560728e-01	3.39552342e-01	2.99985506e-01
0.0246593       	bottom	2.94759828e-01	3.36979215e-01	2.95213438e-01
0.0257115       	bottom	2.90205875e-01	3.34676982e-01	2.90688532e-01
0.0267524       	bottom	2.85880154e-01	3.32623098e-01	2.86391940e-01
0.0277834       	bottom	2.81765280e-01	3.30796644e-01	2.82306114e-01
0.0288035       	bottom	2.77846942e-01	3.29179011e-01	2.78416526e-01
0.0298141       	bottom	2.74110923e-01	3.27752419e-01	2.74708743e-01
0.0308164       	bottom	2.70544534e-01	3.26500580e-01	2.71169831e-01
0.0318104       	bottom	2.67136775e-01	3.25408682e-01	2.67788530e-01
0.0327964       	bottom	2.63877563e-01	3.24462937e-01	2.64554497e-01
0.0337743       	bottom	2.60757736e-01	3.23650653e-01	2.61458294e-01
0.0347454       	bottom	2.57768468e-01	3.22959920e-01	2.58490826e-01
0.0357097       	bottom	2.54902182e-01	3.22379928e-01	2.55644240e-01
0.0366682       	bottom	2.52151431e-01	3.21900580e-01	2.52910825e-01
0.0376201       	bottom	2.49510251e-01	3.21512759e-01	2.50284343e-01
0.0385664       	bottom	2.46972266e-01	3.21207843e-01	2.47758160e-01
0.0395072       	bottom	2.44532085e-01	3.20978009e-01	2.45326628e-01
0.0404424       	bottom	2.42177972e-01	3.20816041e-01	2.42984468e-01
0.0413731       	bottom	2.39894075e-01	3.20715268e-01	2.40726438e-01
0.0422984       	bottom	2.37690141e-01	3.20669629e-01	2.38548387e-01
0.0432193       	bottom	2.35561589e-01	3.20673509e-01	2.36445725e-01
0.0441358       	bottom	2.33504553e-01	3.20721796e-01	2.34414579e-01
0.0450478       	bottom	2.31515391e-01	3.20809818e-01	2.32451296e-01
0.0459564       	bottom	2.29590400e-01	3.20933290e-01	2.30552169e-01
0.0468608       	bottom	2.27726736e-01	3.21088334e-01	2.28714341e-01
0.0477616       	bottom	2.25921108e-01	3.21271396e-01	2.26934518e-01
0.0486591       	bottom	2.24170777e-01	3.21479255e-01	2.25209956e-01
0.0495533       	bottom	2.22473139e-01	3.21708992e-01	2.23538043e-01
0.050444        	bottom	2.20825754e-01	3.21957955e-01	2.21916335e-01
0.0513315       	bottom	2.19226337e-01	3.22223750e-01	2.20342540e-01
0.0522164       	bottom	2.17672494e-01	3.22504229e-01	2.18814265e-01
0.0530981       	bottom	2.16162469e-01	3.22797429e-01	2.17329746e-01
0.0539773       	bottom	2.14694098e-01	3.23101610e-01	2.15886818e-01
0.054854        	bottom	2.13265612e-01	3.23415187e-01	2.14483712e-01
0.0557275       	bottom	2.11875541e-01	3.23736719e-01	2.13118949e-01
0.0565986       	bottom	2.10522054e-01	3.24064942e-01	2.11790700e-01
0.0574673       	bottom	2.09203676e-01	3.24398700e-01	2.10497488e-01
0.0583336       	bottom	2.07918983e-01	3.24736965e-01	2.09237888e-01
0.0591983       	bottom	2.06666428e-01	3.25078838e-01	2.08010354e-01
0.0600607       	bottom	2.05444945e-01	3.25423474e-01	2.06813815e-01
0.0609206       	bottom	2.04253302e-01	3.25770141e-01	2.05647039e-01
0.061779        	bottom	2.03090171e-01	3.26118200e-01	2.04508701e-01
0.0626351       	bottom	2.01954668e-01	3.26467024e-01	2.03397913e-01
0.0634895       	bottom	2.00845565e-01	3.26816110e-01	2.02313450e-01
0.0643417       	bottom	1.99762077e-01	3.27164965e-01	2.01254522e-01
0.0651923       	bottom	1.98703088e-01	3.27513177e-01	2.00220017e-01
0.0660413       	bottom	1.97667732e-01	3.27860350e-01	1.99209069e-01
0.0668889       	bottom	1.96655163e-01	3.28206134e-01	1.98220831e-01
0.0677348       	bottom	1.95664575e-01	3.28550216e-01	1.97254499e-01
0.0685785       	bottom	1.94695361e-01	3.28892288e-01	1.96309459e-01
0.0694207       	bottom	1.93746629e-01	3.29232123e-01	1.95384826e-01
0.0702613       	bottom	1.92817710e-01	3.29569491e-01	1.94479928e-01
0.0711012       	bottom	1.91907791e-01	3.29904212e-01	1.93593957e-01
0.0719395       	bottom	1.91016392e-01	3.30236075e-01	1.92726429e-01
0.0727764       	bottom	1.90142886e-01	3.30564907e-01	1.91876719e-01
0.0736117       	bottom	1.89286699e-01	3.30890546e-01	1.91044250e-01
0.0744455       	bottom	1.88447281e-01	3.31212843e-01	1.90228475e-01
0.0752779       	bottom	1.87624109e-01	3.31531663e-01	1.89428868e-01
0.0761095       	bottom	1.86816548e-01	3.31846921e-01	1.88644799e-01
0.0769396       	bottom	1.86024252e-01	3.32158499e-01	1.87875918e-01
0.0777682       	bottom	1.85246743e-01	3.32466318e-01	1.87121748e-01
0.078596        	bottom	1.84483454e-01	3.32770325e-01	1.86381724e-01
0.0794224       	bottom	1.83734091e-01	3.33070433e-01	1.85655551e-01
0.080248        	bottom	1.82998113e-01	3.33366608e-01	1.84942689e-01
0.0810722       	bottom	1.82275254e-01	3.33658776e-01	1.84242870e-01
0.0818956       	bottom	1.81565009e-01	3.33946914e-01	1.83555592e-01
0.0827175       	bottom	1.80867140e-01	3.34230962e-01	1.82880614e-01
0.0835387       	bottom	1.80181178e-01	3.34510916e-01	1.82217470e-01
0.0843592       	bottom	1.79506797e-01	3.34786765e-01	1.81565834e-01
0.0851782       	bottom	1.78843780e-01	3.35058498e-01	1.80925487e-01
0.0859964       	bottom	1.78191700e-01	3.35326141e-01	1.80296004e-01
0.086814        	bottom	1.77550271e-01	3.35589700e-01	1.79677101e-01
0.08763         	bottom	1.76919306e-01	3.35849176e-01	1.79068586e-01
0.0884454       	bottom	1.76298419e-01	3.36104601e-01	1.78470079e-01
0.08926         	bottom	1.75687355e-01	3.36355995e-01	1.77881323e-01
0.0900739       	bottom	1.75085853e-01	3.36603371e-01	1.77302059e-01
0.0908871       	bottom	1.74493664e-01	3.36846752e-01	1.76732036e-01
0.0916995       	bottom	1.73910545e-01	3.37086173e-01	1.76171013e-01
0.0925105       	bottom	1.73336360e-01	3.37321664e-01	1.75618850e-01
0.0933207       	bottom	1.72770788e-01	3.37553289e-01	1.75075231e-01
0.0941303       	bottom	1.72213626e-01	3.37781092e-01	1.74539954e-01
0.0949391       	bottom	1.71664668e-01	3.38005119e-01	1.74012810e-01
0.0957472       	bottom	1.71123709e-01	3.38225411e-01	1.73493597e-01
0.0965545       	bottom	1.70590556e-01	3.38442007e-01	1.72982122e-01
0.0973612       	bottom	1.70065021e-01	3.38654943e-01	1.72478196e-01
0.0981671       	bottom	1.69546920e-01	3.38864255e-01	1.71981638e-01
