# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	max(U)	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell	max(ReThetat)	location	cell	max(gammaInt)	location	cell
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.65000000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.88679245e-04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.60990000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.27828835e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	(5.42535962e+00 1.91418270e-01 3.76604979e-19)	3.20802905e-01	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.34469915e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.64515648e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000000e+00	(9.66778813e-01 4.10096419e-04 5.00000000e-02)	11969
2               	6.59255505e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	(5.47938647e+00 5.25130188e-01 5.07699637e-19)	5.65990548e-02	(9.02865036e-05 3.11366197e-05 5.00000000e-02)	4276	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.52962704e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.90776457e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000000e+00	(1.51236281e-03 7.28327903e-03 5.00000000e-02)	34897
3               	6.01792180e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.50485681e+00 5.74970194e-01 4.18239218e-19)	5.19593729e-02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.58729561e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.18982351e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00280598e+00	(-2.68795547e-04 1.01701236e-05 5.00000000e-02)	31
4               	5.72232973e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.51801553e+00 6.12447687e-01 2.68811513e-19)	5.19132273e-02	(1.51210583e-04 1.57000272e-04 5.00000000e-02)	7277	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.58420013e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.45614025e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00092272e+00	(-1.78945070e-04 1.01701236e-05 5.00000000e-02)	32
5               	5.59055122e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.52393363e+00 6.27732813e-01 1.97292867e-19)	5.21318919e-02	(2.74971497e-04 2.18863888e-04 5.00000000e-02)	8479	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.55072983e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.70517848e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00677907e+00	(-1.00476297e-04 1.01701236e-05 5.00000000e-02)	33
6               	5.52682795e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.52497764e+00 6.36837231e-01 1.68342106e-19)	5.22086359e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	9682	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.50694495e-04	(2.88500438e+00 7.34180011e-02 5.00000000e-02)	58274	2.94036907e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00012701e+00	(3.37821652e-04 4.10096419e-04 5.00000000e-02)	11480
7               	5.49255744e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.52368240e+00 6.43026143e-01 1.49649946e-19)	5.22912365e-02	(5.95845619e-04 3.26691153e-04 5.00000000e-02)	10284	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.46590464e-04	(2.88500438e+00 5.43705160e-02 5.00000000e-02)	55274	3.16478689e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00107125e+00	(-1.00476297e-04 7.70222945e-05 5.00000000e-02)	138
8               	5.46865030e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.52078029e+00 6.47335446e-01 1.44541891e-19)	5.23598118e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	10283	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.42576000e-04	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	53474	3.38057836e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00005567e+00	(1.51210583e-04 2.88580868e-04 5.00000000e-02)	9677
9               	5.44910287e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.51627652e+00 6.50094234e-01 1.40648068e-19)	5.24170953e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	9682	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.44649306e-04	(2.88500438e+00 1.62259029e-02 5.00000000e-02)	43274	3.58916639e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00018013e+00	(-1.00476297e-04 1.02105369e-04 5.00000000e-02)	173
10              	5.43141534e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.51280017e+00 6.51787751e-01 1.38699384e-19)	5.24558496e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	9682	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.46808579e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674	3.79146885e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000612e+00	(2.99912419e-05 2.52681188e-04 5.00000000e-02)	9075
11              	5.41524531e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.50961977e+00 6.52651829e-01 1.37122474e-19)	5.24559667e-02	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	9682	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.48523347e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674	3.98804975e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000934e+00	(-1.78945070e-04 1.02105369e-04 5.00000000e-02)	172
12              	5.40077042e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.50716978e+00 6.53089043e-01 1.36220208e-19)	5.24669161e-02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.49834809e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674	4.23709202e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000063e+00	(1.51210583e-04 3.67148169e-04 5.00000000e-02)	10877
13              	5.38800346e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	(5.50450045e+00 6.53308893e-01 1.35643173e-19)	5.24765731e-02	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	6675	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	2.50787005e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674	4.48813041e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00000006e+00	(-2.68795547e-04 1.28732992e-04 5.00000000e-02)	206
