# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.42562720e+00	(2.74971497e-04 2.52681188e-04 5.00000000e-02)	9079
2               	5.48059237e+00	(4.01327271e-04 2.18863888e-04 5.00000000e-02)	8481
3               	5.50838669e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
4               	5.52089929e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
5               	5.52796998e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
6               	5.53024885e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
7               	5.52915439e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
8               	5.52636607e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
9               	5.52237033e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
10              	5.51757981e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
11              	5.51416367e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
12              	5.51128915e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
13              	5.50847224e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
14              	5.50585692e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
15              	5.50353438e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
16              	5.50104487e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
17              	5.49888351e+00	(1.43738982e-03 4.10096419e-04 5.00000000e-02)	11496
18              	5.49697317e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	11497
19              	5.49510908e+00	(1.51236281e-03 4.10096419e-04 5.00000000e-02)	11497
20              	5.49327515e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	12100
21              	5.49175682e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	12100
22              	5.49023349e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	12100
23              	5.48872699e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	12100
24              	5.48726191e+00	(1.74200583e-03 4.55689308e-04 5.00000000e-02)	12100
25              	5.48598720e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
26              	5.48474043e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
27              	5.48352189e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
28              	5.48233804e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
29              	5.48119177e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
30              	5.48008530e+00	(2.05952936e-03 5.04089685e-04 5.00000000e-02)	12704
31              	5.47906447e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
32              	5.47807559e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
33              	5.47711802e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
34              	5.47619199e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
35              	5.47529728e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
36              	5.47443324e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
37              	5.47359877e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
38              	5.47279199e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
39              	5.47201192e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
40              	5.47125727e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
41              	5.47052683e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
42              	5.46981773e+00	(2.39050732e-03 5.55470428e-04 5.00000000e-02)	13308
43              	5.46912981e+00	(2.30647071e-03 5.55470428e-04 5.00000000e-02)	13307
44              	5.46847335e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	13912
45              	5.46783775e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	13912
46              	5.46721936e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	13912
47              	5.46661727e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	13912
48              	5.46603060e+00	(2.73550983e-03 6.10015059e-04 5.00000000e-02)	13912
49              	5.46545963e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
50              	5.46490580e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
51              	5.46436405e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
52              	5.46383721e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
53              	5.46332138e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
54              	5.46281467e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
55              	5.46231663e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
56              	5.46182727e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
57              	5.46134688e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
58              	5.46087529e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
59              	5.46041169e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
60              	5.45995605e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
61              	5.45950838e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
62              	5.45906856e+00	(2.64791233e-03 6.10015059e-04 5.00000000e-02)	13911
63              	5.45865424e+00	(3.00382187e-03 6.67918404e-04 5.00000000e-02)	14515
64              	5.45976457e+00	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	53474
65              	5.46095524e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
66              	5.46214019e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
67              	5.46330739e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
68              	5.46445554e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
69              	5.46558273e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
70              	5.46668685e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
71              	5.46776721e+00	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
72              	5.46882836e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
73              	5.46987559e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
74              	5.47089598e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
75              	5.47188938e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
76              	5.47285625e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
77              	5.47379719e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
78              	5.47471378e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
79              	5.47560815e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
80              	5.47648290e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
81              	5.47734101e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
82              	5.47818573e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
83              	5.47902042e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
84              	5.47984897e+00	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
