# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	min(U)	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell	min(ReThetat)	location	cell	min(gammaInt)	location	cell
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	(5.40000000e+00 0.00000000e+00 0.00000000e+00)	5.00000000e-02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.65000000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.88679245e-04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.60990000e+02	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	1.82119753e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	65474	(4.10836365e+00 -1.63115696e-07 -3.10236671e-19)	2.73584787e-02	(2.88500438e+00 1.57000272e-04 5.00000000e-02)	7874	1.37238970e+02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.43198881e-08	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	1.60990004e+02	(1.07397368e-03 1.01701236e-05 5.00000000e-02)	3691	1.00000000e+00	(-7.68137773e-03 3.11366197e-05 5.00000000e-02)	48
2               	5.17977326e-04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	65474	(1.13462161e+00 -2.85874602e-03 -5.72278795e-19)	1.83575635e-02	(2.88500438e+00 1.87008177e-04 5.00000000e-02)	8474	3.26675820e-02	(2.99912419e-05 1.02105369e-04 5.00000000e-02)	6075	3.86846199e-09	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.60990030e+02	(2.56121894e-03 1.01701236e-05 5.00000000e-02)	3710	1.30911487e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	3.71719238e-04	(2.88500438e+00 1.05665010e-02 5.00000000e-02)	39074	(5.82096684e-01 -2.87811436e-03 -4.97960157e-19)	1.69755038e-02	(6.25483922e-02 1.87008177e-04 5.00000000e-02)	8113	3.38495360e-02	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	8478	1.50427056e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990129e+02	(3.37481238e-03 1.01701236e-05 5.00000000e-02)	3719	5.42483204e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	3.19473377e-04	(2.88500438e+00 6.03375212e-03 5.00000000e-02)	33674	(4.10551619e-01 -3.97912122e-03 -3.13206382e-19)	1.31204701e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	3.36315957e-02	(2.12770039e-04 1.57000272e-04 5.00000000e-02)	7278	1.31648357e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990173e+02	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	4.17486734e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	2.93453676e-04	(2.88500438e+00 4.98929477e-03 5.00000000e-02)	31874	(3.29279317e-01 -4.22669322e-03 -1.70102309e-19)	1.04601018e-02	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	3.43503993e-02	(5.30332311e-04 3.26691153e-04 5.00000000e-02)	10283	1.23350439e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990356e+02	(1.51210583e-04 1.01701236e-05 5.00000000e-02)	3677	3.61620967e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	-2.58520798e-02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	(2.79834527e-01 -3.34191576e-03 -1.04204777e-19)	9.72601619e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	3.43564017e-02	(-3.19474650e-05 1.28732992e-04 5.00000000e-02)	209	1.24370885e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990492e+02	(2.74971497e-04 1.01701236e-05 5.00000000e-02)	3679	3.29126425e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	2.66284181e-04	(2.88500438e+00 4.11625143e-03 5.00000000e-02)	30074	(2.45740833e-01 -1.81630030e-03 -9.17734959e-20)	8.85121336e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	4.05852460e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.23030262e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990639e+02	(3.37821652e-04 1.01701236e-05 5.00000000e-02)	3680	3.07592754e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	2.58095003e-04	(2.88500438e+00 3.61536126e-03 5.00000000e-02)	28874	(2.20324669e-01 -2.85867770e-04 -8.17669767e-20)	8.50201996e-03	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	3.73812010e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.24015917e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60990804e+02	(4.65495188e-04 1.01701236e-05 5.00000000e-02)	3682	2.92114221e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	2.51948728e-04	(2.88500438e+00 3.38649000e-03 5.00000000e-02)	28274	(2.00488106e-01 -4.51707928e-05 -7.39178706e-20)	8.10817739e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.48711175e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.22500765e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60991006e+02	(5.30332311e-04 1.01701236e-05 5.00000000e-02)	3683	2.80376438e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
10              	2.47451021e-04	(2.88500438e+00 3.17089454e-03 5.00000000e-02)	27674	(1.84442699e-01 -2.58296620e-09 -7.65764201e-20)	7.44729834e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.28607838e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.22866764e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60991228e+02	(6.62042164e-04 1.01701236e-05 5.00000000e-02)	3685	2.71127812e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
11              	2.44092965e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.71144873e-01 -2.82590381e-06 -7.89538142e-20)	6.89897975e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.12219113e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.22139844e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60991494e+02	(7.96513540e-04 1.01701236e-05 5.00000000e-02)	3687	2.63632303e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
12              	2.41561091e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.59894965e-01 -1.34992431e-05 -8.07099747e-20)	6.43850011e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.98663440e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.22155109e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60991806e+02	(8.64802847e-04 1.01701236e-05 5.00000000e-02)	3688	2.57423111e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
13              	2.39902806e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.50228976e-01 -1.02038214e-05 -8.19118523e-20)	6.04785066e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.87315385e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21780448e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60992171e+02	(1.00352545e-03 1.01701236e-05 5.00000000e-02)	3690	2.52189406e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
14              	2.38886157e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.41810819e-01 3.77132552e-11 -8.27008794e-20)	5.71359850e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.77718886e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21740529e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60992609e+02	(1.14515661e-03 1.01701236e-05 5.00000000e-02)	3692	2.47714570e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
15              	2.38179533e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.34398802e-01 -2.18808793e-10 -8.31966733e-20)	5.42551612e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.69533780e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21498626e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60993113e+02	(1.21708191e-03 1.01701236e-05 5.00000000e-02)	3693	2.43842826e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
16              	2.37994652e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.27809520e-01 -9.46921628e-10 -8.34880426e-20)	5.17567604e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.62501106e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21423732e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60993697e+02	(1.36319065e-03 1.01701236e-05 5.00000000e-02)	3695	2.40458785e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
17              	2.38228156e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.21903776e-01 -2.63345893e-10 -8.36353250e-20)	4.95783587e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.56420324e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21271657e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60994370e+02	(1.51236281e-03 1.01701236e-05 5.00000000e-02)	3697	2.37474987e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
18              	2.38710274e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.16572330e-01 -8.57918291e-10 -8.36885073e-20)	4.76701130e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.51133714e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21181803e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60995138e+02	(1.58811769e-03 1.01701236e-05 5.00000000e-02)	3698	2.34823702e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
19              	2.39533448e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.11729007e-01 2.65632375e-10 -8.36842105e-20)	4.59917299e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.46515556e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.21061711e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60996002e+02	(1.74200583e-03 1.01701236e-05 5.00000000e-02)	3700	2.32451529e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
20              	2.40598787e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.07304341e-01 1.91142962e-10 -8.36473989e-20)	4.45102744e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.42464427e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.20953331e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60996984e+02	(1.89912051e-03 1.01701236e-05 5.00000000e-02)	3702	2.30315711e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
21              	2.41859871e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	(1.03241924e-01 -1.26396019e-09 -8.35967834e-20)	4.31985586e-03	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.38897592e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.20841274e-09	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.60998095e+02	(2.05952936e-03 1.01701236e-05 5.00000000e-02)	3704	2.28381630e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
