# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell	processor
0               	5.40000000e+00	(5.55420652e-01 1.01701236e-05 5.00000000e-02)	0	3
1               	4.10836365e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
2               	1.13462161e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
3               	5.82096682e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
4               	4.10551621e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
5               	3.29279323e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
6               	2.79834528e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
7               	2.45740822e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
8               	2.20324655e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
9               	2.00488089e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
10              	1.84442681e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
11              	1.71144853e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
12              	1.59894944e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
13              	1.50228953e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
14              	1.41810795e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
15              	1.34398778e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
16              	1.27809495e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
17              	1.21903750e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
18              	1.16572304e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
19              	1.11728981e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
20              	1.07304314e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
21              	1.03241896e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
22              	9.94952509e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
23              	9.60257941e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
24              	9.28011577e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
25              	8.97939985e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
26              	8.69810331e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
27              	8.43423131e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
28              	8.18606303e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
29              	7.95210499e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
30              	7.73105484e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
31              	7.52177247e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
32              	7.32325572e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
33              	7.13461985e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
34              	6.95508049e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
35              	6.78393934e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
36              	6.62057253e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
37              	6.46442066e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
38              	6.31498050e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
39              	6.17179745e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
40              	6.03445952e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
41              	5.90259251e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
42              	5.77585598e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
43              	5.65393935e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
44              	5.53655825e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
45              	5.42345144e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
46              	5.31437819e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
47              	5.20911602e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
48              	5.10745888e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	158	3
