#             y             U_x             U_y             U_z               k             nut           omega
   3.113662e-05      0.17439442   3.2828419e-05  -3.4135333e-23      0.01209585   6.4227292e-09       4021342.1
  5.3394177e-05      0.29783445    8.643558e-05  -9.9146154e-23    0.0084205573   1.4004615e-08       863328.69
  7.7022295e-05      0.42875571   0.00017508362  -3.1816799e-23    0.0069999672   2.5904048e-08       332457.71
  0.00010210537      0.56754317   0.00030457573   6.2630945e-23     0.006343903     4.33232e-08       167881.06
  0.00012873299      0.71456979   0.00048119455   8.2745819e-23    0.0060781381   6.7942778e-08       98694.141
  0.00015700027      0.87018215   0.00071249196   9.1697296e-23    0.0060652142     1.01784e-07       64135.945
  0.00018700818       1.0346849    0.0010069671   7.8495232e-23    0.0062440608   1.4684466e-07       44943.255
  0.00021886389        1.208326    0.0013739789  -7.6669495e-23    0.0065851829   2.0458863e-07       33534.173
  0.00025268119       1.3912851    0.0018237477  -2.6027031e-22    0.0070744465   2.7550672e-07        26444.24
  0.00028858087       1.5836614    0.0023673222  -1.7477593e-22    0.0077062654   3.5906727e-07       21904.837
  0.00032669115       1.7854566    0.0030163113   6.0269579e-23    0.0084805091   4.5421852e-07       18931.867
  0.00036714817       1.9966101    0.0037828344   8.3406462e-23    0.0094011993    5.507006e-07       16939.089
  0.00041009642        2.217028     0.004679601   1.0728854e-23     0.010476731    6.392535e-07       15557.253
  0.00045568931       2.4463862    0.0057190098   1.7870357e-22     0.011719598   7.3232044e-07       14543.083
  0.00050408968       2.6838843    0.0069118024   2.5167858e-22     0.013144173    8.455028e-07       13731.312
  0.00055547043        2.928193    0.0082658948   3.0377558e-23     0.014764322   9.8758287e-07       13007.769
  0.00061001506       3.1773992    0.0097848166   -6.084148e-23      0.01659041   1.1733297e-06       12293.189
   0.0006679184       3.4288604     0.011465653  -2.1218486e-22     0.018623819    1.426825e-06       11533.849
  0.00072938728       3.6791095     0.013297131  -3.6700023e-22     0.020848853   1.7797655e-06       10697.332
  0.00079464125       3.9239226     0.015258701   1.0388404e-22     0.023223309   2.2655098e-06       9771.4428
  0.00086391338       4.1586689     0.017318928   3.9383137e-22     0.025671135   2.9020025e-06       8763.2219
   0.0009374511       4.3788696     0.019434476  -2.0685103e-22     0.028081716   3.6936663e-06        7695.207
   0.0010155171       4.5805351     0.021550854  -2.9711179e-22     0.030315257   4.6849257e-06       6600.0782
   0.0010983902       4.7603687     0.023611351   4.0146476e-22     0.032211123   5.9346942e-06       5515.9899
   0.0011863663        4.916149     0.025564624   3.5051542e-22     0.033632996   7.4852102e-06       4482.0877
   0.0012797599       5.0466695     0.027357626  -1.5997034e-22     0.034536209   9.5657903e-06       3536.4567
   0.0013789043       5.1514688     0.028928684  -1.3620076e-22     0.034970331   1.2747474e-05       2715.7362
   0.0014841538       5.2316847     0.030232933   3.3560163e-23     0.035038133   1.7470656e-05        2045.992
   0.0015958843       5.2908776     0.031274975  -2.2900808e-23     0.034872359    2.367019e-05       1529.2993
   0.0017144948       5.3337959     0.032094434  -8.7717728e-23      0.03461495   3.1385136e-05       1146.0292
    0.001840409       5.3646576     0.032735446  -1.6026036e-23     0.034387537   4.0945134e-05       868.97713
   0.0019740768       5.3867606     0.033234793  -6.0568717e-23     0.034261581   5.2457597e-05       672.10945
   0.0021159754       5.4026433     0.033623304  -1.4702976e-22     0.034246504   6.5698299e-05       533.29323
   0.0022666117       5.4141743     0.033927395   1.0826419e-23     0.034314735   8.0201515e-05       435.32845
   0.0024265239       5.4226665     0.034167278   1.5898151e-22     0.034433144   9.5336042e-05       365.75648
    0.002596283       5.4290164      0.03435774   1.0997342e-22     0.034574536   0.00011040268       315.93943
   0.0027764954       5.4338294     0.034509365  -7.6175092e-24     0.034719809   0.00012472887       280.01373
   0.0029678048       5.4375135     0.034629643  -4.0818688e-23     0.034856629   0.00013774577       254.01276
   0.0031708945       5.4403465     0.034723843  -2.3954892e-23      0.03497744   0.00014904148       235.22592
     0.00338649       5.4425203     0.034795662   -7.298019e-23     0.035077915   0.00015838816       221.76185
   0.0036153613       5.4441707     0.034847704  -8.3965625e-23     0.035155988    0.0001657431       212.26144
   0.0038583258       5.4453971      0.03488186  -6.2624172e-23     0.035211338   0.00017122608       205.71373
   0.0041162514       5.4462764     0.034899595  -7.5045676e-23     0.035245114    0.0001750783       201.34161
   0.0043900594       5.4468711     0.034902224  -1.2364275e-23     0.035259739   0.00017761094       198.53445
   0.0046807278       5.4472357     0.034890621   1.7310357e-22     0.035258659   0.00017915327       196.81139
   0.0049892948       5.4474184     0.034866064     2.03116e-22     0.035245963   0.00018000916       195.80216
   0.0053168625       5.4474624      0.03483037   4.4881057e-23     0.035225892   0.00018042881       195.23457
   0.0056646009       5.4474056     0.034784601  -3.9526078e-24     0.035202325   0.00018059749       194.92148
   0.0060337521       5.4472789     0.034729693  -2.8266403e-23     0.035178376   0.00018063879       194.74428
