#             x             U_x             U_y             U_z               k             nut           omega
   -0.046805254       5.4000312    0.0004795806    3.671166e-23     0.049341295   0.00018847731       261.78402
   -0.040820451        5.400133    0.0014295952   3.5262005e-22     0.048107222   0.00018809512       255.75466
   -0.035593767        5.400309    0.0022674149   6.5310854e-22     0.047049786    0.0001877606       250.58002
   -0.031029167       5.4005368     0.002987394   5.7504025e-22     0.046161864   0.00018747415       246.22774
   -0.027042782        5.400786    0.0036040725   3.8156751e-22     0.045412642   0.00018722843       242.55001
   -0.023561368       5.4010404    0.0041313283   3.5565997e-22     0.044777511   0.00018701719       239.42842
   -0.020520958       5.4012907      0.00458173   2.2975194e-22     0.044236893    0.0001868352       236.76848
   -0.017865688       5.4015307    0.0049664067  -1.4902389e-22     0.043775106   0.00018667811        234.4943
   -0.015546772       5.4017562    0.0052950803  -2.9307165e-22     0.043379469   0.00018654232       232.54431
   -0.013521602       5.4019649    0.0055761407    1.734701e-23      0.04303963   0.00018642476       230.86819
   -0.011752967       5.4021559    0.0058167592   1.5577027e-22     0.042747074   0.00018632287       229.42439
   -0.010208373       5.4023292    0.0060230252  -2.2329101e-23     0.042494743   0.00018623447       228.17846
  -0.0088594378       5.4024855    0.0062000913  -2.3838815e-23     0.042276746   0.00018615771       227.10158
  -0.0076813777       5.4026255    0.0063523085   1.7864211e-23     0.042088147   0.00018609101       226.16955
   -0.006652547       5.4027506    0.0064833493  -1.7001814e-22     0.041924778   0.00018603301       225.36193
  -0.0057540422       5.4028618    0.0065963137  -1.5699619e-22     0.041783116   0.00018598254       224.66141
  -0.0049693545       5.4029605    0.0066938212    2.247376e-22     0.041660162   0.00018593862       224.05324
  -0.0042840662       5.4030478    0.0067780886   2.5026344e-22      0.04155336   0.00018590036       223.52485
   -0.003685586       5.4031249    0.0068509951  -1.1638123e-22     0.041460525   0.00018586704       223.06547
  -0.0031629175       5.4031929    0.0069141371  -3.7677799e-23      0.04137978     0.000185838       222.66584
  -0.0027064575       5.4032528    0.0069688733   1.7642089e-22     0.041309514   0.00018581268       222.31803
  -0.0023078191       5.4033054    0.0070163627  -1.2359674e-22      0.04124834   0.00018579061       222.01518
  -0.0019596776       5.4033517    0.0070575961  -3.6201819e-22      0.04119506   0.00018577137       221.75139
  -0.0016556366       5.4033923    0.0070934219  -1.5815182e-22     0.041148639   0.00018575458       221.52153
  -0.0013901097       5.4034279    0.0071245682   1.4890883e-22     0.041108182   0.00018573993       221.32118
   -0.001158218       5.4034592    0.0071516608   1.5978527e-22     0.041072913   0.00018572715       221.14651
   -0.000955701       5.4034866    0.0071752387  -1.7307789e-23      0.04104216     0.000185716        220.9942
 -0.00077883757       5.4035105    0.0071957665   5.3734996e-23      0.04101534   0.00018570627       220.86136
 -0.00062437811       5.4035315    0.0072136455   1.0923204e-22     0.040991945   0.00018569778       220.74548
 -0.00048948463       5.4035499    0.0072292226  -9.1350993e-23     0.040971535   0.00018569037       220.64437
 -0.00037167862        5.403566    0.0072427982  -1.6227343e-22     0.040953727    0.0001856839       220.55616
