# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.91343787e+00	1.91343787e+00	1.91343787e+00
1               	lowerWall	1.66898304e+00	1.77854127e+00	1.67309400e+00
2               	lowerWall	8.77087680e-01	1.51036513e+00	9.06960109e-01
3               	lowerWall	6.28224758e-01	1.44538640e+00	6.56438299e-01
4               	lowerWall	5.27595849e-01	1.41897537e+00	5.55085299e-01
5               	lowerWall	4.72497714e-01	1.40794792e+00	5.00019792e-01
6               	lowerWall	4.35580204e-01	1.40302366e+00	4.63484348e-01
7               	lowerWall	4.08184161e-01	1.40062817e+00	4.36625369e-01
8               	lowerWall	3.86499600e-01	1.39939882e+00	4.15559481e-01
9               	lowerWall	3.68690368e-01	1.39855850e+00	3.98403860e-01
10              	lowerWall	3.53629282e-01	1.39771450e+00	3.84015401e-01
11              	lowerWall	3.40642971e-01	1.39670290e+00	3.71708769e-01
12              	lowerWall	3.29256896e-01	1.39549431e+00	3.61005191e-01
13              	lowerWall	3.19149626e-01	1.39416394e+00	3.51580055e-01
14              	lowerWall	3.10078867e-01	1.39279437e+00	3.43190132e-01
15              	lowerWall	3.01866684e-01	1.39144156e+00	3.35656675e-01
16              	lowerWall	2.94373754e-01	1.39013827e+00	3.28840156e-01
17              	lowerWall	2.87492198e-01	1.38890125e+00	3.22632491e-01
18              	lowerWall	2.81135198e-01	1.38773670e+00	3.16946821e-01
19              	lowerWall	2.75232969e-01	1.38664529e+00	3.11713302e-01
20              	lowerWall	2.69728061e-01	1.38562408e+00	3.06874474e-01
21              	lowerWall	2.64573005e-01	1.38466787e+00	3.02382847e-01
22              	lowerWall	2.59727971e-01	1.38377105e+00	2.98198586e-01
23              	lowerWall	2.55159360e-01	1.38292824e+00	2.94288087e-01
24              	lowerWall	2.50838532e-01	1.38213445e+00	2.90622704e-01
25              	lowerWall	2.46740939e-01	1.38138517e+00	2.87177880e-01
26              	lowerWall	2.42845378e-01	1.38067638e+00	2.83932398e-01
27              	lowerWall	2.39133445e-01	1.38000446e+00	2.80867834e-01
28              	lowerWall	2.35589057e-01	1.37936621e+00	2.77968090e-01
29              	lowerWall	2.32198082e-01	1.37875878e+00	2.75219034e-01
30              	lowerWall	2.28948055e-01	1.37817965e+00	2.72608192e-01
31              	lowerWall	2.25827946e-01	1.37762660e+00	2.70124515e-01
32              	lowerWall	2.22827965e-01	1.37709765e+00	2.67758176e-01
