# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	max(kl)	location	cell	max(kt)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.40000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	2.88814573e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.00410932e-01	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	9.99857414e-02	(-5.75404224e-03 3.11366197e-05 5.00000000e-02)	50	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.29360569e-04	(2.85516791e+00 1.69914938e-01 5.00000000e-02)	66673
2               	4.39767273e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.00063244e-01	(2.66080727e-02 3.11366197e-05 5.00000000e-02)	4441	1.06181954e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	7.29116230e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674
3               	4.83933564e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	9.99970470e-02	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.00203754e-01	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	8478	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	7.33594687e-04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674
4               	5.02756976e+00	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	9.99034527e-02	(6.32530294e-03 1.01701236e-05 5.00000000e-02)	3746	1.01314929e-01	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	6675	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	7.04567797e-04	(2.88500438e+00 1.41974667e-01 5.00000000e-02)	64874
5               	5.08457741e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	9.98448979e-02	(6.45125187e-03 1.01701236e-05 5.00000000e-02)	3747	9.99118125e-02	(-5.75404224e-03 3.11366197e-05 5.00000000e-02)	50	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.71731425e-04	(2.88500438e+00 6.51105205e-02 5.00000000e-02)	57074
6               	5.20882156e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	9.98334633e-02	(-4.68052535e-02 1.69914938e-01 5.00000000e-02)	3640	1.01429029e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.72564595e-04	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	38474
7               	5.27894434e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	9.98316136e-02	(-4.68052535e-02 2.11597538e-03 5.00000000e-02)	1155	9.98670366e-02	(-5.75404224e-03 1.01701236e-05 5.00000000e-02)	15	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.73982975e-04	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	38474
8               	5.31743809e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	9.98316663e-02	(-4.68052535e-02 1.84040904e-03 5.00000000e-02)	1085	1.00094509e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.73353344e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	37874
9               	5.33605844e+00	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	9.98316446e-02	(-4.68052535e-02 1.48415378e-03 5.00000000e-02)	980	9.98178704e-02	(-4.96935452e-03 1.01701236e-05 5.00000000e-02)	16	1.16018912e+07	(1.16356603e-01 1.01701236e-05 5.00000000e-02)	3969	6.70511419e-04	(2.88500438e+00 9.33901361e-03 5.00000000e-02)	37874
