# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.46235009e+00	(2.74971497e-04 1.28732992e-04 5.00000000e-02)	6679
2               	5.47623996e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
3               	5.47891313e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
4               	5.48311137e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
5               	5.49168315e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
6               	5.49733573e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
7               	5.49846911e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
8               	5.49883203e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
9               	5.49728382e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
