# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	min(kl)	location	cell	min(kt)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.40000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	0.00000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	4.73476618e-04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	66074	8.84186283e-02	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.00795799e-02	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	4874	1.31975285e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.31851762e-10	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
2               	4.61211710e-04	(2.88500438e+00 1.41974667e-01 5.00000000e-02)	64874	5.24577767e-02	(2.88500438e+00 4.55689308e-04 5.00000000e-02)	12674	1.10019636e-03	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	4874	2.22044605e-16	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	9.73984107e-22	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	4.13099510e-04	(2.88500438e+00 8.77813902e-03 5.00000000e-02)	37274	5.10260869e-02	(2.88500438e+00 5.55470428e-04 5.00000000e-02)	13874	1.56091373e-04	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	4874	8.19815516e-01	(4.65495188e-04 2.88580868e-04 5.00000000e-02)	9682	1.60149337e-23	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	3.84254007e-04	(2.88500438e+00 8.77813902e-03 5.00000000e-02)	37274	5.42866946e-02	(2.88500438e+00 6.10015059e-04 5.00000000e-02)	14474	2.91223012e-05	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	2.22044605e-16	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	2.51365919e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	3.64982163e-04	(2.88500438e+00 8.24979824e-03 5.00000000e-02)	36674	5.71445916e-02	(2.88500438e+00 6.67918404e-04 5.00000000e-02)	15074	1.23132802e-05	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	5.14490215e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.61241582e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	-1.60292829e-02	(4.01327271e-04 1.01701236e-05 5.00000000e-02)	3681	5.91534926e-02	(2.88500438e+00 7.29387281e-04 5.00000000e-02)	15674	5.88229594e-06	(2.88500438e+00 5.33941767e-05 5.00000000e-02)	5474	2.22044605e-16	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.35759484e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	3.37892816e-04	(2.88500438e+00 7.28327903e-03 5.00000000e-02)	35474	6.04783430e-02	(2.88500438e+00 7.94641248e-04 5.00000000e-02)	16274	6.35427121e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	4.19997917e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.20532995e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	3.27598485e-04	(2.88500438e+00 6.84164836e-03 5.00000000e-02)	34874	6.12993151e-02	(2.88500438e+00 8.63913380e-04 5.00000000e-02)	16874	3.90158004e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	3.31034641e-01	(-3.19474650e-05 1.28732992e-04 5.00000000e-02)	209	1.09019575e-24	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	3.18755420e-04	(2.88500438e+00 6.42563470e-03 5.00000000e-02)	34274	6.02985271e-02	(2.88500438e+00 9.93442535e-03 5.00000000e-02)	38474	4.12929791e-06	(2.88500438e+00 7.70222945e-05 5.00000000e-02)	6074	3.65960904e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	9.98536640e-25	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
