# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	1.36301688e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
2               	6.47733344e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	4.39465214e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	3.45382276e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	2.89991583e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	2.52418037e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	2.24768481e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	2.03331507e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	1.86094893e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
