#             y      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   3.113662e-05    -0.041062308  -4.3097808e-07  -6.5321774e-22       4461.3504     0.037863211   1.6370766e-19   8.6106245e-13   5.6048119e-18  -1.6769273e-34      0.14032836    7.513999e-07  -3.9718162e-23     0.098316316   0.00017085547   1.7426058e-23       3237316.4
  5.3394177e-05    -0.070121987  -1.1127899e-06   3.0633683e-22       4460.4947     0.068926991   1.7913393e-18   1.8830966e-13  -5.9099167e-19  -6.0819585e-35       0.2397031   1.9761343e-06   -9.487188e-24     0.097130576   1.9991006e-05    3.757973e-21       222225.73
  7.7022295e-05     -0.10092937  -2.2076465e-06   2.2988051e-21       4459.6062      0.10027424   6.9577432e-19  -5.5076747e-13  -1.4297476e-17   3.4818115e-35       0.3451768   4.0006586e-06    4.522929e-23     0.095875705   4.7299496e-05   5.5737871e-19       53821.335
  0.00010210537     -0.13358624  -3.7744818e-06   3.0891182e-21       4458.6441      0.13313902  -1.3336871e-18  -2.2742817e-13  -2.8018812e-18   1.9369349e-34      0.45712206   6.9583249e-06   1.4541996e-23     0.094547887   0.00015525181   3.1235213e-17        21804.74
  0.00012873299     -0.16819958  -5.8712604e-06   1.4543858e-21       4457.5949      0.16769392  -1.5262164e-19   2.6997197e-13     9.23501e-18  -3.7928883e-35       0.5759338   1.0994913e-05  -2.5138028e-23     0.093143087   0.00042749335   8.7877031e-16       11265.213
  0.00015700027     -0.20488162  -8.5676668e-06  -3.3742468e-22       4456.4414      0.20431578   4.0240289e-19   -1.047289e-13  -7.8390037e-18  -2.4713373e-34       0.7020305   1.6288203e-05   1.6220294e-23     0.091657018     0.001010549   1.5338074e-14        6666.914
  0.00018700818     -0.24374985  -1.1940812e-05  -3.7067739e-21       4455.1627      0.24314996  -1.1680496e-18   2.3152491e-14   5.4612321e-18  -3.7961186e-35      0.83585539   2.3042744e-05  -9.8183945e-24     0.090085108    0.0021314469   1.8947148e-13       4298.4153
  0.00021886389     -0.28492689  -1.6069731e-05  -3.9135392e-21       4453.7318      0.28429279  -6.6501838e-19   4.2200245e-13   2.8412256e-17  -1.1312298e-34      0.97787769   3.1490686e-05   -6.165174e-23     0.088422447    0.0041272001   1.8031852e-12       2938.8304
  0.00025268119     -0.32854015  -2.1032271e-05   3.8705691e-21       4452.1116       0.3278206   2.7452612e-19   3.0111539e-13   2.0098879e-17  -1.3107409e-34       1.1285938   4.1894821e-05  -4.3730031e-23     0.086663728    0.0074840716   1.4001485e-11        2096.819
  0.00028858087     -0.37472042  -2.6955217e-05   5.9190555e-21       4450.2023      0.37384443   1.8641649e-19   2.3684196e-13   1.9725951e-17   7.0058712e-35       1.2885282   5.4550843e-05  -4.1726827e-23     0.084803138     0.012889196   9.2420779e-11       1545.3514
  0.00032669115     -0.42356461  -3.4204885e-05  -1.3581952e-21        4446.214      0.42263751   1.3422358e-18   1.6991195e-13   1.4663387e-17    -2.40178e-35       1.4582303   6.9795455e-05   -2.980356e-23      0.08283414     0.021297552    9.700203e-10       1168.4642
  0.00036714817     -0.47426581  -4.3116051e-05  -5.5074236e-21       4425.7613      0.47342838   1.9226675e-18  -2.4768192e-13  -3.0072833e-17  -6.3276097e-35       1.6381306   8.8020169e-05   7.3282624e-23     0.080748607     0.033976539   2.6102974e-08        902.5883
  0.00041009642     -0.52182305  -5.1710812e-05  -7.5743301e-22       4341.4611      0.52097918  -9.9626252e-19  -4.6193521e-13   -5.316934e-17   3.2150664e-36       1.8275021   0.00010957004   1.2307728e-22     0.078533056       0.0521635    2.362611e-07       712.06791
  0.00045568931     -0.55561996  -5.2755622e-05   4.7070289e-21       4122.7211      0.55506161  -3.6948728e-18   2.1043049e-15   6.3680619e-18  -2.0285927e-34       2.0221372   0.00013441679  -4.0717846e-23     0.076158113       0.0757251   1.0225854e-06       576.74961
