#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
   -0.046805254     0.010631073      0.16320315   1.5184153e-21  -0.00043588185    -0.014287692  -1.4379341e-20   1.7499683e-22  -2.6726369e-20  -1.5642548e-38       5.4000316   0.00048592257   3.7277845e-23      0.09983785     0.047159073   0.00017140517       23.746291
   -0.040820451      0.02583235      0.16194433   4.3431867e-20   -0.0016528576     -0.02732395    7.860372e-22    3.172644e-21  -2.4186722e-20   9.5629458e-39       5.4001347    0.0014485039   3.5810705e-22     0.099531362     0.046270252   0.00016976881       23.270056
   -0.035593767     0.043710908      0.15969613   1.0228999e-20   -0.0039043646    -0.043292796   3.5306819e-21   1.0006012e-21  -3.3609885e-20  -4.2070086e-38       5.4003131    0.0022974112   6.6340863e-22     0.099263456     0.045506355   0.00016833646       22.860212
   -0.031029167     0.057875777      0.15683263  -3.5538312e-20   -0.0068156628    -0.057059604  -4.8812496e-21  -8.9536053e-21  -4.9271437e-20  -6.2163422e-38       5.4005439    0.0030269253   5.8418237e-22     0.099033855     0.044862946   0.00016711274       22.514539
   -0.027042782      0.06932628      0.15365221  -2.1900751e-20    -0.010043347    -0.068884263  -1.6894252e-20   1.9434577e-20   1.4740068e-20   8.0339357e-38       5.4007965     0.003651778   3.8777361e-22     0.098836621     0.044318599   0.00016606632       22.221737
   -0.023561368      0.07916445      0.15034872  -3.2082731e-20    -0.013384433    -0.079010615  -2.9560675e-20   8.1373791e-20   1.3360225e-19  -1.7482888e-37       5.4010543    0.0041860284   3.6164532e-22     0.098666816     0.043856092   0.00016516884       21.972698
   -0.020520958     0.087772671       0.1470473  -1.0702804e-19     -0.01671441    -0.087662612  -3.4431011e-20     4.20213e-20   7.5836435e-20    2.262839e-38       5.4013079    0.0046424095   2.3358716e-22     0.098520339     0.043461645   0.00016439729       21.760115
   -0.017865688     0.095176139      0.14384142  -8.8408829e-20    -0.019940989    -0.095043718  -2.5182795e-20  -1.2143364e-19  -1.7495561e-19   7.2850733e-37       5.4015512    0.0050321957  -1.5183879e-22     0.098393774     0.043124155   0.00016373318       21.578088
   -0.015546772      0.10144977      0.14079869   7.5884937e-20    -0.022997915     -0.10133613  -3.6380144e-21  -1.6258895e-19  -2.4383879e-19  -4.8937385e-37       5.4017798     0.005365236  -2.9835774e-22     0.098284256     0.042834595   0.00016316092       21.421807
   -0.013521602      0.10676636      0.13796069   1.0706092e-19    -0.025845176      -0.1067003   8.1812177e-21    3.586479e-20   2.0828222e-20   -1.353909e-36       5.4019913    0.0056500308   1.7867134e-23     0.098189372     0.042585569   0.00016266707       21.287325
   -0.011752967      0.11129958      0.13534771   -4.630658e-20    -0.028463854     -0.11127552   -8.301496e-22   9.9471006e-20   1.2270668e-19   1.1243822e-37       5.4021849    0.0058938458   1.5876155e-22      0.09810708     0.042370963   0.00016224025       21.171373
   -0.010208373      0.11517733      0.13296554  -5.1345829e-20    -0.030849212     -0.11518139  -2.9295052e-20  -4.7825528e-20  -3.8218291e-20  -1.8843278e-37       5.4023606    0.0061028513  -2.2927503e-23     0.098035642     0.042185694   0.00016187088       21.071228
  -0.0088594378      0.11849447      0.13081066   2.5050208e-20    -0.033005547     -0.11851983   -2.331329e-20  -1.5411769e-20  -4.0298387e-21   -1.025583e-36       5.4025189    0.0062822679  -2.4334597e-23     0.097973579      0.04202551   0.00016155091       20.984609
  -0.0076813777      0.12133225      0.12887351  -9.1628313e-20    -0.034942952     -0.12137721    2.431005e-20   2.2910415e-20    3.088333e-20   -5.103283e-37       5.4026609    0.0064365049   1.8215028e-23     0.097919623     0.041886831   0.00016127347       20.909594
   -0.006652547      0.12376346      0.12714082  -6.5824846e-20    -0.036675118     -0.12382649   1.3602583e-20   -2.438906e-19  -2.4588718e-19  -5.9635238e-37       5.4027876    0.0065692834  -1.7413401e-22     0.097872687     0.041766634   0.00016103271       20.844558
  -0.0057540422       0.1258506      0.12559725   3.0693594e-19    -0.038217674     -0.12592914  -3.2589218e-20  -2.1054496e-19  -2.1270952e-19   2.8229836e-37       5.4029004    0.0066837448   -1.607174e-22     0.097831837     0.041662353    0.0001608236        20.78812
  -0.0049693545      0.12764551      0.12422665    2.298612e-19     -0.03958698     -0.12773694   -1.944151e-20   4.5992661e-19   4.3402067e-19   -9.129384e-37       5.4030004    0.0067825438   2.3098842e-22     0.097796269     0.041571803   0.00016064188       20.739103
  -0.0042840662      0.12919121      0.12301288  -3.5943866e-19    -0.040799315      -0.1292935   3.2849758e-20   4.7829696e-19   4.5330351e-19  -1.1032842e-36       5.4030889    0.0068679265   2.5703371e-22     0.097765287     0.041493118   0.00016048385       20.696501
   -0.003685586        0.130524      0.12194035  -1.6101847e-19    -0.041870364     -0.13063561   3.9905168e-20  -3.1680681e-19  -3.0326037e-19  -6.7824854e-37       5.4031671    0.0069417975  -1.2008971e-22     0.097738291       0.0414247   0.00016034636        20.65945
  -0.0031629175      0.13167469      0.12099435   3.3759449e-19     -0.04281491     -0.13179432  -3.9568849e-21  -1.5403995e-21  -2.9498505e-20  -5.9072658e-36        5.403236    0.0070057742  -3.8341222e-23     0.097714761     0.041365174   0.00016022667       20.627212
