#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z              kl              kt             nut           omega
  2.9991242e-05               0            0.05      -21953.772      -927.77487   1.6539305e-16       186103.17       23763.314    1.575288e-15  -7.5345571e-15  -3.1841329e-16   5.6763066e-35               0               0               0             0.1             0.1               0        11601891
  9.0286504e-05               0            0.05      -12630.272      -1893.8723  -4.5162305e-16       140755.73       10767.916   1.4170591e-15  -1.5164268e-15  -2.2738375e-16  -5.4223161e-35               0               0               0             0.1             0.1               0        11601891
  0.00015121058               0            0.05      -6290.5764      -436.21036   -3.045542e-16       106542.53       2967.7481   2.4737286e-16  -1.0329289e-13  -2.8170788e-15  -1.7300213e-34               0               0               0             0.1             0.1               0        11601891
  0.00021277004               0            0.05      -3403.8816       -74.79651   1.5717418e-16       84046.288       981.49469  -8.8822093e-16   1.6660029e-13   1.9416899e-15  -1.7472785e-33               0               0               0             0.1             0.1               0        11601891
   0.0002749715               0            0.05      -1784.0112       -17.71218   1.4768799e-16       71382.928       551.90219   1.6915152e-15  -1.4330524e-13   -1.107993e-15  -3.3949219e-33               0               0               0             0.1             0.1               0        11601891
  0.00033782165               0            0.05      -1138.4377      -8.1003076  -9.6956716e-17       63388.668       399.93789   4.0495896e-16  -6.3905153e-14  -4.0288799e-16  -3.7810006e-34               0               0               0             0.1             0.1               0        11601891
  0.00040132727               0            0.05      -841.04495       -5.385509  -2.0726198e-17       57527.292        303.5116   7.3209679e-18   1.9292544e-18     1.23537e-20   4.7543368e-38               0               0               0             0.1             0.1               0        11601891
  0.00046549519               0            0.05      -653.59273       -3.684465  -1.4282397e-17       52976.776       237.39491  -1.2389148e-16  -7.2252487e-17  -4.0730527e-19  -1.5788712e-36               0               0               0             0.1             0.1               0        11601891
  0.00053033231               0            0.05      -524.57987      -2.5503408   2.2710882e-17       49327.121       191.78058  -1.1773519e-16    5.160851e-14   2.0065047e-16  -1.2318046e-34               0               0               0             0.1             0.1               0        11601891
  0.00059584562               0            0.05       -432.7976      -1.8511377   2.4218212e-17       46311.811       159.60166   1.8605725e-16  -9.7964028e-14  -3.3764579e-16  -3.9081672e-34               0               0               0             0.1             0.1               0        11601891
  0.00066204216               0            0.05      -364.43415      -1.4119031  -2.4900191e-17       43763.015       135.04965   3.3666745e-16  -4.6709619e-14  -1.4411315e-16  -3.5706498e-34               0               0               0             0.1             0.1               0        11601891
  0.00072892907               0            0.05      -311.75651      -1.0935833  -1.6385671e-17       41572.591       116.02899  -1.5351725e-16   3.3741651e-17   1.1835938e-19    1.773434e-36               0               0               0             0.1             0.1               0        11601891
  0.00079651354               0            0.05      -270.34143     -0.86668758  -6.4984626e-18       39662.791       101.04373  -1.8794079e-16   4.3227191e-14   1.1010561e-16   -2.056471e-34               0               0               0             0.1             0.1               0        11601891
  0.00086480285               0            0.05      -237.03385     -0.70292383   7.7584525e-19       37977.445       88.868011  -1.1693039e-16   4.1873615e-14   9.8000212e-17  -1.2893116e-34               0               0               0             0.1             0.1               0        11601891
  0.00093380434               0            0.05      -209.73589     -0.57605141  -2.9210715e-18       36475.877       78.827619  -2.1248974e-16   4.0635588e-14   8.7829749e-17  -2.3629618e-34               0               0               0             0.1             0.1               0        11601891
   0.0010035254               0            0.05      -187.10177     -0.47698242    1.589115e-17        35126.71       70.500049  -1.3060018e-16   7.8983454e-14   1.5849112e-16  -2.8911559e-34               0               0               0             0.1             0.1               0        11601891
   0.0010739737               0            0.05      -168.11277     -0.40055287   1.8050114e-17       33905.224       63.483088   1.7255433e-16  -7.7137315e-14  -1.4445542e-16  -3.8686507e-34               0               0               0             0.1             0.1               0        11601891
   0.0011451566               0            0.05      -151.98095     -0.34003451  -1.7853972e-17       32792.117       57.496756   1.1250609e-16  -7.5303655e-14  -1.3202091e-16  -2.5497492e-34               0               0               0             0.1             0.1               0        11601891
   0.0012170819               0            0.05      -138.12956     -0.29111033    -4.77673e-18       31772.052       52.341467  -3.0711159e-17   7.3778386e-14   1.2155549e-16  -7.0346335e-35               0               0               0             0.1             0.1               0        11601891
   0.0012897573               0            0.05      -126.14208      -0.2506031   1.1476028e-17       30832.654       47.867946   6.4893829e-17  -3.6158481e-14  -5.6136336e-17  -7.6103157e-35               0               0               0             0.1             0.1               0        11601891
   0.0013631906               0            0.05      -115.70549     -0.21717894   2.5368104e-18       29963.591       43.973309   2.9390234e-17  -3.5516717e-14  -5.2127325e-17  -3.4586342e-35               0               0               0             0.1             0.1               0        11601891
   0.0014373898               0            0.05      -106.55178     -0.18985682  -3.3292135e-18       29156.231       40.546571    8.491909e-17  -6.9818986e-14  -9.7094952e-17  -2.0335748e-34               0               0               0             0.1             0.1               0        11601891
   0.0015123628               0            0.05      -98.463507     -0.16687923  -6.0092868e-18       28403.467       37.511128  -3.0688404e-19   9.3160968e-18   1.5789231e-20   5.6856697e-37               0               0               0             0.1             0.1               0        11601891
