# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.66077422e-01	1.66077422e-01	1.66077422e-01
1               	lowerWall	1.23534353e-01	1.23563972e-01	1.23553131e-01
2               	lowerWall	1.18275635e-01	1.18398460e-01	1.18393667e-01
3               	lowerWall	1.16900563e-01	1.17835924e-01	1.17817226e-01
4               	lowerWall	1.17088429e-01	1.17745840e-01	1.17710567e-01
5               	lowerWall	1.16209370e-01	1.17705057e-01	1.17649705e-01
6               	lowerWall	1.15920089e-01	1.17675122e-01	1.17602125e-01
7               	lowerWall	1.15523311e-01	1.17662848e-01	1.17564223e-01
8               	lowerWall	1.14949677e-01	1.17667876e-01	1.17535474e-01
9               	lowerWall	1.14427654e-01	1.17674313e-01	1.17515630e-01
