# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	max(k)	location	cell	max(omega)	location	cell	max(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.38000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	4.20168067e-03	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	8.50127697e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.00000113e-01	(-3.71678618e-04 1.01701236e-05 5.00000000e-02)	30	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.20653782e-03	(2.88500438e+00 5.11975664e-02 5.00000000e-02)	54674
2               	8.50502394e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.00243884e-01	(2.12770039e-04 2.52681188e-04 5.00000000e-02)	9078	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.21952589e-03	(2.76749354e+00 6.91401926e-02 5.00000000e-02)	57670
3               	8.50277368e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.00539910e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.22172082e-03	(2.65475959e+00 9.33306556e-02 5.00000000e-02)	60666
4               	8.50175669e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01304854e-01	(-1.00476297e-04 5.33941767e-05 5.00000000e-02)	103	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.22660493e-03	(2.71054178e+00 7.34180011e-02 5.00000000e-02)	58268
5               	8.50136380e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01717445e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.22655871e-03	(2.71054178e+00 7.79592257e-02 5.00000000e-02)	58868
6               	8.50117319e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01855015e-01	(2.99912419e-05 1.57000272e-04 5.00000000e-02)	7275	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.22714822e-03	(2.73886995e+00 6.13145915e-02 5.00000000e-02)	56469
7               	8.50106068e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01866936e-01	(9.02865036e-05 1.87008177e-04 5.00000000e-02)	7876	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.23106409e-03	(2.85516791e+00 5.77388473e-02 5.00000000e-02)	55873
8               	8.50098618e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01928823e-01	(9.02865036e-05 1.87008177e-04 5.00000000e-02)	7876	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.23195945e-03	(2.65475959e+00 5.11975664e-02 5.00000000e-02)	54666
9               	8.50093325e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01818124e-01	(1.51210583e-04 2.18863888e-04 5.00000000e-02)	8477	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.23753620e-03	(2.68250600e+00 8.27800867e-02 5.00000000e-02)	59467
10              	8.50089380e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01748778e-01	(1.51210583e-04 1.87008177e-04 5.00000000e-02)	7877	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24087527e-03	(2.71054178e+00 8.27800867e-02 5.00000000e-02)	59468
11              	8.50086337e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01743102e-01	(2.12770039e-04 2.18863888e-04 5.00000000e-02)	8478	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24293510e-03	(2.82563940e+00 6.91401926e-02 5.00000000e-02)	57672
12              	8.50083924e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01681242e-01	(2.74971497e-04 2.52681188e-04 5.00000000e-02)	9079	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24972975e-03	(2.82563940e+00 7.34180011e-02 5.00000000e-02)	58272
13              	8.50081965e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01603714e-01	(2.74971497e-04 2.52681188e-04 5.00000000e-02)	9079	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24770275e-03	(2.82563940e+00 6.13145915e-02 5.00000000e-02)	56472
14              	8.50080347e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01577517e-01	(4.65495188e-04 3.26691153e-04 5.00000000e-02)	10282	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24588860e-03	(2.76749354e+00 4.02425556e-02 5.00000000e-02)	52270
15              	8.50078991e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01540038e-01	(4.65495188e-04 3.26691153e-04 5.00000000e-02)	10282	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.24757524e-03	(2.79641566e+00 4.53931371e-02 5.00000000e-02)	53471
16              	8.50077841e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01557376e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25003354e-03	(2.82563940e+00 4.27409249e-02 5.00000000e-02)	52872
17              	8.50076852e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01591627e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25256719e-03	(2.85516791e+00 4.02425556e-02 5.00000000e-02)	52273
18              	8.50075996e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01625133e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25326629e-03	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
19              	8.50075244e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01655984e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25677800e-03	(2.73886995e+00 4.53931371e-02 5.00000000e-02)	53469
20              	8.50074580e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01686390e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25690340e-03	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
21              	8.50073988e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01714419e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25871996e-03	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
22              	8.50073457e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01741946e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.25890340e-03	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
23              	8.50072976e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01767415e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26097215e-03	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
24              	8.50072538e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01792285e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26075042e-03	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
25              	8.50072136e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01815410e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26254730e-03	(2.88500438e+00 4.02425556e-02 5.00000000e-02)	52274
26              	8.50071766e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01837776e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26271786e-03	(2.79641566e+00 4.27409249e-02 5.00000000e-02)	52871
27              	8.50071423e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01858723e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26481625e-03	(2.82563940e+00 4.02425556e-02 5.00000000e-02)	52272
28              	8.50071104e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01878954e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26642672e-03	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	53474
29              	8.50070806e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01898151e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26906218e-03	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
30              	8.50070525e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01916752e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.26898726e-03	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874
31              	8.50070261e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01934476e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.27102503e-03	(2.73886995e+00 5.43705160e-02 5.00000000e-02)	55269
32              	8.50070010e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01951656e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.27491514e-03	(2.76749354e+00 4.82086654e-02 5.00000000e-02)	54070
33              	8.50069772e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01968053e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.27543590e-03	(2.62729956e+00 4.53931371e-02 5.00000000e-02)	53465
34              	8.50069544e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01983958e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.27778228e-03	(2.65475959e+00 4.53931371e-02 5.00000000e-02)	53466
35              	8.50069326e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01999172e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.27910696e-03	(2.68250600e+00 4.53931371e-02 5.00000000e-02)	53467
36              	8.50069115e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.02013954e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.28193715e-03	(2.71054178e+00 4.27409249e-02 5.00000000e-02)	52868
37              	8.50068914e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.02028136e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.28362104e-03	(2.71054178e+00 4.27409249e-02 5.00000000e-02)	52868
38              	8.50068719e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.02041955e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.28563393e-03	(2.76749354e+00 4.82086654e-02 5.00000000e-02)	54070
39              	8.50068533e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.02055256e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.28931180e-03	(2.76749354e+00 4.53931371e-02 5.00000000e-02)	53470
40              	8.50068352e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.02068255e-01	(-1.00476297e-04 3.11366197e-05 5.00000000e-02)	68	1.16018912e+07	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	4.29179913e-03	(2.79641566e+00 4.53931371e-02 5.00000000e-02)	53471
