# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.40142060e+00	(1.51210583e-04 1.28732992e-04 5.00000000e-02)	6677
2               	5.56729629e+00	(2.12770039e-04 1.02105369e-04 5.00000000e-02)	6078
3               	5.62930889e+00	(2.12770039e-04 1.02105369e-04 5.00000000e-02)	6078
4               	5.64675887e+00	(2.12770039e-04 1.02105369e-04 5.00000000e-02)	6078
5               	5.65118351e+00	(2.74971497e-04 1.28732992e-04 5.00000000e-02)	6679
6               	5.64512770e+00	(2.74971497e-04 1.28732992e-04 5.00000000e-02)	6679
7               	5.63154698e+00	(2.74971497e-04 1.28732992e-04 5.00000000e-02)	6679
8               	5.62002907e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
9               	5.60798969e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
10              	5.59441902e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
11              	5.58307859e+00	(4.65495188e-04 1.87008177e-04 5.00000000e-02)	7882
12              	5.57414447e+00	(4.65495188e-04 1.87008177e-04 5.00000000e-02)	7882
13              	5.56495724e+00	(4.65495188e-04 1.87008177e-04 5.00000000e-02)	7882
14              	5.55574412e+00	(4.65495188e-04 1.87008177e-04 5.00000000e-02)	7882
15              	5.54669092e+00	(4.65495188e-04 1.87008177e-04 5.00000000e-02)	7882
16              	5.53982502e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
17              	5.53422026e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
18              	5.52868421e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
19              	5.52328061e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
20              	5.51810866e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
21              	5.51324690e+00	(5.95845619e-04 2.18863888e-04 5.00000000e-02)	8484
22              	5.50971963e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
23              	5.50644734e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
24              	5.50345732e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
25              	5.50061919e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
26              	5.49795563e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
27              	5.49547973e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
28              	5.49320294e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
29              	5.49112142e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
30              	5.48922468e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
31              	5.48749555e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
32              	5.48597798e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
33              	5.48476439e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
34              	5.48365626e+00	(7.96513540e-04 2.88580868e-04 5.00000000e-02)	9687
35              	5.48264534e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
36              	5.48172844e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
37              	5.48088756e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
38              	5.48011664e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
39              	5.47940855e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
40              	5.47875534e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
41              	5.47815105e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
42              	5.47759147e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
43              	5.47707006e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
44              	5.47658181e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
45              	5.47612080e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
46              	5.47568576e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
47              	5.47527204e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
48              	5.47487671e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
49              	5.47449546e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
50              	5.47412652e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
51              	5.47376773e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
52              	5.47341745e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
53              	5.47307573e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
54              	5.47274066e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
55              	5.47251306e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
56              	5.47231644e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
57              	5.47212137e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
58              	5.47192890e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
59              	5.47173799e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
60              	5.47154924e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
61              	5.47136164e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
62              	5.47117600e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
63              	5.47099208e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
64              	5.47080995e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
65              	5.47062996e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
66              	5.47045173e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
67              	5.47027603e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
68              	5.47010223e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
69              	5.46993094e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
70              	5.46976207e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
71              	5.46959577e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
72              	5.46943265e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
73              	5.46927232e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
74              	5.46911534e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
75              	5.46896105e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
76              	5.46880972e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
77              	5.46866087e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
78              	5.46851481e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
79              	5.46837115e+00	(1.00352545e-03 3.26691153e-04 5.00000000e-02)	10290
80              	5.46825281e+00	(1.14515661e-03 3.67148169e-04 5.00000000e-02)	10892
81              	5.46817441e+00	(1.14515661e-03 3.67148169e-04 5.00000000e-02)	10892
82              	5.46809711e+00	(1.14515661e-03 3.67148169e-04 5.00000000e-02)	10892
83              	5.46802820e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
84              	5.46796173e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
85              	5.46789612e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
86              	5.46783104e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
87              	5.46776649e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
88              	5.46770228e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
89              	5.46763852e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
90              	5.46757513e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
91              	5.46751226e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
92              	5.46744973e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
93              	5.46738745e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
94              	5.46732545e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
95              	5.46726378e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
96              	5.46720242e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
97              	5.46714137e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
98              	5.46708065e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
99              	5.46702038e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
100             	5.46696054e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
101             	5.46690132e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
102             	5.46684281e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
103             	5.46678496e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
104             	5.46672769e+00	(1.21708191e-03 3.67148169e-04 5.00000000e-02)	10893
