# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	min(k)	location	cell	min(omega)	location	cell	min(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	2.38000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.16768085e-07	(2.82563940e+00 1.01701236e-05 5.00000000e-02)	4272
1               	8.50000000e+04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	66074	5.19597053e-02	(-4.68052535e-02 1.69914938e-01 5.00000000e-02)	3640	2.34344480e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	7.07736322e-09	(2.49419270e+00 1.01701236e-05 5.00000000e-02)	4260
2               	8.50000021e+04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	66074	2.54911054e-02	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.31515405e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.19715088e-09	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
3               	8.50000015e+04	(2.88500438e+00 1.50737428e-01 5.00000000e-02)	65474	7.94933665e-03	(1.73296013e+00 1.01701236e-05 5.00000000e-02)	4225	2.28371011e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	6.85175937e-10	(1.73296013e+00 1.01701236e-05 5.00000000e-02)	4225
4               	8.50000012e+04	(2.88500438e+00 1.41974667e-01 5.00000000e-02)	64874	2.50108234e-03	(1.73296013e+00 1.01701236e-05 5.00000000e-02)	4225	2.25603925e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.15575401e-10	(1.73296013e+00 1.01701236e-05 5.00000000e-02)	4225
5               	8.50000010e+04	(2.88500438e+00 9.33306556e-02 5.00000000e-02)	60674	7.98424974e-04	(1.71501430e+00 1.01701236e-05 5.00000000e-02)	4224	2.23559012e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	6.88185196e-11	(1.71501430e+00 1.01701236e-05 5.00000000e-02)	4224
6               	8.50000009e+04	(2.88500438e+00 8.27800867e-02 5.00000000e-02)	59474	2.61226870e-04	(1.71501430e+00 1.01701236e-05 5.00000000e-02)	4224	2.21408682e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.25158870e-11	(1.71501430e+00 1.01701236e-05 5.00000000e-02)	4224
7               	8.50000009e+04	(2.88500438e+00 6.13145915e-02 5.00000000e-02)	56474	8.92789088e-05	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.19336427e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	7.69520309e-12	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
8               	8.50000008e+04	(2.88500438e+00 5.77388473e-02 5.00000000e-02)	55874	3.29927900e-05	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.16830677e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.84374242e-12	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
9               	8.50000008e+04	(2.88500438e+00 4.53931371e-02 5.00000000e-02)	53474	1.38937908e-05	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.14652094e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.19754535e-12	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
10              	8.50000007e+04	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874	7.02634828e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.12941495e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	6.05620944e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
11              	8.50000007e+04	(2.88500438e+00 4.27409249e-02 5.00000000e-02)	52874	4.32599972e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.10894044e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.72870221e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
12              	8.50000007e+04	(2.88500438e+00 3.78891055e-02 5.00000000e-02)	51674	3.12422713e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.09304785e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.69286023e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
13              	8.50000006e+04	(2.88500438e+00 3.35838259e-02 5.00000000e-02)	50474	2.50619503e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.07464045e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.16016079e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
14              	8.50000006e+04	(2.88500438e+00 3.35838259e-02 5.00000000e-02)	50474	2.14135398e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.05470885e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.84569391e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
15              	8.50000006e+04	(2.88500438e+00 3.16166188e-02 5.00000000e-02)	49874	1.90100347e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.03783897e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.63852897e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
16              	8.50000006e+04	(2.88500438e+00 2.97635205e-02 5.00000000e-02)	49274	1.72990142e-06	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270	2.01753408e+01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.49105124e-13	(2.76749354e+00 1.01701236e-05 5.00000000e-02)	4270
