# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.32946164e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
2               	2.56064401e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	1.51525242e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	1.05797072e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	8.24901735e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	6.88407917e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	5.99004808e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	5.35354894e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	4.87234376e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
10              	4.49242716e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
11              	4.18274247e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
12              	3.92411784e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
13              	3.70401394e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
14              	3.51383655e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
15              	3.34746705e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
16              	3.20041114e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
17              	3.06928082e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
18              	2.95146558e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
19              	2.84491613e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
20              	2.74799765e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
21              	2.65938761e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
22              	2.57800283e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
23              	2.50294651e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
24              	2.43346889e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
25              	2.36893766e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
26              	2.30881533e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
27              	2.25264160e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
28              	2.20001948e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
29              	2.15060435e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
30              	2.10409529e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
31              	2.06022821e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
32              	2.01877027e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
33              	1.97951538e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
34              	1.94228051e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
35              	1.90690259e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
36              	1.87323586e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
37              	1.84114974e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
38              	1.81052693e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
39              	1.78126184e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
40              	1.75325914e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
