#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z               k             nut           omega
   -0.046805254     0.013860526       0.1578615               0  -0.00042956056    -0.013526274               0               0               0               0       5.4000302   0.00047045294               0     0.047574591    0.0020010587       23.774705
   -0.040820451     0.025340606      0.15685787               0   -0.0015241248    -0.025874176               0               0               0               0       5.4001291    0.0014018983               0      0.04746378    0.0020004253       23.726837
   -0.035593767     0.040657681      0.15497401               0   -0.0035312305    -0.041000327               0               0               0               0       5.4002977    0.0022243738               0     0.047365528    0.0019998496       23.684541
   -0.031029167     0.054290677      0.15247746               0   -0.0061384716    -0.054048258               0               0               0               0       5.4005147    0.0029324303               0     0.047280037     0.001999339        23.64783
   -0.027042782     0.065484183      0.14965351               0   -0.0090484091    -0.065261237               0               0               0               0       5.4007541    0.0035399469               0     0.047205616    0.0019988881       23.615934
   -0.023561368     0.074913698      0.14670284               0    -0.012064388    -0.074868946               0               0               0               0       5.4009991    0.0040602812               0     0.047140806    0.0019984911       23.588197
   -0.020520958     0.083090483      0.14375046               0    -0.015068111    -0.083082869               0               0               0               0         5.40124    0.0045055862               0     0.047084346    0.0019981424       23.564058
   -0.017865688     0.090135645       0.1408839               0    -0.017974191    -0.090095253               0               0               0               0       5.4014709     0.004886634               0     0.047035145    0.0019978365       23.543039
   -0.015546772     0.096125072      0.13816437               0    -0.020723605    -0.096078115               0               0               0               0       5.4016879    0.0052128349               0     0.046992259    0.0019975686       23.524728
   -0.013521602      0.10121384       0.1356292               0    -0.023283471     -0.10118277               0               0               0               0       5.4018887    0.0054923135               0     0.046954867    0.0019973341       23.508769
   -0.011752967      0.10555674      0.13329698               0    -0.025636405     -0.10554049               0               0               0               0       5.4020725    0.0057320219               0      0.04692226     0.001997129       23.494856
   -0.010208373      0.10928164      0.13117349               0    -0.027778305     -0.10926399               0               0               0               0       5.4022393    0.0059378748               0      0.04689382    0.0019969498       23.482724
  -0.0088594378      0.11247645      0.12925612               0    -0.029714228     -0.11244936               0               0               0               0       5.4023897    0.0061148873               0      0.04686901    0.0019967931       23.472141
  -0.0076813777      0.11519509      0.12753689               0    -0.031450579     -0.11517806               0               0               0               0       5.4025246    0.0062673047               0     0.046847364    0.0019966562       23.462909
   -0.006652547       0.1175198      0.12600454               0    -0.033002256     -0.11751892               0               0               0               0        5.402645    0.0063987186               0     0.046828476    0.0019965367       23.454854
  -0.0057540422      0.11954137      0.12464621               0    -0.034385048     -0.11953001               0               0               0               0       5.4027521     0.006512169               0     0.046811993    0.0019964323       23.447824
  -0.0049693545      0.12129001      0.12344854               0    -0.035612798     -0.12126026               0               0               0               0       5.4028472    0.0066102312               0     0.046797607    0.0019963411       23.441689
  -0.0042840662      0.12276238      0.12239818               0    -0.036697711     -0.12275094               0               0               0               0       5.4029313    0.0066950902               0     0.046785051    0.0019962615       23.436335
   -0.003685586      0.12403014      0.12148163               0    -0.037653999     -0.12403686               0               0               0               0       5.4030056     0.006768603               0     0.046774091    0.0019961919       23.431661
  -0.0031629175       0.1251606      0.12068367               0     -0.03849926     -0.12514744               0               0               0               0       5.4030712    0.0068323496               0     0.046764523    0.0019961312        23.42758
  -0.0027064575      0.12613627       0.1199848               0    -0.039244796     -0.12610752               0               0               0               0       5.4031289    0.0068876761               0      0.04675617    0.0019960782       23.424018
  -0.0023078191      0.12695938      0.11935702               0    -0.039899725     -0.12693814               0               0               0               0       5.4031796    0.0069357287               0     0.046748879    0.0019960319       23.420908
  -0.0019596776      0.12767271      0.11875903               0    -0.040474609     -0.12765707               0               0               0               0       5.4032242    0.0069774826               0     0.046742512    0.0019959914       23.418193
  -0.0016556366      0.12828289      0.11813041               0    -0.040977967     -0.12827929               0               0               0               0       5.4032634    0.0070137652               0     0.046736954    0.0019959561       23.415823
  -0.0013901097      0.12877794      0.11739201               0    -0.041418326     -0.12881735               0               0               0               0       5.4032977    0.0070452763               0       0.0467321    0.0019959253       23.413753
   -0.001158218      0.12922368      0.11645915               0    -0.041805862     -0.12928198               0               0               0               0       5.4033278    0.0070726083               0     0.046727862    0.0019958983       23.411946
   -0.000955701      0.12964447      0.11525665               0    -0.042147796     -0.12968245               0               0               0               0       5.4033542    0.0070962673               0     0.046724162    0.0019958748       23.410367
 -0.00077883757      0.13001035      0.11373168               0      -0.0424466     -0.13002679               0               0               0               0       5.4033773     0.007116692               0     0.046720931    0.0019958543       23.408989
 -0.00062437811      0.13030366      0.11186851               0    -0.042706152     -0.13032209               0               0               0               0       5.4033976    0.0071342691               0     0.046718109    0.0019958363       23.407786
 -0.00048948463      0.13050539      0.10969931               0    -0.042932514     -0.13057471               0               0               0               0       5.4034153    0.0071493467               0     0.046715645    0.0019958207       23.406735
 -0.00037167862      0.13076119      0.10730654               0    -0.043131698     -0.13079041               0               0               0               0       5.4034307    0.0071622425               0     0.046713493     0.001995807       23.405817
 -0.00026879555      0.13107311      0.10481821               0    -0.043306155     -0.13097444               0               0               0               0       5.4034443    0.0071732487               0     0.046711614     0.001995795       23.405016
 -0.00017894507      0.13118248      0.10239684               0    -0.043457389     -0.13113156               0               0               0               0       5.4034562    0.0071826343               0     0.046709973    0.0019957846       23.404316
  -0.0001004763      0.13114912      0.10022169               0    -0.043590592     -0.13126601               0               0               0               0       5.4034665    0.0071906445               0      0.04670854    0.0019957755       23.403705
 -3.1947465e-05      0.13128689     0.098430881               0    -0.043708343     -0.13138242               0               0               0               0       5.4034756    0.0071975489               0     0.046707279    0.0019957674       23.403167
  2.9991242e-05      0.13157625     0.097021121               0    -0.043814815     -0.13148721               0               0               0               0       5.4034839    0.0072037275               0     0.046706131    0.0019957601       23.402677
  9.0286504e-05      0.13169875     0.095850496               0    -0.043916741     -0.13158739               0               0               0               0        5.403492    0.0072095959               0     0.046705024    0.0019957531       23.402206
  0.00015121058      0.13167786     0.094783213               0     -0.04401887      -0.1316871               0               0               0               0          5.4035    0.0072154008               0     0.046703917    0.0019957461       23.401733
  0.00021277004       0.1317717     0.093770047               0    -0.044124372     -0.13178736               0               0               0               0       5.4035081    0.0072212024               0     0.046702798     0.001995739       23.401256
   0.0002749715      0.13198023     0.092804997               0    -0.044231044      -0.1318882               0               0               0               0       5.4035163     0.007227003               0     0.046701667    0.0019957318       23.400774
  0.00033782165      0.13210353     0.091886125               0    -0.044338385     -0.13198962               0               0               0               0       5.4035246     0.007232805               0     0.046700525    0.0019957245       23.400287
  0.00040132727       0.1321108     0.091012039               0    -0.044446023     -0.13209166               0               0               0               0        5.403533    0.0072386106               0     0.046699371    0.0019957172       23.399794
  0.00046549519      0.13210385     0.090182324               0    -0.044553498     -0.13219434               0               0               0               0       5.4035415    0.0072444221               0     0.046698205    0.0019957098       23.399297
  0.00053033231      0.13214943     0.089395886               0    -0.044662723     -0.13229769               0               0               0               0         5.40355    0.0072502419               0     0.046697026    0.0019957023       23.398794
  0.00059584562      0.13234051      0.08865107               0    -0.044775323     -0.13240173               0               0               0               0       5.4035587    0.0072560722               0     0.046695836    0.0019956947       23.398286
