# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.91438630e+00	1.91438630e+00	1.91438630e+00
1               	lowerWall	1.90182229e+00	1.90624593e+00	1.90188577e+00
2               	lowerWall	1.31782822e+00	1.66244300e+00	1.35145997e+00
3               	lowerWall	1.01365358e+00	1.54797232e+00	1.05067720e+00
4               	lowerWall	8.46976430e-01	1.49050921e+00	8.81894482e-01
5               	lowerWall	7.47877056e-01	1.46038076e+00	7.80745559e-01
6               	lowerWall	6.83202144e-01	1.44376099e+00	7.14708876e-01
7               	lowerWall	6.37293898e-01	1.43371917e+00	6.67927912e-01
8               	lowerWall	6.02482411e-01	1.42669790e+00	6.32539951e-01
9               	lowerWall	5.74766758e-01	1.42108271e+00	6.04430042e-01
10              	lowerWall	5.51902802e-01	1.41620586e+00	5.81289475e-01
11              	lowerWall	5.32539917e-01	1.41183217e+00	5.61729565e-01
12              	lowerWall	5.15812952e-01	1.40789285e+00	5.44861533e-01
13              	lowerWall	5.01137860e-01	1.40436190e+00	5.30086005e-01
14              	lowerWall	4.88102939e-01	1.40121452e+00	5.16980978e-01
15              	lowerWall	4.76407484e-01	1.39841794e+00	5.05238613e-01
16              	lowerWall	4.65825344e-01	1.39593316e+00	4.94627660e-01
17              	lowerWall	4.56182237e-01	1.39371967e+00	4.84970146e-01
18              	lowerWall	4.47341068e-01	1.39173931e+00	4.76126236e-01
19              	lowerWall	4.39192091e-01	1.38995828e+00	4.67984106e-01
20              	lowerWall	4.31646117e-01	1.38834804e+00	4.60452985e-01
21              	lowerWall	4.24629707e-01	1.38688506e+00	4.53458183e-01
22              	lowerWall	4.18081696e-01	1.38555008e+00	4.46937566e-01
23              	lowerWall	4.11950616e-01	1.38432736e+00	4.40838900e-01
24              	lowerWall	4.06192773e-01	1.38320393e+00	4.35117872e-01
25              	lowerWall	4.00770768e-01	1.38216896e+00	4.29736577e-01
26              	lowerWall	3.95652354e-01	1.38121318e+00	4.24662347e-01
27              	lowerWall	3.90809528e-01	1.38032856e+00	4.19866829e-01
28              	lowerWall	3.86217813e-01	1.37951030e+00	4.15325271e-01
29              	lowerWall	3.81855671e-01	1.37875223e+00	4.11015918e-01
30              	lowerWall	3.77704047e-01	1.37804788e+00	4.06919564e-01
31              	lowerWall	3.73746002e-01	1.37739100e+00	4.03019159e-01
32              	lowerWall	3.69966412e-01	1.37677615e+00	3.99299479e-01
33              	lowerWall	3.66351731e-01	1.37619862e+00	3.95746889e-01
34              	lowerWall	3.62889788e-01	1.37565446e+00	3.92349145e-01
35              	lowerWall	3.59569618e-01	1.37514030e+00	3.89095218e-01
36              	lowerWall	3.56381321e-01	1.37465331e+00	3.85975139e-01
37              	lowerWall	3.53315935e-01	1.37419103e+00	3.82979868e-01
38              	lowerWall	3.50365338e-01	1.37375131e+00	3.80101193e-01
39              	lowerWall	3.47522153e-01	1.37333220e+00	3.77331649e-01
