# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	max(p)	location	cell	max(k)	location	cell	max(epsilon)	location	cell	max(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	4.81981132e-05	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	8.50064778e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.09007567e-01	(2.88500438e+00 3.11366197e-05 5.00000000e-02)	4874	2.90047279e+04	(2.97752058e-02 1.01701236e-05 5.00000000e-02)	3850	5.66327827e-05	(2.88500438e+00 1.12374981e-02 5.00000000e-02)	39674
2               	8.50074267e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.00467933e-01	(-1.00476297e-04 1.02105369e-04 5.00000000e-02)	173	1.70261827e+04	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	6.48858678e-05	(2.88500438e+00 1.19498135e-02 5.00000000e-02)	40274
3               	8.50067515e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.01791468e-01	(-3.19474650e-05 1.02105369e-04 5.00000000e-02)	174	9.79719103e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	7.24556812e-05	(2.88500438e+00 1.27059913e-02 5.00000000e-02)	40874
4               	8.50062767e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.03653269e-01	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	6675	7.72401540e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	7.91662691e-05	(2.88500438e+00 1.35087325e-02 5.00000000e-02)	41474
5               	8.50059795e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.04135172e-01	(2.99912419e-05 1.28732992e-04 5.00000000e-02)	6675	7.12049697e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	8.49930706e-05	(2.88500438e+00 1.43609044e-02 5.00000000e-02)	42074
6               	8.50058116e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.04473695e-01	(9.02865036e-05 1.28732992e-04 5.00000000e-02)	6676	6.93227660e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	9.00394161e-05	(2.88500438e+00 1.43609044e-02 5.00000000e-02)	42074
7               	8.50057164e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.04653370e-01	(1.51210583e-04 1.57000272e-04 5.00000000e-02)	7277	6.85312451e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	9.43972826e-05	(2.88500438e+00 1.43609044e-02 5.00000000e-02)	42074
8               	8.50056613e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.04757330e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.80970042e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	9.81919892e-05	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
9               	8.50056220e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.04878509e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.78296638e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.01529511e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
10              	8.50055857e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.05023534e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.76402095e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.04459336e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
11              	8.50055571e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.05167096e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.75029707e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.07041820e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
12              	8.50055312e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.05285084e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.74032794e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.09325133e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
13              	8.50055103e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.05365339e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.73311186e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.11348186e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
14              	8.50054940e+04	(-3.19474650e-05 1.01701236e-05 5.00000000e-02)	34	1.05405737e-01	(9.02865036e-05 1.57000272e-04 5.00000000e-02)	7276	6.72748607e+03	(2.99912419e-05 1.01701236e-05 5.00000000e-02)	3675	1.13142804e-04	(2.88500438e+00 1.52655508e-02 5.00000000e-02)	42674
