# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	maxMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	5.43331928e+00	(1.51210583e-04 1.28732992e-04 5.00000000e-02)	6677
2               	5.48985744e+00	(1.51210583e-04 1.02105369e-04 5.00000000e-02)	6077
3               	5.52895447e+00	(2.12770039e-04 1.28732992e-04 5.00000000e-02)	6678
4               	5.55299204e+00	(2.12770039e-04 1.28732992e-04 5.00000000e-02)	6678
5               	5.56589244e+00	(2.12770039e-04 1.28732992e-04 5.00000000e-02)	6678
6               	5.56929676e+00	(2.12770039e-04 1.28732992e-04 5.00000000e-02)	6678
7               	5.56641609e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
8               	5.56729930e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
9               	5.56590303e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
10              	5.56295389e+00	(3.37821652e-04 1.57000272e-04 5.00000000e-02)	7280
11              	5.56154285e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
12              	5.56069421e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
13              	5.55875253e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
14              	5.55580550e+00	(4.01327271e-04 1.87008177e-04 5.00000000e-02)	7881
15              	5.55300453e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
16              	5.55240491e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
17              	5.55093670e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
18              	5.54864684e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
19              	5.54578435e+00	(5.30332311e-04 2.18863888e-04 5.00000000e-02)	8483
20              	5.54436455e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
21              	5.54297651e+00	(6.62042164e-04 2.52681188e-04 5.00000000e-02)	9085
22              	5.54095494e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
23              	5.53919158e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
24              	5.53712364e+00	(7.28929071e-04 2.52681188e-04 5.00000000e-02)	9086
25              	5.53554254e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
26              	5.53431743e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
27              	5.53279062e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
28              	5.53090340e+00	(8.64802847e-04 2.88580868e-04 5.00000000e-02)	9688
29              	5.52892577e+00	(9.33804341e-04 2.88580868e-04 5.00000000e-02)	9689
30              	5.52754425e+00	(1.07397368e-03 3.26691153e-04 5.00000000e-02)	10291
31              	5.52637849e+00	(1.07397368e-03 3.26691153e-04 5.00000000e-02)	10291
32              	5.52504635e+00	(1.07397368e-03 3.26691153e-04 5.00000000e-02)	10291
33              	5.52343125e+00	(1.07397368e-03 3.26691153e-04 5.00000000e-02)	10291
34              	5.52189020e+00	(1.14515661e-03 3.26691153e-04 5.00000000e-02)	10292
35              	5.52036571e+00	(1.28975731e-03 3.67148169e-04 5.00000000e-02)	10894
36              	5.51924638e+00	(1.28975731e-03 3.67148169e-04 5.00000000e-02)	10894
37              	5.51811766e+00	(1.36319065e-03 3.67148169e-04 5.00000000e-02)	10895
38              	5.51693826e+00	(1.36319065e-03 3.67148169e-04 5.00000000e-02)	10895
39              	5.51561548e+00	(1.36319065e-03 3.67148169e-04 5.00000000e-02)	10895
40              	5.51419045e+00	(1.36319065e-03 3.67148169e-04 5.00000000e-02)	10895
41              	5.51298378e+00	(1.58811769e-03 4.10096419e-04 5.00000000e-02)	11498
42              	5.51199969e+00	(1.58811769e-03 4.10096419e-04 5.00000000e-02)	11498
43              	5.51092785e+00	(1.58811769e-03 4.10096419e-04 5.00000000e-02)	11498
44              	5.50985852e+00	(1.66466262e-03 4.10096419e-04 5.00000000e-02)	11499
45              	5.50875119e+00	(1.66466262e-03 4.10096419e-04 5.00000000e-02)	11499
46              	5.50756431e+00	(1.66466262e-03 4.10096419e-04 5.00000000e-02)	11499
47              	5.50650015e+00	(1.89912051e-03 4.55689308e-04 5.00000000e-02)	12102
48              	5.50563190e+00	(1.89912051e-03 4.55689308e-04 5.00000000e-02)	12102
49              	5.50469552e+00	(1.89912051e-03 4.55689308e-04 5.00000000e-02)	12102
50              	5.50380322e+00	(1.97890888e-03 4.55689308e-04 5.00000000e-02)	12103
51              	5.50285955e+00	(1.97890888e-03 4.55689308e-04 5.00000000e-02)	12103
52              	5.50186548e+00	(1.97890888e-03 4.55689308e-04 5.00000000e-02)	12103
53              	5.50084035e+00	(1.97890888e-03 4.55689308e-04 5.00000000e-02)	12103
54              	5.50004886e+00	(2.22330146e-03 5.04089685e-04 5.00000000e-02)	12706
55              	5.49929327e+00	(2.30647071e-03 5.04089685e-04 5.00000000e-02)	12707
56              	5.49853414e+00	(2.30647071e-03 5.04089685e-04 5.00000000e-02)	12707
57              	5.49774090e+00	(2.30647071e-03 5.04089685e-04 5.00000000e-02)	12707
58              	5.49691127e+00	(2.30647071e-03 5.04089685e-04 5.00000000e-02)	12707
59              	5.49605621e+00	(2.30647071e-03 5.04089685e-04 5.00000000e-02)	12707
60              	5.49520956e+00	(2.39050732e-03 5.04089685e-04 5.00000000e-02)	12708
61              	5.49454286e+00	(2.64791233e-03 5.55470428e-04 5.00000000e-02)	13311
62              	5.49388873e+00	(2.64791233e-03 5.55470428e-04 5.00000000e-02)	13311
63              	5.49323118e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
64              	5.49258620e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
65              	5.49191683e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
66              	5.49122995e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
67              	5.49053057e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
68              	5.48982201e+00	(2.73550983e-03 5.55470428e-04 5.00000000e-02)	13312
69              	5.48928509e+00	(3.09513114e-03 6.10015059e-04 5.00000000e-02)	13916
70              	5.48873624e+00	(3.09513114e-03 6.10015059e-04 5.00000000e-02)	13916
71              	5.48819709e+00	(3.18739268e-03 6.10015059e-04 5.00000000e-02)	13917
72              	5.48766005e+00	(3.18739268e-03 6.10015059e-04 5.00000000e-02)	13917
73              	5.48710504e+00	(3.18739268e-03 6.10015059e-04 5.00000000e-02)	13917
74              	5.48653699e+00	(3.18739268e-03 6.10015059e-04 5.00000000e-02)	13917
75              	5.48595742e+00	(3.18739268e-03 6.10015059e-04 5.00000000e-02)	13917
76              	5.48537554e+00	(3.28061642e-03 6.10015059e-04 5.00000000e-02)	13918
77              	5.48487427e+00	(3.56616165e-03 6.67918404e-04 5.00000000e-02)	14521
78              	5.48443152e+00	(3.66333556e-03 6.67918404e-04 5.00000000e-02)	14522
79              	5.48398450e+00	(3.66333556e-03 6.67918404e-04 5.00000000e-02)	14522
80              	5.48352510e+00	(3.66333556e-03 6.67918404e-04 5.00000000e-02)	14522
81              	5.48305392e+00	(3.76152289e-03 6.67918404e-04 5.00000000e-02)	14523
82              	5.48259376e+00	(3.76152289e-03 6.67918404e-04 5.00000000e-02)	14523
83              	5.48212137e+00	(3.76152289e-03 6.67918404e-04 5.00000000e-02)	14523
84              	5.48163692e+00	(3.76152289e-03 6.67918404e-04 5.00000000e-02)	14523
85              	5.48114011e+00	(3.76152289e-03 6.67918404e-04 5.00000000e-02)	14523
86              	5.48073964e+00	(4.16461950e-03 7.29387281e-04 5.00000000e-02)	15127
87              	5.48035821e+00	(4.26803471e-03 7.29387281e-04 5.00000000e-02)	15128
