# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	min(p)	location	cell	min(k)	location	cell	min(epsilon)	location	cell	min(nut)	location	cell
0               	8.50000000e+04	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e-01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	1.00000000e+01	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0	4.81981132e-05	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	8.50000004e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	5.52907662e-02	(9.02865036e-05 1.01701236e-05 5.00000000e-02)	3676	4.54742562e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	3.16878391e-10	(9.02865036e-05 1.01701236e-05 5.00000000e-02)	3676
2               	8.50000007e+04	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.98879534e-02	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.31796146e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	7.34112899e-11	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	8.50000005e+04	(2.88500438e+00 1.60039776e-01 5.00000000e-02)	66074	7.22613633e-03	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.31685889e+00	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.71913222e-11	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	8.50000004e+04	(2.88500438e+00 8.77813902e-03 5.00000000e-02)	37274	2.70783720e-03	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	8.20984571e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.05081243e-11	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	8.50000004e+04	(2.88500438e+00 7.28327903e-03 5.00000000e-02)	35474	1.06640795e-03	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	5.51753112e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	4.34912985e-12	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	8.50000003e+04	(2.88500438e+00 6.42563470e-03 5.00000000e-02)	34274	4.54876285e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	3.93435124e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	2.00927013e-12	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	8.50000003e+04	(2.88500438e+00 5.31686246e-03 5.00000000e-02)	32474	2.18189265e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.93918080e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	1.08379554e-12	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	8.50000003e+04	(2.88500438e+00 4.98929477e-03 5.00000000e-02)	31874	1.21072955e-04	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	2.27838207e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	6.95719689e-13	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	8.50000003e+04	(2.88500438e+00 4.39005944e-03 5.00000000e-02)	30674	7.76959022e-05	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.81944041e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	5.16323911e-13	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
10              	8.50000003e+04	(2.88500438e+00 4.11625143e-03 5.00000000e-02)	30074	5.61020008e-05	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274	1.48865241e-01	(2.88500438e+00 1.69914938e-01 5.00000000e-02)	66674	4.19499659e-13	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
