# Selection     : all 
# Volume        : 5.16250000e-02
# Time          	minMag(U)	location	cell
0               	5.40000000e+00	(-4.68052535e-02 1.01701236e-05 5.00000000e-02)	0
1               	3.85275756e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
2               	2.00237058e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
3               	1.27020946e+00	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
4               	9.32279100e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
5               	7.50532754e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
6               	6.38975295e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
7               	5.63121891e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
8               	5.07558257e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
9               	4.64631726e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
10              	4.30165642e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
11              	4.01688792e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
12              	3.77638672e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
13              	3.56972872e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
14              	3.38965172e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
15              	3.23091480e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
16              	3.08962437e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
17              	2.96281685e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
18              	2.84818983e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
19              	2.74392296e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
20              	2.64855503e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
21              	2.56089748e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
22              	2.47997222e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
23              	2.40496599e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
24              	2.33519631e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
25              	2.27008562e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
26              	2.20914151e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
27              	2.15194122e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
28              	2.09811951e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
29              	2.04735902e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
30              	1.99938249e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
31              	1.95394649e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
32              	1.91083634e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
33              	1.86986185e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
34              	1.83085389e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
35              	1.79366146e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
36              	1.75814930e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
37              	1.72419580e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
38              	1.69169135e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
39              	1.66053678e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
40              	1.63064219e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
41              	1.60192582e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
42              	1.57431315e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
43              	1.54773608e-01	(2.88500438e+00 1.01701236e-05 5.00000000e-02)	4274
