#             x      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
   -0.046805254     0.011698733      0.16216476               0    -0.000475076    -0.014478076               0               0               0               0        5.400034   0.00048245152               0   2.6899418e-06     0.043255696       8.4371872
   -0.040820451      0.02568868      0.16106876               0   -0.0016596638     -0.02769082               0               0               0               0       5.4001389     0.001439373               0   2.5969866e-06     0.035838982       5.9078209
   -0.035593767     0.043435282      0.15891284               0   -0.0038545319    -0.043882041               0               0               0               0       5.4003167    0.0022837664               0    2.554113e-06     0.030775326       4.3749581
   -0.031029167     0.058334927      0.15602741               0   -0.0067253636    -0.057854422               0               0               0               0       5.4005501    0.0030092957               0   2.5325426e-06     0.027348691        3.459278
   -0.027042782     0.070197303      0.15281157               0   -0.0099276248    -0.069866958               0               0               0               0       5.4008072    0.0036304327               0    2.514019e-06     0.024930473       2.8801439
   -0.023561368     0.080177398       0.1494855               0     -0.01323393     -0.08016276               0               0               0               0       5.4010695    0.0041613361               0   2.4956825e-06     0.023151412       2.4905238
   -0.020520958     0.088933816      0.14616246               0    -0.016520864    -0.088967323               0               0               0               0       5.4013272     0.004614731               0   2.4782817e-06     0.021797484       2.2143694
   -0.017865688     0.096528646      0.14293205               0    -0.019700019    -0.096485541               0               0               0               0       5.4015745    0.0050018583               0   2.4625506e-06     0.020739926       2.0105652
   -0.015546772      0.10297036      0.13986109               0    -0.022706069     -0.10290083               0               0               0               0       5.4018069    0.0053325285               0   2.4487301e-06     0.019897245       1.8554574
   -0.013521602      0.10841688        0.136992               0    -0.025502544     -0.10837485               0               0               0               0       5.4020221    0.0056152072               0   2.4367567e-06     0.019215302       1.7345807
   -0.011752967      0.11307401      0.13434667               0    -0.028074013     -0.11304804               0               0               0               0       5.4022189    0.0058571309               0   2.4264445e-06     0.018656615       1.6386096
   -0.010208373      0.11706906      0.13193275               0    -0.030411986     -0.11704116               0               0               0               0       5.4023977    0.0060644464               0   2.4175792e-06     0.018194347       1.5612659
  -0.0088594378      0.12047597      0.12974869               0    -0.032520432     -0.12045717               0               0               0               0       5.4025588    0.0062423557               0   2.4099571e-06     0.017808739       1.4981706
  -0.0076813777      0.12338773      0.12778687               0    -0.034415253     -0.12338342               0               0               0               0       5.4027033    0.0063952524               0   2.4033977e-06     0.017484905       1.4461788
   -0.006652547      0.12589763      0.12603555               0    -0.036109566     -0.12589373               0               0               0               0       5.4028322    0.0065268445               0   2.3977457e-06     0.017211417       1.4029759
  -0.0057540422      0.12806907      0.12448043               0    -0.037617453      -0.1280504               0               0               0               0        5.402947    0.0066402616               0    2.392869e-06     0.016979354       1.3668226
  -0.0049693545      0.12992799      0.12310591               0    -0.038953244     -0.12990593               0               0               0               0       5.4030488    0.0067381466               0   2.3886555e-06      0.01678165       1.3363881
  -0.0042840662      0.13151764      0.12189598               0       -0.040135     -0.13150462               0               0               0               0        5.403139    0.0068227345               0   2.3850107e-06     0.016612644       1.3106379
   -0.003685586      0.13288221      0.12083502               0    -0.041179173     -0.13288386               0               0               0               0       5.4032186    0.0068959186               0   2.3818542e-06     0.016467751        1.288757
  -0.0031629175      0.13406224      0.11990838               0    -0.042099129     -0.13407525               0               0               0               0       5.4032888    0.0069593055               0   2.3791178e-06      0.01634322       1.2700952
  -0.0027064575       0.1351078      0.11910289               0    -0.042908431     -0.13510556               0               0               0               0       5.4033506    0.0070142621               0   2.3767435e-06     0.016235962       1.2541285
  -0.0023078191      0.13600704      0.11840736               0    -0.043619321     -0.13599749               0               0               0               0        5.403405    0.0070619536               0   2.3746817e-06      0.01614341       1.2404304
  -0.0019596776      0.13677905      0.11781308               0    -0.044243407     -0.13677037               0               0               0               0       5.4034527    0.0071033756               0     2.37289e-06     0.016063422       1.2286509
  -0.0016556366      0.13747552       0.1173143               0    -0.044792874     -0.13744064               0               0               0               0       5.4034947    0.0071393813               0   2.3713321e-06     0.015994198       1.2185007
  -0.0013901097      0.13805722       0.1169087               0    -0.045276364     -0.13802234               0               0               0               0       5.4035315    0.0071707033               0   2.3699766e-06     0.015934217       1.2097392
   -0.001158218      0.13852429      0.11659756               0    -0.045699503     -0.13852748               0               0               0               0       5.4035638    0.0071979721               0   2.3687968e-06     0.015882193       1.2021649
   -0.000955701      0.13893117      0.11638616               0    -0.046068537     -0.13896634               0               0               0               0       5.4035921    0.0072217314               0   2.3677695e-06     0.015837029       1.1956082
 -0.00077883757      0.13924736      0.11628418               0    -0.046390401     -0.13934775               0               0               0               0       5.4036168    0.0072424511               0   2.3668746e-06     0.015797791        1.189926
 -0.00062437811      0.13956571      0.11630545               0    -0.046673217     -0.13967928               0               0               0               0       5.4036385    0.0072605378               0   2.3660948e-06     0.015763679       1.1849968
 -0.00048948463      0.14000227      0.11646762               0    -0.046922293     -0.13996747               0               0               0               0       5.4036575    0.0072763437               0    2.365415e-06     0.015734005        1.180717
 -0.00037167862      0.14039236      0.11679223               0    -0.047140305     -0.14021794               0               0               0               0       5.4036741     0.007290174               0   2.3648224e-06     0.015708179       1.1769983
 -0.00026879555      0.14054999      0.11730272               0    -0.047331296     -0.14043555               0               0               0               0       5.4036886    0.0073022935               0   2.3643057e-06     0.015685692       1.1737651
 -0.00017894507      0.14044913      0.11803045               0    -0.047496893      -0.1406245               0               0               0               0       5.4037013    0.0073129314               0    2.363855e-06     0.015666105       1.1709524
