#        face_x          face_y          face_z      gradU_xx      gradU_xy      gradU_xz      gradU_yx      gradU_yy      gradU_yz      gradU_zx      gradU_zy      gradU_zz             U_x             U_y             U_z             nut               k         epsilon
  2.9991242e-05               0            0.05      -23890.812      -427.21779               0       169142.63       21047.166               0               0               0               0               0               0               0               0     0.003483133       1010.2733
  9.0286504e-05               0            0.05      -12988.426      -1806.8168               0       130564.63        11737.97               0               0               0               0               0               0               0               0   0.00042906027       124.44777
  0.00015121058               0            0.05       -6598.236       -423.4237               0       101226.94       3605.8543               0               0               0               0               0               0               0               0   0.00015689738       45.507663
  0.00021277004               0            0.05      -3158.3905       -110.8534               0       82099.699       1442.5538               0               0               0               0               0               0               0               0   8.4603588e-05       24.539043
   0.0002749715               0            0.05      -1675.4045      -14.748427               0       70468.902         251.969               0               0               0               0               0               0               0               0   6.0044253e-05       17.415673
  0.00033782165               0            0.05      -1105.8202      -1.2904044               0        62662.45       140.52176               0               0               0               0               0               0               0               0   4.6657231e-05       13.532804
  0.00040132727               0            0.05      -811.79187     -0.47577844               0       56976.346       117.76371               0               0               0               0               0               0               0               0   3.7397686e-05       10.847098
  0.00046549519               0            0.05      -635.83671     -0.42003592               0       52552.803       96.179494               0               0               0               0               0               0               0               0   3.0847349e-05       8.9471899
  0.00053033231               0            0.05      -513.56248     -0.32022351               0       48986.551        79.92441               0               0               0               0               0               0               0               0   2.6071496e-05       7.5619668
  0.00059584562               0            0.05      -425.21462     -0.25158294               0       46029.142       67.838899               0               0               0               0               0               0               0               0   2.2434936e-05       6.5071923
  0.00066204216               0            0.05      -358.79541     -0.20215506               0       43523.921       57.944836               0               0               0               0               0               0               0               0    1.957223e-05       5.6768719
  0.00072892907               0            0.05      -307.46467     -0.15998174               0        41367.09       50.201988               0               0               0               0               0               0               0               0   1.7265027e-05        5.007674
  0.00079651354               0            0.05      -267.00096     -0.13013318               0       39483.451       43.981958               0               0               0               0               0               0               0               0   1.5370383e-05       4.4581377
  0.00086480285               0            0.05      -234.33589      -0.1075676               0       37819.191       38.816668               0               0               0               0               0               0               0               0   1.3789979e-05       3.9997459
  0.00093380434               0            0.05      -207.51836    -0.088661882               0       36335.028       34.520231               0               0               0               0               0               0               0               0   1.2454003e-05       3.6122495
   0.0010035254               0            0.05      -185.26749    -0.073838653               0       35000.297       30.966252               0               0               0               0               0               0               0               0   1.1311427e-05       3.2808485
   0.0010739737               0            0.05      -166.57033    -0.062581818               0       33790.943       27.941412               0               0               0               0               0               0               0               0   1.0324387e-05       2.9945603
   0.0011451566               0            0.05      -150.66404    -0.053417717               0       32688.225       25.350058               0               0               0               0               0               0               0               0    9.464315e-06       2.7450987
   0.0012170819               0            0.05      -136.99823    -0.045937812               0       31677.124       23.110386               0               0               0               0               0               0               0               0   8.7092419e-06       2.5260918
