# y+ ()         
# Time          	patch           	min             	max             	average         
0               	lowerWall	1.91343787e+00	1.91343787e+00	1.91343787e+00
1               	lowerWall	1.61623060e+00	1.74353456e+00	1.62661799e+00
2               	lowerWall	1.16517112e+00	1.56513962e+00	1.19359960e+00
3               	lowerWall	9.28015342e-01	1.49670566e+00	9.57682600e-01
4               	lowerWall	7.95042709e-01	1.46937745e+00	8.23560673e-01
5               	lowerWall	7.13349416e-01	1.45588916e+00	7.40913738e-01
6               	lowerWall	6.58202487e-01	1.44446857e+00	6.85169080e-01
7               	lowerWall	6.17900705e-01	1.43531040e+00	6.44510693e-01
8               	lowerWall	5.86624820e-01	1.42783491e+00	6.13027795e-01
9               	lowerWall	5.61270111e-01	1.42161673e+00	5.87562324e-01
10              	lowerWall	5.40051710e-01	1.41715978e+00	5.66300102e-01
11              	lowerWall	5.21870013e-01	1.41365577e+00	5.48122498e-01
12              	lowerWall	5.06006057e-01	1.41082506e+00	5.32299332e-01
13              	lowerWall	4.91966003e-01	1.40839826e+00	5.18327498e-01
14              	lowerWall	4.79396682e-01	1.40622960e+00	5.05846011e-01
15              	lowerWall	4.68037055e-01	1.40425761e+00	4.94590215e-01
16              	lowerWall	4.57688843e-01	1.40247003e+00	4.84357973e-01
17              	lowerWall	4.48197973e-01	1.40085547e+00	4.74993996e-01
18              	lowerWall	4.39442393e-01	1.39939696e+00	4.66373729e-01
19              	lowerWall	4.31323820e-01	1.39807681e+00	4.58396743e-01
20              	lowerWall	4.23761976e-01	1.39687541e+00	4.50982914e-01
21              	lowerWall	4.16690483e-01	1.39577632e+00	4.44064707e-01
22              	lowerWall	4.10053849e-01	1.39476524e+00	4.37585785e-01
23              	lowerWall	4.03805244e-01	1.39383005e+00	4.31499173e-01
24              	lowerWall	3.97904804e-01	1.39296045e+00	4.25763915e-01
25              	lowerWall	3.92318334e-01	1.39214729e+00	4.20345947e-01
26              	lowerWall	3.87016297e-01	1.39138380e+00	4.15214997e-01
27              	lowerWall	3.81973019e-01	1.39066460e+00	4.10345190e-01
28              	lowerWall	3.77166053e-01	1.38998568e+00	4.05713934e-01
29              	lowerWall	3.72575668e-01	1.38934354e+00	4.01300914e-01
30              	lowerWall	3.68184437e-01	1.38873561e+00	3.97088937e-01
31              	lowerWall	3.63976897e-01	1.38815928e+00	3.93062009e-01
32              	lowerWall	3.59939270e-01	1.38761250e+00	3.89206354e-01
33              	lowerWall	3.56059228e-01	1.38709299e+00	3.85509533e-01
34              	lowerWall	3.52325704e-01	1.38659839e+00	3.81960207e-01
35              	lowerWall	3.48728727e-01	1.38612674e+00	3.78548469e-01
36              	lowerWall	3.45259280e-01	1.38567600e+00	3.75265048e-01
37              	lowerWall	3.41909192e-01	1.38524441e+00	3.72101773e-01
38              	lowerWall	3.38671031e-01	1.38483046e+00	3.69051101e-01
39              	lowerWall	3.35538018e-01	1.38443263e+00	3.66106135e-01
40              	lowerWall	3.32503961e-01	1.38404981e+00	3.63260642e-01
41              	lowerWall	3.29563181e-01	1.38368092e+00	3.60508872e-01
42              	lowerWall	3.26710466e-01	1.38332506e+00	3.57845585e-01
43              	lowerWall	3.23941015e-01	1.38298146e+00	3.55265887e-01
44              	lowerWall	3.21250401e-01	1.38264942e+00	3.52765325e-01
45              	lowerWall	3.18634532e-01	1.38232856e+00	3.50339747e-01
46              	lowerWall	3.16089619e-01	1.38201837e+00	3.47985341e-01
47              	lowerWall	3.13612146e-01	1.38171828e+00	3.45698554e-01
48              	lowerWall	3.11198848e-01	1.38142753e+00	3.43476056e-01
49              	lowerWall	3.08846684e-01	1.38114556e+00	3.41314825e-01
50              	lowerWall	3.06552818e-01	1.38087180e+00	3.39211975e-01
51              	lowerWall	3.04314604e-01	1.38060575e+00	3.37164853e-01
52              	lowerWall	3.02129568e-01	1.38034692e+00	3.35170912e-01
53              	lowerWall	2.99995393e-01	1.38009505e+00	3.33227835e-01
54              	lowerWall	2.97909905e-01	1.37984972e+00	3.31333464e-01
55              	lowerWall	2.95871065e-01	1.37961057e+00	3.29485677e-01
56              	lowerWall	2.93876958e-01	1.37937736e+00	3.27682585e-01
57              	lowerWall	2.91925777e-01	1.37914981e+00	3.25922367e-01
58              	lowerWall	2.90015825e-01	1.37892759e+00	3.24203269e-01
59              	lowerWall	2.88145499e-01	1.37871058e+00	3.22523719e-01
60              	lowerWall	2.86313285e-01	1.37849853e+00	3.20882187e-01
61              	lowerWall	2.84517753e-01	1.37829121e+00	3.19277232e-01
62              	lowerWall	2.82757551e-01	1.37808832e+00	3.17707449e-01
63              	lowerWall	2.81031396e-01	1.37788985e+00	3.16171586e-01
64              	lowerWall	2.79338076e-01	1.37769538e+00	3.14668400e-01
65              	lowerWall	2.77676439e-01	1.37750487e+00	3.13196712e-01
66              	lowerWall	2.76045390e-01	1.37731806e+00	3.11755451e-01
67              	lowerWall	2.74443891e-01	1.37713480e+00	3.10343562e-01
68              	lowerWall	2.72870954e-01	1.37695491e+00	3.08960045e-01
69              	lowerWall	2.71325638e-01	1.37677823e+00	3.07603962e-01
70              	lowerWall	2.69807047e-01	1.37660461e+00	3.06274417e-01
71              	lowerWall	2.68314329e-01	1.37643390e+00	3.04970540e-01
72              	lowerWall	2.66846668e-01	1.37626587e+00	3.03691471e-01
73              	lowerWall	2.65403287e-01	1.37610059e+00	3.02436467e-01
74              	lowerWall	2.63983444e-01	1.37593789e+00	3.01204801e-01
75              	lowerWall	2.62586430e-01	1.37577763e+00	2.99995725e-01
76              	lowerWall	2.61211565e-01	1.37561971e+00	2.98808540e-01
77              	lowerWall	2.59858202e-01	1.37546407e+00	2.97642601e-01
78              	lowerWall	2.58525718e-01	1.37531063e+00	2.96497315e-01
79              	lowerWall	2.57213517e-01	1.37515925e+00	2.95372078e-01
80              	lowerWall	2.55921028e-01	1.37500980e+00	2.94266304e-01
81              	lowerWall	2.54647705e-01	1.37486212e+00	2.93179417e-01
82              	lowerWall	2.53393021e-01	1.37471620e+00	2.92110908e-01
83              	lowerWall	2.52156472e-01	1.37457186e+00	2.91060273e-01
84              	lowerWall	2.50937574e-01	1.37442907e+00	2.90027002e-01
85              	lowerWall	2.49735859e-01	1.37428776e+00	2.89010643e-01
86              	lowerWall	2.48550882e-01	1.37414794e+00	2.88010776e-01
87              	lowerWall	2.47382209e-01	1.37400952e+00	2.87026967e-01
88              	lowerWall	2.46229428e-01	1.37387238e+00	2.86058737e-01
89              	lowerWall	2.45092137e-01	1.37373652e+00	2.85105683e-01
90              	lowerWall	2.43969953e-01	1.37360192e+00	2.84167436e-01
91              	lowerWall	2.42862505e-01	1.37346863e+00	2.83243657e-01
92              	lowerWall	2.41769435e-01	1.37333655e+00	2.82333984e-01
93              	lowerWall	2.40690398e-01	1.37320562e+00	2.81438034e-01
94              	lowerWall	2.39625062e-01	1.37307587e+00	2.80555489e-01
95              	lowerWall	2.38573105e-01	1.37294727e+00	2.79686049e-01
96              	lowerWall	2.37534216e-01	1.37281976e+00	2.78829391e-01
97              	lowerWall	2.36508097e-01	1.37269330e+00	2.77985204e-01
98              	lowerWall	2.35494458e-01	1.37256777e+00	2.77153156e-01
99              	lowerWall	2.34493017e-01	1.37244326e+00	2.76332982e-01
100             	lowerWall	2.33503506e-01	1.37231975e+00	2.75524461e-01
101             	lowerWall	2.32525661e-01	1.37219716e+00	2.74727313e-01
102             	lowerWall	2.31559229e-01	1.37207544e+00	2.73941239e-01
103             	lowerWall	2.30603964e-01	1.37195463e+00	2.73166023e-01
104             	lowerWall	2.29659629e-01	1.37183470e+00	2.72401451e-01
105             	lowerWall	2.28725994e-01	1.37171568e+00	2.71647302e-01
106             	lowerWall	2.27802834e-01	1.37159739e+00	2.70903293e-01
107             	lowerWall	2.26889934e-01	1.37147986e+00	2.70169185e-01
108             	lowerWall	2.25987084e-01	1.37136312e+00	2.69444803e-01
109             	lowerWall	2.25094080e-01	1.37124725e+00	2.68729992e-01
110             	lowerWall	2.24210726e-01	1.37113211e+00	2.68024535e-01
111             	lowerWall	2.23336828e-01	1.37101764e+00	2.67328172e-01
112             	lowerWall	2.22472202e-01	1.37090399e+00	2.66640766e-01
113             	lowerWall	2.21616667e-01	1.37079105e+00	2.65962163e-01
114             	lowerWall	2.20770046e-01	1.37067881e+00	2.65292154e-01
115             	lowerWall	2.19932171e-01	1.37056729e+00	2.64630577e-01
116             	lowerWall	2.19102874e-01	1.37045634e+00	2.63977224e-01
117             	lowerWall	2.18281995e-01	1.37034611e+00	2.63331961e-01
118             	lowerWall	2.17469378e-01	1.37023655e+00	2.62694670e-01
119             	lowerWall	2.16664869e-01	1.37012762e+00	2.62065170e-01
120             	lowerWall	2.15868322e-01	1.37001933e+00	2.61443311e-01
121             	lowerWall	2.15079592e-01	1.36991167e+00	2.60828957e-01
122             	lowerWall	2.14298538e-01	1.36980460e+00	2.60221952e-01
123             	lowerWall	2.13525024e-01	1.36969813e+00	2.59622162e-01
124             	lowerWall	2.12758916e-01	1.36959230e+00	2.59029477e-01
125             	lowerWall	2.12000086e-01	1.36948706e+00	2.58443762e-01
126             	lowerWall	2.11248408e-01	1.36938237e+00	2.57864872e-01
127             	lowerWall	2.10503757e-01	1.36927819e+00	2.57292658e-01
128             	lowerWall	2.09766016e-01	1.36917459e+00	2.56727023e-01
129             	lowerWall	2.09035065e-01	1.36907152e+00	2.56167868e-01
130             	lowerWall	2.08310793e-01	1.36896903e+00	2.55615085e-01
131             	lowerWall	2.07593087e-01	1.36886700e+00	2.55068527e-01
132             	lowerWall	2.06881840e-01	1.36876550e+00	2.54528081e-01
133             	lowerWall	2.06176945e-01	1.36866459e+00	2.53993694e-01
134             	lowerWall	2.05478300e-01	1.36856421e+00	2.53465252e-01
135             	lowerWall	2.04785805e-01	1.36846438e+00	2.52942630e-01
136             	lowerWall	2.04099360e-01	1.36836505e+00	2.52425716e-01
137             	lowerWall	2.03418870e-01	1.36826633e+00	2.51914446e-01
138             	lowerWall	2.02744241e-01	1.36816817e+00	2.51408738e-01
139             	lowerWall	2.02075382e-01	1.36807056e+00	2.50908472e-01
140             	lowerWall	2.01412204e-01	1.36797348e+00	2.50413553e-01
141             	lowerWall	2.00754619e-01	1.36787697e+00	2.49923906e-01
142             	lowerWall	2.00102542e-01	1.36778103e+00	2.49439455e-01
143             	lowerWall	1.99455889e-01	1.36768566e+00	2.48960125e-01
144             	lowerWall	1.98814580e-01	1.36759087e+00	2.48485842e-01
145             	lowerWall	1.98178534e-01	1.36749658e+00	2.48016499e-01
146             	lowerWall	1.97547674e-01	1.36740278e+00	2.47551991e-01
147             	lowerWall	1.96921923e-01	1.36730957e+00	2.47092293e-01
148             	lowerWall	1.96301207e-01	1.36721678e+00	2.46637295e-01
149             	lowerWall	1.95685452e-01	1.36712455e+00	2.46186924e-01
150             	lowerWall	1.95074589e-01	1.36703279e+00	2.45741129e-01
151             	lowerWall	1.94468546e-01	1.36694156e+00	2.45299841e-01
152             	lowerWall	1.93867256e-01	1.36685087e+00	2.44863020e-01
153             	lowerWall	1.93270652e-01	1.36676073e+00	2.44430601e-01
154             	lowerWall	1.92678667e-01	1.36667091e+00	2.44002425e-01
155             	lowerWall	1.92091239e-01	1.36658163e+00	2.43578457e-01
156             	lowerWall	1.91508304e-01	1.36649291e+00	2.43158723e-01
157             	lowerWall	1.90929801e-01	1.36640463e+00	2.42743116e-01
158             	lowerWall	1.90355669e-01	1.36631680e+00	2.42331541e-01
159             	lowerWall	1.89785850e-01	1.36622948e+00	2.41923970e-01
160             	lowerWall	1.89220286e-01	1.36614263e+00	2.41520353e-01
161             	lowerWall	1.88658920e-01	1.36605626e+00	2.41120631e-01
162             	lowerWall	1.88101696e-01	1.36597036e+00	2.40724749e-01
163             	lowerWall	1.87548560e-01	1.36588489e+00	2.40332627e-01
164             	lowerWall	1.86999459e-01	1.36579985e+00	2.39944208e-01
165             	lowerWall	1.86454340e-01	1.36571530e+00	2.39559474e-01
166             	lowerWall	1.85913153e-01	1.36563112e+00	2.39178344e-01
167             	lowerWall	1.85375846e-01	1.36554752e+00	2.38800821e-01
168             	lowerWall	1.84842370e-01	1.36546438e+00	2.38426877e-01
169             	lowerWall	1.84312678e-01	1.36538160e+00	2.38056373e-01
170             	lowerWall	1.83786720e-01	1.36529917e+00	2.37689236e-01
171             	lowerWall	1.83264452e-01	1.36521726e+00	2.37325502e-01
172             	lowerWall	1.82745826e-01	1.36513576e+00	2.36965134e-01
173             	lowerWall	1.82230799e-01	1.36505470e+00	2.36608064e-01
174             	lowerWall	1.81719326e-01	1.36497401e+00	2.36254233e-01
175             	lowerWall	1.81211363e-01	1.36489391e+00	2.35903642e-01
176             	lowerWall	1.80706869e-01	1.36481412e+00	2.35556192e-01
177             	lowerWall	1.80205801e-01	1.36473487e+00	2.35211825e-01
178             	lowerWall	1.79708119e-01	1.36465611e+00	2.34870522e-01
179             	lowerWall	1.79213782e-01	1.36457789e+00	2.34532246e-01
180             	lowerWall	1.78722752e-01	1.36450018e+00	2.34197014e-01
181             	lowerWall	1.78234988e-01	1.36442287e+00	2.33864771e-01
182             	lowerWall	1.77750452e-01	1.36434590e+00	2.33535448e-01
183             	lowerWall	1.77269109e-01	1.36426926e+00	2.33209015e-01
184             	lowerWall	1.76790920e-01	1.36419295e+00	2.32885447e-01
185             	lowerWall	1.76315849e-01	1.36411700e+00	2.32564717e-01
186             	lowerWall	1.75843861e-01	1.36404132e+00	2.32246759e-01
187             	lowerWall	1.75374921e-01	1.36396595e+00	2.31931522e-01
188             	lowerWall	1.74908995e-01	1.36389093e+00	2.31619004e-01
189             	lowerWall	1.74446048e-01	1.36381632e+00	2.31309211e-01
190             	lowerWall	1.73986047e-01	1.36374191e+00	2.31002035e-01
191             	lowerWall	1.73528960e-01	1.36366795e+00	2.30697481e-01
192             	lowerWall	1.73074754e-01	1.36359419e+00	2.30395509e-01
193             	lowerWall	1.72623398e-01	1.36352072e+00	2.30096038e-01
194             	lowerWall	1.72174860e-01	1.36344765e+00	2.29799126e-01
195             	lowerWall	1.71729110e-01	1.36337484e+00	2.29504721e-01
196             	lowerWall	1.71286117e-01	1.36330233e+00	2.29212765e-01
197             	lowerWall	1.70845852e-01	1.36323015e+00	2.28923265e-01
198             	lowerWall	1.70408284e-01	1.36315825e+00	2.28636178e-01
199             	lowerWall	1.69973392e-01	1.36308663e+00	2.28351469e-01
200             	lowerWall	1.69541155e-01	1.36301533e+00	2.28069137e-01
201             	lowerWall	1.69111546e-01	1.36294423e+00	2.27789121e-01
202             	lowerWall	1.68684534e-01	1.36287344e+00	2.27511407e-01
203             	lowerWall	1.68260092e-01	1.36280286e+00	2.27235967e-01
204             	lowerWall	1.67838191e-01	1.36273247e+00	2.26962738e-01
205             	lowerWall	1.67418806e-01	1.36266233e+00	2.26691727e-01
206             	lowerWall	1.67001911e-01	1.36259239e+00	2.26422909e-01
207             	lowerWall	1.66587482e-01	1.36252284e+00	2.26156326e-01
208             	lowerWall	1.66175492e-01	1.36245342e+00	2.25891914e-01
209             	lowerWall	1.65765918e-01	1.36238419e+00	2.25629585e-01
210             	lowerWall	1.65358735e-01	1.36231504e+00	2.25369301e-01
211             	lowerWall	1.64953920e-01	1.36224614e+00	2.25111080e-01
212             	lowerWall	1.64551450e-01	1.36217746e+00	2.24854946e-01
213             	lowerWall	1.64151302e-01	1.36210889e+00	2.24600821e-01
214             	lowerWall	1.63753454e-01	1.36204054e+00	2.24348701e-01
215             	lowerWall	1.63357882e-01	1.36197249e+00	2.24098633e-01
216             	lowerWall	1.62964565e-01	1.36190454e+00	2.23850533e-01
217             	lowerWall	1.62573482e-01	1.36183682e+00	2.23604380e-01
218             	lowerWall	1.62184611e-01	1.36176913e+00	2.23360119e-01
219             	lowerWall	1.61797932e-01	1.36170161e+00	2.23117729e-01
220             	lowerWall	1.61413424e-01	1.36163419e+00	2.22877225e-01
221             	lowerWall	1.61031066e-01	1.36156695e+00	2.22638596e-01
222             	lowerWall	1.60650839e-01	1.36149987e+00	2.22401853e-01
223             	lowerWall	1.60272723e-01	1.36143275e+00	2.22166881e-01
224             	lowerWall	1.59896699e-01	1.36136583e+00	2.21933705e-01
225             	lowerWall	1.59522746e-01	1.36129903e+00	2.21702371e-01
226             	lowerWall	1.59150847e-01	1.36123228e+00	2.21472796e-01
227             	lowerWall	1.58780983e-01	1.36116562e+00	2.21244967e-01
228             	lowerWall	1.58413136e-01	1.36109900e+00	2.21018867e-01
229             	lowerWall	1.58047287e-01	1.36103246e+00	2.20794489e-01
230             	lowerWall	1.57683418e-01	1.36096593e+00	2.20571803e-01
231             	lowerWall	1.57321513e-01	1.36089951e+00	2.20350821e-01
232             	lowerWall	1.56961553e-01	1.36083307e+00	2.20131511e-01
233             	lowerWall	1.56603523e-01	1.36076660e+00	2.19913805e-01
234             	lowerWall	1.56247404e-01	1.36070001e+00	2.19697659e-01
235             	lowerWall	1.55893180e-01	1.36063347e+00	2.19483115e-01
236             	lowerWall	1.55540835e-01	1.36056691e+00	2.19270192e-01
237             	lowerWall	1.55190353e-01	1.36050036e+00	2.19058868e-01
238             	lowerWall	1.54841717e-01	1.36043375e+00	2.18849113e-01
239             	lowerWall	1.54494913e-01	1.36036717e+00	2.18640932e-01
240             	lowerWall	1.54149925e-01	1.36030047e+00	2.18434291e-01
241             	lowerWall	1.53806736e-01	1.36023377e+00	2.18229177e-01
242             	lowerWall	1.53465333e-01	1.36016687e+00	2.18025549e-01
243             	lowerWall	1.53125701e-01	1.36009984e+00	2.17823361e-01
244             	lowerWall	1.52787824e-01	1.36003265e+00	2.17622623e-01
245             	lowerWall	1.52451688e-01	1.35996542e+00	2.17423376e-01
246             	lowerWall	1.52117280e-01	1.35989796e+00	2.17225572e-01
247             	lowerWall	1.51784584e-01	1.35983044e+00	2.17029216e-01
248             	lowerWall	1.51453588e-01	1.35976271e+00	2.16834298e-01
249             	lowerWall	1.51124277e-01	1.35969480e+00	2.16640775e-01
250             	lowerWall	1.50796638e-01	1.35962669e+00	2.16448658e-01
251             	lowerWall	1.50470658e-01	1.35955837e+00	2.16257935e-01
252             	lowerWall	1.50146323e-01	1.35948999e+00	2.16068583e-01
253             	lowerWall	1.49823620e-01	1.35942191e+00	2.15880582e-01
254             	lowerWall	1.49502537e-01	1.35935428e+00	2.15693935e-01
255             	lowerWall	1.49183062e-01	1.35928687e+00	2.15508624e-01
256             	lowerWall	1.48865181e-01	1.35921941e+00	2.15324595e-01
257             	lowerWall	1.48548882e-01	1.35915193e+00	2.15141911e-01
258             	lowerWall	1.48234154e-01	1.35908408e+00	2.14960536e-01
259             	lowerWall	1.47920984e-01	1.35901576e+00	2.14780375e-01
260             	lowerWall	1.47609361e-01	1.35894707e+00	2.14601478e-01
261             	lowerWall	1.47299273e-01	1.35887802e+00	2.14423902e-01
262             	lowerWall	1.46990708e-01	1.35880840e+00	2.14247557e-01
263             	lowerWall	1.46683656e-01	1.35873833e+00	2.14072429e-01
264             	lowerWall	1.46378104e-01	1.35866786e+00	2.13898598e-01
